,column,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_metric,param_n_neighbors,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg,split0_test_map@5,split1_test_map@5,mean_test_map@5,std_test_map@5,rank_test_map@5,split0_train_map@5,split1_train_map@5,mean_train_map@5,std_train_map@5,params_str
0,0,0.024741411209106445,0.0063648223876953125,6.897236108779907,0.13764500617980957,brute,hamming,1,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 1}",0.3333333333333333,0.3424821002386635,0.3377674956622325,0.004572233809470595,10,0.8675417661097852,0.8462401795735129,0.8568909728416491,0.010650793268136116,0.3445566778900112,0.35083532219570407,0.3475997686524002,0.0031378468890057363,10,0.8711217183770883,0.8473625140291807,0.8592421162031345,0.011879602173953785,0.45593402602812894,0.46423752970867,0.4599585119068411,0.004149800804643321,10,0.8925779992641962,0.8728938000106349,0.8827358996374155,0.009842099626780676,0.08909613207593003,0.09464360619491882,0.09178484422845323,0.0027724335953106514,10,0.12514557439378438,0.12202438040821877,0.12358497740100158,0.0015605969927828048,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 1}"
1,0,0.019036531448364258,0.002607107162475586,8.188455700874329,0.19672977924346924,brute,hamming,5,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 5}",0.35241301907968575,0.3329355608591885,0.34297281665702717,0.00973415258251073,9,0.49522673031026254,0.5028058361391695,0.49901628322471603,0.0037895529144534867,0.5162738496071829,0.5023866348448688,0.5095430884904569,0.0069403443669155684,9,0.9749403341288783,0.9696969696969697,0.972318651912924,0.0026216822159542685,0.5313224931432577,0.520048769823071,0.5258584213431904,0.005634212725776574,9,0.7485655005072239,0.7527047406166528,0.7506351205619384,0.0020696200547144494,0.21476175900418323,0.21145019062083498,0.2131567304875575,0.0016550060878583875,9,0.26234548864023804,0.23494871757498018,0.24864710310760912,0.013698385532628934,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 5}"
2,0,0.028377175331115723,0.013857245445251465,6.6447752714157104,0.44784796237945557,brute,hamming,10,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 10}",0.3782267115600449,0.35918854415274465,0.3689994216310006,0.009514610394030783,8,0.42720763723150357,0.4612794612794613,0.44424354925548243,0.01703591202397886,0.5241301907968574,0.5262529832935561,0.525159051474841,0.001060897465672819,8,0.8353221957040573,0.819304152637486,0.8273131741707717,0.008009021533285643,0.5457377583609362,0.5443437153198534,0.5450621030292836,0.0006966939687339233,8,0.6965659096126559,0.7084165701182447,0.7024912398654503,0.005925330252794403,0.24140818964051283,0.2513120292595233,0.24620831549402977,0.0049495927503882264,8,0.27810456250193716,0.260107059046453,0.26910581077419504,0.008998751727742088,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 10}"
3,0,0.034535884857177734,0.009140491485595703,7.417961120605469,0.3519773483276367,brute,hamming,15,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}",0.3838383838383838,0.373508353221957,0.3788316946211683,0.0051625881089806145,4,0.4033412887828162,0.43658810325476993,0.41996469601879305,0.016623407235976856,0.5297418630751964,0.5513126491646778,0.5401966454598034,0.010780324657492776,7,0.7434367541766109,0.7519640852974186,0.7477004197370147,0.004263665560403862,0.558729491267321,0.561943795808756,0.5602873786043496,0.0016063970205341717,7,0.6689014255593829,0.686321229276785,0.6776113274180839,0.008709901858701019,0.25934003332993233,0.2623318765562202,0.2607900996246861,0.0014952186336608067,7,0.28362944136213825,0.27008925231147457,0.2768593468368064,0.006770094525331838,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}"
4,0,0.016686320304870605,0.0020865201950073242,7.125802755355835,0.018429994583129883,brute,hamming,20,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 20}",0.3872053872053872,0.3794749403341289,0.38345864661654133,0.003863407048494257,1,0.39498806682577564,0.41975308641975306,0.4073705766227643,0.012382509796988711,0.5454545454545454,0.5501193317422435,0.5477154424522845,0.0023312970807182437,6,0.7159904534606205,0.712682379349046,0.7143364164048333,0.0016540370557872608,0.5668162444692088,0.5661053381317092,0.5664716872044172,0.00035528613039521477,6,0.6493013984281522,0.6636731856280412,0.6564872920280966,0.007185893599944537,0.27128776946958766,0.26992752275568505,0.27062849431270486,0.0006798037461095801,6,0.296602403165649,0.276823623439785,0.28671301330271703,0.009889389862932002,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 20}"
5,0,0.022954583168029785,0.00806272029876709,6.923190712928772,0.20733392238616943,brute,hamming,25,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 25}",0.38271604938271603,0.37828162291169454,0.3805668016194332,0.0022161712989543173,3,0.3997613365155131,0.3995510662177329,0.399656201366623,0.0001051351488901009,0.5600448933782267,0.5632458233890215,0.5615962984384038,0.0015997128977653058,5,0.6945107398568019,0.6891133557800224,0.6918120478184122,0.0026986920383897384,0.567363534004615,0.5738421844373591,0.5705035623809248,0.0032378029580222216,5,0.6445593278323603,0.64783858904629,0.6461989584393251,0.0016396306069648703,0.27965406834093703,0.2829624492452655,0.2812575519718377,0.0016534130972955972,5,0.2988243757038507,0.28447048649068846,0.29164743109726954,0.007176944606581109,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 25}"
6,0,0.01979362964630127,0.0004559755325317383,7.299241542816162,0.02682352066040039,brute,hamming,40,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 40}",0.37485970819304154,0.383054892601432,0.3788316946211683,0.004095666619843435,4,0.3914081145584726,0.39281705948372614,0.39211258702109936,0.0007044724626267818,0.5757575757575758,0.5918854415274463,0.5835743204164257,0.008060143395351266,4,0.6957040572792362,0.6790123456790124,0.6873582014791243,0.008345855800111934,0.577174026703824,0.580692262319086,0.578879221293523,0.001758291144177304,4,0.6331813426939175,0.6281264308458762,0.6306538867698968,0.0025274559240206496,0.2887184738194839,0.30508712250359027,0.29665191950906233,0.00818047827682812,4,0.31391909204558366,0.30085535489575893,0.30738722347067127,0.006531868574912364,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 40}"
7,0,0.016027331352233887,0.0021845102310180664,7.441222310066223,0.10832440853118896,brute,hamming,60,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",0.37485970819304154,0.38902147971360385,0.3817235396182765,0.007077558234715561,2,0.38663484486873506,0.3872053872053872,0.3869201160370611,0.0002852711683260789,0.5813692480359147,0.5990453460620525,0.5899363794100636,0.008833895742554927,3,0.6694510739856802,0.6509539842873177,0.6602025291364989,0.00924854484918125,0.5783466903793842,0.5886484579617471,0.5833396812608302,0.005148463232782287,2,0.6222193260905902,0.6157482591064218,0.618983792598506,0.003235533492084164,0.31162893970974775,0.3228702641829133,0.31707730865625605,0.005618020914872338,3,0.33061894946739817,0.31093586174394255,0.32077740560567036,0.009841543861727808,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}"
8,0,0.018603920936584473,0.00517880916595459,6.978115081787109,0.44746947288513184,brute,hamming,80,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 80}",0.3681257014590348,0.383054892601432,0.37536148062463853,0.0074610877286149435,6,0.3794749403341289,0.38047138047138046,0.37997316040275464,0.0004982200686257932,0.5847362514029181,0.6085918854415274,0.5962984384037016,0.011922211771964567,2,0.6563245823389021,0.6397306397306397,0.6480276110347709,0.008296971304131207,0.5754425022899645,0.5916035618779402,0.5832753351035699,0.008076732505006854,3,0.6158082440266403,0.6073242935633677,0.611566268795004,0.004241975231636275,0.32187157773016356,0.34073515585448755,0.33101424890898573,0.009427356774974187,2,0.34432440669910835,0.3298644453189908,0.3370944260090496,0.007229980690058785,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 80}"
9,0,0.020247340202331543,0.0002683401107788086,7.129111170768738,0.6233841180801392,brute,hamming,100,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 100}",0.3613916947250281,0.383054892601432,0.37189126662810873,0.010826508837386424,7,0.37589498806682575,0.3771043771043771,0.3764996825856014,0.000604694518775678,0.5836139169472503,0.6181384248210023,0.600347021399653,0.017254141873888525,1,0.6563245823389021,0.6206509539842873,0.6384877681615947,0.017836814177307425,0.5764097187097738,0.5959469388569133,0.585878886137942,0.00976401950385003,1,0.6106879793507168,0.603139444933296,0.6069137121420064,0.0037742672087104356,0.3357083582336107,0.3507618634348945,0.34300438909461467,0.007523215548562195,1,0.35378286788787977,0.33736926747027757,0.34557606767907867,0.008206800208801102,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 100}"
