,plugin1,plugin2,plugin3,plugin4,plugin5,plugin6,mean,k
0,0.4,0.16842105263157894,0.15526315789473685,0.20789473684210527,0.29210526315789476,0.5078947368421053,0.28859649122807024,1
0,0.3631578947368421,0.2026315789473684,0.18947368421052632,0.2578947368421053,0.35,0.5342105263157895,0.3162280701754386,1
0,0.39473684210526316,0.23421052631578948,0.18947368421052632,0.23421052631578948,0.36578947368421055,0.49736842105263157,0.31929824561403514,1
0,0.3894736842105263,0.25,0.19210526315789472,0.2578947368421053,0.3368421052631579,0.48947368421052634,0.3192982456140351,1
0,0.37467018469656993,0.24010554089709762,0.18733509234828497,0.287598944591029,0.3562005277044855,0.5224274406332454,0.3280562884784521,1
0,0.6157894736842106,0.3605263157894737,0.3394736842105263,0.3894736842105263,0.5157894736842106,0.6815789473684211,0.48377192982456146,5
0,0.5605263157894737,0.3684210526315789,0.3815789473684211,0.45789473684210524,0.5447368421052632,0.7105263157894737,0.5039473684210526,5
0,0.631578947368421,0.3973684210526316,0.3684210526315789,0.4394736842105263,0.5210526315789473,0.6842105263157895,0.507017543859649,5
0,0.6105263157894737,0.36578947368421055,0.35526315789473684,0.47368421052631576,0.5473684210526316,0.6973684210526315,0.5083333333333333,5
0,0.5936675461741425,0.38786279683377306,0.37730870712401055,0.47229551451187335,0.5461741424802111,0.6992084432717678,0.5127528583992965,5
