,column,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_probability,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_train_precision_weighted,split1_train_precision_weighted,mean_train_precision_weighted,std_train_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_train_recall_weighted,split1_train_recall_weighted,mean_train_recall_weighted,std_train_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr
0,0,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",3.299093723297119,0.32295870780944824,4.626766324043274,0.12050306797027588,1e-05,linear,True,"{'C': 1e-05, 'kernel': 'linear', 'probability': True}",0.3303684879288437,0.35382513661202186,0.3416721527320606,0.011720633777146194,5,0.35382513661202186,0.3303684879288437,0.34209681227043276,0.011728324341589075,0.10914333781639056,0.12519222729851592,0.1168772332086985,0.008019182905901744,5,0.12519222729851592,0.10914333781639056,0.11716778255745325,0.008024444741062682,0.3303684879288437,0.35382513661202186,0.3416721527320606,0.011720633777146194,5,0.35382513661202186,0.3303684879288437,0.34209681227043276,0.011728324341589075,0.16407986028939708,0.18494593417258054,0.17413513749972645,0.010426195730469203,5,0.18494593417258054,0.16407986028939708,0.1745128972309888,0.010433036941591728,0.5193561765134761,0.5562607077539017,0.5371403219170254,0.01844016599423586,6,0.5849192827490207,0.5451894076904061,0.5650543452197134,0.01986493752930729
1,0,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",9.480215430259705,0.6921612024307251,5.322728514671326,0.025393128395080566,0.01,linear,True,"{'C': 0.01, 'kernel': 'linear', 'probability': True}",0.3303684879288437,0.35382513661202186,0.3416721527320606,0.011720633777146194,5,0.35382513661202186,0.3303684879288437,0.34209681227043276,0.011728324341589075,0.10914333781639056,0.12519222729851592,0.1168772332086985,0.008019182905901744,5,0.12519222729851592,0.10914333781639056,0.11716778255745325,0.008024444741062682,0.3303684879288437,0.35382513661202186,0.3416721527320606,0.011720633777146194,5,0.35382513661202186,0.3303684879288437,0.34209681227043276,0.011728324341589075,0.16407986028939708,0.18494593417258054,0.17413513749972645,0.010426195730469203,5,0.18494593417258054,0.16407986028939708,0.1745128972309888,0.010433036941591728,0.5317872560768739,0.5679615016423553,0.5492194797463488,0.01807526259032991,2,0.6111974512622742,0.5590033383390413,0.5851003948006577,0.026097056461616475
2,0,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",11.242998838424683,0.32253217697143555,4.481188654899597,0.6083365678787231,1.0,linear,True,"{'C': 1.0, 'kernel': 'linear', 'probability': True}",0.4256670902160102,0.453551912568306,0.4391046741277156,0.013933268777923214,1,0.9521857923497268,0.9593392630241423,0.9557625276869346,0.0035767353372077593,0.3562946194885118,0.37641784076321266,0.3659919190099608,0.010055012980025127,4,0.9531237177746092,0.9590165587624292,0.9560701382685193,0.0029464204939099736,0.4256670902160102,0.453551912568306,0.4391046741277156,0.013933268777923214,1,0.9521857923497268,0.9593392630241423,0.9557625276869346,0.0035767353372077593,0.37162404913226177,0.40308451143149804,0.3867847195753434,0.01571991643177489,4,0.9500021656946358,0.9573064945238668,0.9536543301092513,0.003652164414615522,0.5314821706978544,0.5703104306005401,0.5501933532184377,0.019401399606142223,1,0.6508538062254512,0.6171800194911069,0.6340169128582791,0.016836893367172145
3,0,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",10.80993914604187,0.8984174728393555,5.0796138048172,0.24330651760101318,100.0,linear,True,"{'C': 100.0, 'kernel': 'linear', 'probability': True}",0.409148665819568,0.4412568306010929,0.42462146148782093,0.016043555315316586,2,0.9863387978142076,0.9911054637865311,0.9887221308003693,0.0023833329861617236,0.3560437869374043,0.39257119638880467,0.37364619886526806,0.018251728743959927,1,0.9861038277850943,0.9902160299018731,0.9881599288434837,0.0020561010583893813,0.409148665819568,0.4412568306010929,0.42462146148782093,0.016043555315316586,2,0.9863387978142076,0.9911054637865311,0.9887221308003693,0.0023833329861617236,0.3711397051486865,0.40945363035689586,0.38960303184546674,0.019144400890159386,1,0.9851072666955015,0.9903102538447415,0.9877087602701216,0.002601493574619973,0.5276136488175702,0.5663937015052694,0.5463016004748419,0.01937731180400539,4,0.6779592137867273,0.6251384345380169,0.6515488241623721,0.026410389624355213
4,0,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",11.169960618019104,0.5621243715286255,4.619657635688782,0.38852226734161377,10000.0,linear,True,"{'C': 10000.0, 'kernel': 'linear', 'probability': True}",0.409148665819568,0.4412568306010929,0.42462146148782093,0.016043555315316586,2,0.9863387978142076,0.9911054637865311,0.9887221308003693,0.0023833329861617236,0.3560437869374043,0.39257119638880467,0.37364619886526806,0.018251728743959927,1,0.9861038277850943,0.9902160299018731,0.9881599288434837,0.0020561010583893813,0.409148665819568,0.4412568306010929,0.42462146148782093,0.016043555315316586,2,0.9863387978142076,0.9911054637865311,0.9887221308003693,0.0023833329861617236,0.3711397051486865,0.40945363035689586,0.38960303184546674,0.019144400890159386,1,0.9851072666955015,0.9903102538447415,0.9877087602701216,0.002601493574619973,0.5287625939326985,0.5678233870655565,0.5475858332830948,0.01951758998221331,3,0.661647008114921,0.6307069195407496,0.6461769638278354,0.015470044287085705
5,0,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",11.03203272819519,1.088526725769043,4.023097515106201,0.520578145980835,1000000.0,linear,True,"{'C': 1000000.0, 'kernel': 'linear', 'probability': True}",0.409148665819568,0.4412568306010929,0.42462146148782093,0.016043555315316586,2,0.9863387978142076,0.9911054637865311,0.9887221308003693,0.0023833329861617236,0.3560437869374043,0.39257119638880467,0.37364619886526806,0.018251728743959927,1,0.9861038277850943,0.9902160299018731,0.9881599288434837,0.0020561010583893813,0.409148665819568,0.4412568306010929,0.42462146148782093,0.016043555315316586,2,0.9863387978142076,0.9911054637865311,0.9887221308003693,0.0023833329861617236,0.3711397051486865,0.40945363035689586,0.38960303184546674,0.019144400890159386,1,0.9851072666955015,0.9903102538447415,0.9877087602701216,0.002601493574619973,0.5290774912825351,0.5644821176128572,0.5461388385332235,0.01769070530233087,5,0.6667257215838558,0.6296835946825354,0.6482046581331956,0.01852106345066018
0,1,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",3.88736629486084,0.2904090881347656,5.2260662317276,0.3353816270828247,1e-05,linear,True,"{'C': 1e-05, 'kernel': 'linear', 'probability': True}",0.10814249363867684,0.1145975443383356,0.11125740618828177,0.0032255601437605973,5,0.1145975443383356,0.10814249363867684,0.11137001898850622,0.0032275253498293827,0.011694798930391262,0.013132597168376794,0.012388614669985332,0.0007184613889183724,5,0.013132597168376794,0.011694798930391262,0.012413698049384029,0.0007188991189927664,0.10814249363867684,0.1145975443383356,0.11125740618828177,0.0032255601437605973,5,0.1145975443383356,0.10814249363867684,0.11137001898850622,0.0032275253498293827,0.021107030905367467,0.023564733719510872,0.022293005996063393,0.0012281031724395745,5,0.023564733719510872,0.021107030905367467,0.02233588231243917,0.0012288514070717023,0.26454400436719006,0.28870417989151625,0.2762026012462757,0.01207273232441792,6,0.3204786847989541,0.29373540232786116,0.3071070435634076,0.013371641235546461
1,1,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",7.200884938240051,0.45253121852874756,6.742002606391907,0.12003552913665771,0.01,linear,True,"{'C': 0.01, 'kernel': 'linear', 'probability': True}",0.10814249363867684,0.1145975443383356,0.11125740618828177,0.0032255601437605973,5,0.1145975443383356,0.10814249363867684,0.11137001898850622,0.0032275253498293827,0.011694798930391262,0.013132597168376794,0.012388614669985332,0.0007184613889183724,5,0.013132597168376794,0.011694798930391262,0.012413698049384029,0.0007188991189927664,0.10814249363867684,0.1145975443383356,0.11125740618828177,0.0032255601437605973,5,0.1145975443383356,0.10814249363867684,0.11137001898850622,0.0032275253498293827,0.021107030905367467,0.023564733719510872,0.022293005996063393,0.0012281031724395745,5,0.023564733719510872,0.021107030905367467,0.02233588231243917,0.0012288514070717023,0.2806746879426406,0.2885975642410144,0.284497906064239,0.003959026071372446,5,0.3514459442568202,0.319014335012246,0.3352301396345331,0.016215804622287083
2,1,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",8.214524149894714,0.2743738889694214,5.04390025138855,0.4216477870941162,1.0,linear,True,"{'C': 1.0, 'kernel': 'linear', 'probability': True}",0.227735368956743,0.23601637107776263,0.23173140223831468,0.004137979953181449,1,0.9181446111869032,0.9338422391857506,0.9259934251863269,0.00784881399942372,0.1854476683201427,0.21683651706256274,0.20059449263100107,0.015684868202109126,1,0.9273847576570784,0.9509957222050379,0.9391902399310581,0.011805482273979762,0.227735368956743,0.23601637107776263,0.23173140223831468,0.004137979953181449,1,0.9181446111869032,0.9338422391857506,0.9259934251863269,0.00784881399942372,0.18920988979222803,0.20968897217178734,0.19909215930125831,0.010233306441386803,4,0.9152198265416807,0.9355124871175546,0.9253661568296176,0.010146330287936989,0.29459513001937726,0.31872799813159647,0.3062405495889999,0.012059086931961711,1,0.42416514529448807,0.43980420549455923,0.4319846753945237,0.007819530100035582
3,1,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",8.080573439598083,0.4335864782333374,6.460757732391357,0.3281402587890625,100.0,linear,True,"{'C': 100.0, 'kernel': 'linear', 'probability': True}",0.21246819338422393,0.23192360163710776,0.2218564845292956,0.009721781030226532,2,0.9522510231923602,0.94529262086514,0.9487718220287501,0.0034792011636101128,0.18412052000607299,0.21175270069705088,0.19745454794977724,0.013807677874121283,2,0.9678419776811126,0.9593630288286777,0.9636025032548952,0.0042394744262174155,0.21246819338422393,0.23192360163710776,0.2218564845292956,0.009721781030226532,2,0.9522510231923602,0.94529262086514,0.9487718220287501,0.0034792011636101128,0.18669304135442336,0.2147459860877246,0.20023011080110525,0.014017931795894131,1,0.9538959783007838,0.9467104044617082,0.950303191381246,0.0035927869195377937,0.2920017926274594,0.3106471751434689,0.30099920236033295,0.009317014769843746,3,0.4349151519436031,0.437505726236926,0.4362104390902646,0.0012952871466614668
