,column,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_probability,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_train_precision_weighted,split1_train_precision_weighted,mean_train_precision_weighted,std_train_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_train_recall_weighted,split1_train_recall_weighted,mean_train_recall_weighted,std_train_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr
0,0,"SVC-split_x_y_word2vec-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'gamma': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}-(4 of 5)",1.0305157899856567,0.01060330867767334,2.5910128355026245,0.06322109699249268,1e-05,1e-05,rbf,True,"{'C': 1e-05, 'gamma': 1e-05, 'kernel': 'rbf', 'probability': True}",0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,15,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.10445430756552791,0.12106586601613811,0.11243747917115361,0.008299511603897821,24,0.12106586601613811,0.10445430756552791,0.11276008679083302,0.0083057792253051,0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,15,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.15788208557318298,0.1796302483572781,0.1683338030401938,0.010865875704962875,16,0.1796302483572781,0.15788208557318298,0.16875616696523055,0.010874081392047555,0.44872611945055807,0.48110531579391175,0.46428689188679784,0.016177381344173538,37,0.48125488737552463,0.4488713013810138,0.4650630943782692,0.016191792997255428
1,0,"SVC-split_x_y_word2vec-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'gamma': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}-(4 of 5)",1.0354593992233276,0.1495288610458374,2.4305893182754517,0.16184508800506592,1e-05,0.01,rbf,True,"{'C': 1e-05, 'gamma': 0.01, 'kernel': 'rbf', 'probability': True}",0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,15,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.10445430756552791,0.12106586601613811,0.11243747917115361,0.008299511603897821,24,0.12106586601613811,0.10445430756552791,0.11276008679083302,0.0083057792253051,0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,15,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.15788208557318298,0.1796302483572781,0.1683338030401938,0.010865875704962875,16,0.1796302483572781,0.15788208557318298,0.16875616696523055,0.010874081392047555,0.44702887579723755,0.4861808026540929,0.46584448251580535,0.019561191216920026,26,0.49002428077444105,0.45700872660771663,0.47351650369107884,0.016507777083362207
2,0,"SVC-split_x_y_word2vec-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'gamma': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}-(4 of 5)",1.1006864309310913,0.0013886690139770508,2.2423754930496216,0.014963030815124512,1e-05,1.0,rbf,True,"{'C': 1e-05, 'gamma': 1.0, 'kernel': 'rbf', 'probability': True}",0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,15,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.10445430756552791,0.12106586601613811,0.11243747917115361,0.008299511603897821,24,0.12106586601613811,0.10445430756552791,0.11276008679083302,0.0083057792253051,0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,15,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.15788208557318298,0.1796302483572781,0.1683338030401938,0.010865875704962875,16,0.1796302483572781,0.15788208557318298,0.16875616696523055,0.010874081392047555,0.4735877137374649,0.5068098261385828,0.48955357420673157,0.016598521336747163,17,0.521621970531494,0.47827041074036936,0.49994619063593165,0.021675779895562297
3,0,"SVC-split_x_y_word2vec-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'gamma': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}-(4 of 5)",1.1599565744400024,0.21605098247528076,2.5266764163970947,0.1423017978668213,1e-05,100.0,rbf,True,"{'C': 1e-05, 'gamma': 100.0, 'kernel': 'rbf', 'probability': True}",0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,15,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.10445430756552791,0.12106586601613811,0.11243747917115361,0.008299511603897821,24,0.12106586601613811,0.10445430756552791,0.11276008679083302,0.0083057792253051,0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,15,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.15788208557318298,0.1796302483572781,0.1683338030401938,0.010865875704962875,16,0.1796302483572781,0.15788208557318298,0.16875616696523055,0.010874081392047555,0.4455166647957529,0.38200557529409424,0.41499454805038694,0.0317315817093517,42,0.5373953536354377,0.39949087828653035,0.468443115960984,0.06895223767445366
4,0,"SVC-split_x_y_word2vec-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'gamma': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}-(4 of 5)",1.1073440313339233,0.07816779613494873,1.9947965145111084,0.01737833023071289,1e-05,10000.0,rbf,True,"{'C': 1e-05, 'gamma': 10000.0, 'kernel': 'rbf', 'probability': True}",0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,15,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.10445430756552791,0.12106586601613811,0.11243747917115361,0.008299511603897821,24,0.12106586601613811,0.10445430756552791,0.11276008679083302,0.0083057792253051,0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,15,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.15788208557318298,0.1796302483572781,0.1683338030401938,0.010865875704962875,16,0.1796302483572781,0.15788208557318298,0.16875616696523055,0.010874081392047555,0.4476419495023086,0.479777562027081,0.4630856605905798,0.01605568134023664,38,0.4731017338666596,0.36314854384462625,0.41812513885564295,0.05497659501101668
5,0,"SVC-split_x_y_word2vec-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'gamma': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}-(4 of 5)",1.0304360389709473,0.21544551849365234,1.998654842376709,0.2253398895263672,1e-05,1000000.0,rbf,True,"{'C': 1e-05, 'gamma': 1000000.0, 'kernel': 'rbf', 'probability': True}",0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,15,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.10445430756552791,0.12106586601613811,0.11243747917115361,0.008299511603897821,24,0.12106586601613811,0.10445430756552791,0.11276008679083302,0.0083057792253051,0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,15,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.15788208557318298,0.1796302483572781,0.1683338030401938,0.010865875704962875,16,0.1796302483572781,0.15788208557318298,0.16875616696523055,0.010874081392047555,0.44765733349184217,0.4797178057498321,0.4630649337211592,0.016018139557631764,39,0.47420531738778426,0.36593723409458156,0.4200712757411829,0.05413404164660135
6,0,"SVC-split_x_y_word2vec-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'gamma': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}-(4 of 5)",1.4483855962753296,0.17237651348114014,2.35699200630188,0.17694401741027832,1e-05,scale,rbf,True,"{'C': 1e-05, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True}",0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,15,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.10445430756552791,0.12106586601613811,0.11243747917115361,0.008299511603897821,24,0.12106586601613811,0.10445430756552791,0.11276008679083302,0.0083057792253051,0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,15,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.15788208557318298,0.1796302483572781,0.1683338030401938,0.010865875704962875,16,0.1796302483572781,0.15788208557318298,0.16875616696523055,0.010874081392047555,0.45835659499608683,0.49615367789411413,0.47652109171469115,0.018884280426689423,24,0.503192319214577,0.45791925723605004,0.48055578822531353,0.02263653098926346
7,0,"SVC-split_x_y_word2vec-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'gamma': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}-(4 of 5)",1.107084035873413,0.21621489524841309,2.285948872566223,0.2553521394729614,0.01,1e-05,rbf,True,"{'C': 0.01, 'gamma': 1e-05, 'kernel': 'rbf', 'probability': True}",0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,15,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.10445430756552791,0.12106586601613811,0.11243747917115361,0.008299511603897821,24,0.12106586601613811,0.10445430756552791,0.11276008679083302,0.0083057792253051,0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,15,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.15788208557318298,0.1796302483572781,0.1683338030401938,0.010865875704962875,16,0.1796302483572781,0.15788208557318298,0.16875616696523055,0.010874081392047555,0.45006163724355813,0.48999612081466004,0.469253324542376,0.01995217431160725,25,0.49124496527457706,0.45799664868245143,0.4746208069785143,0.016624158296062813
8,0,"SVC-split_x_y_word2vec-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'gamma': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}-(4 of 5)",1.0848350524902344,0.22199368476867676,2.3065905570983887,0.31015467643737793,0.01,0.01,rbf,True,"{'C': 0.01, 'gamma': 0.01, 'kernel': 'rbf', 'probability': True}",0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,15,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.10445430756552791,0.12106586601613811,0.11243747917115361,0.008299511603897821,24,0.12106586601613811,0.10445430756552791,0.11276008679083302,0.0083057792253051,0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,15,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.15788208557318298,0.1796302483572781,0.1683338030401938,0.010865875704962875,16,0.1796302483572781,0.15788208557318298,0.16875616696523055,0.010874081392047555,0.46631419605250596,0.42755472315013077,0.44768719459185163,0.019365112314456534,40,0.5075498856263115,0.41378969445527614,0.46066979004079384,0.0468800955855177
9,0,"SVC-split_x_y_word2vec-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'gamma': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}-(4 of 5)",1.4022680521011353,0.027039170265197754,2.325910806655884,0.051480770111083984,0.01,1.0,rbf,True,"{'C': 0.01, 'gamma': 1.0, 'kernel': 'rbf', 'probability': True}",0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,15,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.10445430756552791,0.12106586601613811,0.11243747917115361,0.008299511603897821,24,0.12106586601613811,0.10445430756552791,0.11276008679083302,0.0083057792253051,0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,15,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.15788208557318298,0.1796302483572781,0.1683338030401938,0.010865875704962875,16,0.1796302483572781,0.15788208557318298,0.16875616696523055,0.010874081392047555,0.48181311205856836,0.5250316161598182,0.5025830317385633,0.021592945499839755,12,0.5416041834846069,0.5069882916864539,0.5242962375855305,0.017307945899076527
