,column,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_metric,param_n_neighbors,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_train_precision_weighted,split1_train_precision_weighted,mean_train_precision_weighted,std_train_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_train_recall_weighted,split1_train_recall_weighted,mean_train_recall_weighted,std_train_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr
0,0,"KNeighborsClassifier-split_x_y-{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}-(5 of 5)",0.004848957061767578,0.00035309791564941406,1.1444357633590698,0.03336489200592041,brute,hamming,1,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 1}",0.31170483460559795,0.3528610354223433,0.33157894736842103,0.020566054989034275,10,0.9931880108991825,0.989821882951654,0.9915049469254182,0.001683063973764276,0.32812889132155876,0.34693531045358533,0.33721041213926106,0.009397705384378353,1,0.9939796173519104,0.9897938134295596,0.991886715390735,0.0020929019611753974,0.31170483460559795,0.3528610354223433,0.33157894736842103,0.020566054989034275,10,0.9931880108991825,0.989821882951654,0.9915049469254182,0.001683063973764276,0.3122996492969811,0.34521006128832055,0.3281919140349043,0.016445573918238646,1,0.9930639844373857,0.9890152611578019,0.9910396227975938,0.002024361639791916,0.3175876992670859,0.3583921376836877,0.3372919478182607,0.02039027674126453,10,0.9932462330282493,0.9899088754050585,0.9915775542166538,0.0016686788115954365
1,0,"KNeighborsClassifier-split_x_y-{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}-(5 of 5)",0.01426839828491211,0.004391908645629883,1.0586040019989014,0.13625144958496094,brute,hamming,5,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 5}",0.38676844783715014,0.385558583106267,0.3861842105263158,0.0006045782674505724,9,0.553133514986376,0.5178117048346056,0.5354726099104907,0.01766090507588519,0.2820191914771331,0.3124269298332154,0.29670292828855704,0.015194969572335008,2,0.4858130765014941,0.47005659060232335,0.4779348335519087,0.007878242949585362,0.38676844783715014,0.385558583106267,0.3861842105263158,0.0006045782674505724,9,0.553133514986376,0.5178117048346056,0.5354726099104907,0.01766090507588519,0.31174829710905505,0.32637252189548516,0.31881025828881804,0.007307832238182374,2,0.4838911718593683,0.45422329911074505,0.4690572354850567,0.01483393637431163,0.41581685913746663,0.41364610261067725,0.41476861223571443,0.0010847429357374292,9,0.6397138964577636,0.6016327396098365,0.6206733180338,0.019040578423963506
2,0,"KNeighborsClassifier-split_x_y-{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}-(5 of 5)",0.005636453628540039,0.0002837181091308594,0.9244018793106079,0.0582958459854126,brute,hamming,10,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 10}",0.39185750636132316,0.3991825613079019,0.39539473684210524,0.0036603836078023455,8,0.4904632152588556,0.4541984732824427,0.4723308442706492,0.018132370988206442,0.25561803820323986,0.26766168796632256,0.2614338532862022,0.00601829999807586,3,0.35590048820507725,0.3521708329445741,0.35403566057482566,0.0018648276302515865,0.39185750636132316,0.3991825613079019,0.39539473684210524,0.0036603836078023455,8,0.4904632152588556,0.4541984732824427,0.4723308442706492,0.018132370988206442,0.28554443721158246,0.3131855981614508,0.2988922083544794,0.01381249057917037,3,0.38533611272310986,0.36335094724351347,0.37434352998331166,0.010992582739798196,0.4457571761006846,0.449295096365939,0.447465619176143,0.0017679246693838707,8,0.595315405908049,0.5562901369199088,0.5758027714139788,0.01951263449407009
3,0,"KNeighborsClassifier-split_x_y-{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}-(5 of 5)",0.008486032485961914,6.031990051269531e-05,0.9893038272857666,0.1336839199066162,brute,hamming,15,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}",0.40076335877862596,0.4141689373297003,0.4072368421052632,0.006698865788628334,5,0.46185286103542234,0.43638676844783714,0.44911981474162976,0.0127330462937926,0.22146290237893293,0.25319772764010906,0.23678748247215875,0.01585812461881059,4,0.32029757437702916,0.2901005352764692,0.30519905482674914,0.015098519550279993,0.40076335877862596,0.4141689373297003,0.4072368421052632,0.006698865788628334,5,0.46185286103542234,0.43638676844783714,0.44911981474162976,0.0127330462937926,0.27908714265314805,0.3073448677798244,0.2927326493919509,0.014120592214230492,4,0.34445166794120197,0.3266019985432459,0.33552683324222393,0.008924834698978035,0.46068599904477514,0.4785882827435936,0.4693309176203888,0.008945902286233137,7,0.5744949041270557,0.5479499578736211,0.5612224310003384,0.01327247312671731
4,0,"KNeighborsClassifier-split_x_y-{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}-(5 of 5)",0.007937073707580566,0.0011578798294067383,1.1519443988800049,0.08447885513305664,brute,hamming,20,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 20}",0.40458015267175573,0.4196185286103542,0.4118421052631579,0.007514786602293674,2,0.45776566757493187,0.4402035623409669,0.4489846149579494,0.008781052616982477,0.2338900907313289,0.23583422571978432,0.2348289032849646,0.0009714984931848102,6,0.2696614894673642,0.2771800088211575,0.27342074914426084,0.0037592596768966646,0.40458015267175573,0.4196185286103542,0.4118421052631579,0.007514786602293674,2,0.45776566757493187,0.4402035623409669,0.4489846149579494,0.008781052616982477,0.2766069407641068,0.30151878547512945,0.2886367394600875,0.012448631264252105,5,0.3291811456734305,0.32185358202748976,0.32551736385046015,0.0036637818229703634,0.46813206937252466,0.48539823762816015,0.47646981114860126,0.008628030740165837,6,0.5660003943492872,0.546864389435673,0.5564323918924801,0.009568002456807112
5,0,"KNeighborsClassifier-split_x_y-{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}-(5 of 5)",0.006254315376281738,0.000655055046081543,0.9826266765594482,0.019436359405517578,brute,hamming,25,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 25}",0.4020356234096692,0.4223433242506812,0.4118421052631579,0.010147906850215884,2,0.45776566757493187,0.4262086513994911,0.44198715948721146,0.015778508087720383,0.20705252992833928,0.2432252584538341,0.22452015015051902,0.01807577738458429,9,0.26992871892503545,0.25570969391209325,0.2628192064185644,0.0071095125064710996,0.4020356234096692,0.4223433242506812,0.4118421052631579,0.010147906850215884,2,0.45776566757493187,0.4262086513994911,0.44198715948721146,0.015778508087720383,0.2698299444587239,0.3034623307391379,0.28607084678097644,0.016806349758455075,6,0.32767911895800345,0.3034295377485871,0.3155543283532953,0.012124790604708169,0.46892632562609626,0.5001378876981496,0.4839982246793115,0.015596646170662424,5,0.5644653381686343,0.5362635904350317,0.5503644643018331,0.014100873866801311
6,0,"KNeighborsClassifier-split_x_y-{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}-(5 of 5)",0.007078289985656738,0.0021713972091674805,0.970002293586731,0.09331381320953369,brute,hamming,40,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 40}",0.40458015267175573,0.4223433242506812,0.4131578947368421,0.008876386941021873,1,0.45095367847411444,0.41857506361323155,0.434764371043673,0.016189307430441446,0.21110200901281656,0.2323191584187656,0.22134765879174195,0.01060236495920108,10,0.2561351359573072,0.2164422198780271,0.23628867791766714,0.019846458039640053,0.40458015267175573,0.4223433242506812,0.4131578947368421,0.008876386941021873,1,0.45095367847411444,0.41857506361323155,0.434764371043673,0.016189307430441446,0.2681222261401827,0.2971316947300428,0.28213074584081255,0.014496243928788009,7,0.3173658235790401,0.2825076891227708,0.29993675635090544,0.017429067228134643,0.4789134300487753,0.5061197761376978,0.4920512313838208,0.013595210408435473,4,0.5581314869896091,0.5207005694157752,0.5394160282026922,0.01871545878691694
7,0,"KNeighborsClassifier-split_x_y-{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}-(5 of 5)",0.007679104804992676,0.0005155801773071289,1.2810362577438354,0.09042751789093018,brute,hamming,60,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",0.3969465648854962,0.4223433242506812,0.40921052631578947,0.012690946668603875,4,0.43869209809264303,0.4083969465648855,0.4235445223287643,0.015147575763878762,0.21347187699136272,0.23883025348238943,0.22571730353374006,0.012671766465258763,8,0.2593516637228261,0.2153193198390628,0.23733549178094443,0.022016171941881643,0.3969465648854962,0.4223433242506812,0.40921052631578947,0.012690946668603875,4,0.43869209809264303,0.4083969465648855,0.4235445223287643,0.015147575763878762,0.26074089356532104,0.294250912260422,0.27692270522466583,0.0167452017798156,8,0.30588834301448803,0.2744762092781308,0.2901822761463094,0.015706066868178603,0.4821758356508238,0.5097666776605915,0.4954993080423827,0.013787345836250393,2,0.5497570223071108,0.509763485812102,0.5297602540596064,0.019996768247504404
8,0,"KNeighborsClassifier-split_x_y-{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}-(5 of 5)",0.008238673210144043,0.003960013389587402,1.1449090242385864,0.025827527046203613,brute,hamming,80,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 80}",0.39185750636132316,0.4196185286103542,0.4052631578947368,0.01387238614826367,6,0.43460490463215257,0.3944020356234097,0.4145034701277811,0.020101434504371435,0.21205272833427996,0.24519117421894393,0.22805510943911111,0.016559524124924584,7,0.2670984008723879,0.2094396906005113,0.23826904573644958,0.028829355135938303,0.39185750636132316,0.4196185286103542,0.4052631578947368,0.01387238614826367,6,0.43460490463215257,0.3944020356234097,0.4145034701277811,0.020101434504371435,0.2551847253382862,0.28738977922036874,0.2707363763576603,0.016093101304779246,9,0.303114306019751,0.25863224449916583,0.2808732752594584,0.022241030760292574,0.4825698015318357,0.5120972090151731,0.4968284311981315,0.014755061787405306,1,0.5446264034240361,0.49996850883910265,0.5222974561315694,0.022328947292466737
9,0,"KNeighborsClassifier-split_x_y-{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}-(5 of 5)",0.006166338920593262,0.000775456428527832,1.0126677751541138,0.01802384853363037,brute,hamming,100,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 100}",0.3842239185750636,0.4114441416893733,0.3973684210526316,0.01360214485966116,7,0.42370572207084467,0.37786259541984735,0.400784158745346,0.02292156332549866,0.21384584360990896,0.2601221594983247,0.2361924329928676,0.023124613991674564,5,0.2679351241006257,0.20233040749132877,0.23513276579597725,0.03280235830464846,0.3842239185750636,0.4114441416893733,0.3973684210526316,0.01360214485966116,7,0.42370572207084467,0.37786259541984735,0.400784158745346,0.02292156332549866,0.24749474852077533,0.2780944487688248,0.26227118271950445,0.015290894335740024,10,0.29176028899062845,0.23927946210128387,0.26551987554595613,0.026240413444672293,0.48103648698462187,0.509045706562293,0.49456199170173415,0.013996412171260091,3,0.5367934567672406,0.4932809097531476,0.5150371832601941,0.02175627350704648
