,column,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_metric,param_n_neighbors,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg
0,0,"KNeighborsClassifier-split_x_y_word2vec-{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}-(1 of 5)",0.0012413263320922852,0.00012671947479248047,0.3528522253036499,0.021013379096984863,brute,hamming,1,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 1}",0.34220532319391633,0.38493150684931504,0.3627386438446346,0.02134697103180136,10,0.9849315068493151,0.9860583016476553,0.9854949042484852,0.0005633973991701069,0.3561470215462611,0.39315068493150684,0.3739302172481896,0.018487870031321154,10,0.9863013698630136,0.9860583016476553,0.9861798357553344,0.0001215341076791776,0.34782749991875184,0.3901885025172665,0.3681853221023698,0.02116451828793966,10,0.9850602973890643,0.9861774614626324,0.9856188794258484,0.0005585820367840499,0.4637878135138337,0.49654337766982365,0.47952946054074136,0.01636542324509426,10,0.987958096227977,0.9887977248551506,0.9883779105415638,0.000419814313586786
1,0,"KNeighborsClassifier-split_x_y_word2vec-{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}-(1 of 5)",0.0013729333877563477,3.635883331298828e-05,0.3578718900680542,0.03160750865936279,brute,hamming,5,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 5}",0.39670468948035487,0.39863013698630134,0.3976300197498354,0.000961997272309624,9,0.5328767123287671,0.5310519645120405,0.5319643384204038,0.0009123739083632953,0.5678073510773131,0.5904109589041096,0.5786701777485188,0.011293275462758398,9,1.0,1.0,1.0,0.0,0.4156402673512914,0.4238549350193159,0.41958806682308725,0.004104234400140191,9,0.6218493150684913,0.6023658639628198,0.6121075895156556,0.009741725552835756,0.5617517359268634,0.5857275604164973,0.5732740215604597,0.011978866050188346,9,0.7776505815985324,0.7819027676905524,0.7797766746445425,0.0021260930460100247
2,0,"KNeighborsClassifier-split_x_y_word2vec-{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}-(1 of 5)",0.0013619661331176758,0.0001863241195678711,0.3569737672805786,0.012407898902893066,brute,hamming,10,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 10}",0.4005069708491762,0.42876712328767125,0.4140882159315339,0.014119413526946676,4,0.4712328767123288,0.467680608365019,0.46945674253867387,0.0017761341736548808,0.5716096324461344,0.6136986301369863,0.5918367346938775,0.02102861846287653,8,0.8890410958904109,0.8555133079847909,0.8722772019376008,0.016763893952810027,0.44813472332483567,0.4738329820864049,0.46048477526423365,0.012839433303368236,8,0.5858045227223313,0.5711952038948236,0.5784998633085774,0.007304659413753856,0.5790095816252316,0.604829317879726,0.5914180131366081,0.012900126215784765,8,0.7226399463010326,0.7188272307747406,0.7207335885378866,0.0019063577631459605
3,0,"KNeighborsClassifier-split_x_y_word2vec-{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}-(1 of 5)",0.001471400260925293,7.164478302001953e-05,0.3724963665008545,0.06968283653259277,brute,hamming,15,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}",0.40304182509505704,0.4246575342465753,0.41342988808426595,0.010799698864071137,5,0.46164383561643835,0.43599493029150826,0.4488193829539733,0.012824452662465041,0.5880861850443599,0.6191780821917808,0.6030283080974326,0.0155342174504246,6,0.8027397260273973,0.7959442332065906,0.7993419796169939,0.0033977464104033572,0.4629608913829425,0.4848168612209689,0.47346441869153977,0.010919738555805261,7,0.5690853324757431,0.5509497578889202,0.5600175451823317,0.009067787293411456,0.5866061979313417,0.6086147080690474,0.597183032954729,0.01099595115145149,7,0.7012303583085421,0.6909721792853865,0.6961012687969643,0.005129089511577811
4,0,"KNeighborsClassifier-split_x_y_word2vec-{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}-(1 of 5)",0.0011394023895263672,9.822845458984375e-05,0.3771333694458008,0.008696317672729492,brute,hamming,20,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 20}",0.39923954372623577,0.4273972602739726,0.412771560236998,0.014068234231124972,6,0.45616438356164385,0.42712294043092525,0.4416436619962846,0.014520721565359301,0.5855513307984791,0.6273972602739726,0.6056616194865043,0.020907176066011463,5,0.7506849315068493,0.752851711026616,0.7517683212667327,0.001083389759883313,0.46702270520561295,0.4976897119131187,0.4817606346963827,0.015321932543686594,6,0.5655958251838579,0.5374478466579304,0.5515218359208942,0.014073989262963715,0.5853798200642425,0.6156554072085721,0.599929641404177,0.015126370446594284,6,0.691173114005852,0.6704236190517404,0.6807983665287962,0.010374747477055801
5,0,"KNeighborsClassifier-split_x_y_word2vec-{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}-(1 of 5)",0.0012058019638061523,1.2993812561035156e-05,0.3598214387893677,0.01791846752166748,brute,hamming,25,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 25}",0.39923954372623577,0.4397260273972603,0.4186965108624095,0.02022796608925905,2,0.44794520547945205,0.42839036755386567,0.4381677865166589,0.009777418962793188,0.5906210392902408,0.6273972602739726,0.6082949308755761,0.018374234645683142,4,0.7493150684931507,0.7363751584283904,0.7428451134607705,0.006469955032380126,0.4736102824388129,0.5074200541166362,0.48985855980866877,0.016892129248410298,5,0.5612056251882463,0.533189202772717,0.5471974139804816,0.014008211207764687,0.5885789990343367,0.6210772773859332,0.6041969998221349,0.016236877418076837,3,0.6802018475162299,0.6610555930840059,0.6706287203001179,0.009573127216112032
6,0,"KNeighborsClassifier-split_x_y_word2vec-{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}-(1 of 5)",0.001455545425415039,4.1961669921875e-05,0.4267909526824951,0.04165792465209961,brute,hamming,40,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 40}",0.40304182509505704,0.44246575342465755,0.4219881500987492,0.01969708932582038,1,0.4520547945205479,0.41064638783269963,0.4313505911766238,0.020704203343924144,0.5830164765525983,0.6219178082191781,0.6017116524028966,0.019435988172560488,7,0.7232876712328767,0.6856780735107731,0.7044828723718249,0.018804798861051797,0.4793580003967369,0.5147276092652853,0.4963559032762895,0.017671459309650812,1,0.5543819383520762,0.5137586031396619,0.5340702707458691,0.020311667606207118,0.5902852630375006,0.6232577725164851,0.6061311695020554,0.016473814052071076,1,0.6666383344764145,0.6398903173673685,0.6532643259218915,0.013374008554523031
7,0,"KNeighborsClassifier-split_x_y_word2vec-{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}-(1 of 5)",0.0014570951461791992,0.00010716915130615234,0.35465168952941895,0.026740312576293945,brute,hamming,60,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",0.394169835234474,0.4397260273972603,0.4160631994733377,0.022760907509587397,3,0.4397260273972603,0.4055766793409379,0.4226513533690991,0.017074674028161207,0.5931558935361216,0.6424657534246575,0.6168531928900592,0.024636325095460626,2,0.7013698630136986,0.6552598225602028,0.6783148427869508,0.023055020226747935,0.47440964465300883,0.5198126268671897,0.4962293793576514,0.02268436034213985,2,0.5409157867275397,0.5063756612469287,0.5236457239872342,0.017270062740305514,0.585981157286354,0.6250305700246344,0.6047474978386547,0.01950997283670564,2,0.6552724949687011,0.6273329157735965,0.6413027053711489,0.013969789597552296
8,0,"KNeighborsClassifier-split_x_y_word2vec-{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}-(1 of 5)",0.0013096332550048828,7.796287536621094e-05,0.3851323127746582,0.05704951286315918,brute,hamming,80,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 80}",0.38783269961977185,0.42191780821917807,0.40421329822251484,0.017029693823248586,7,0.4246575342465753,0.3916349809885932,0.4081462576175843,0.016511276628991073,0.5931558935361216,0.636986301369863,0.6142198815009875,0.021898666491845496,3,0.6726027397260274,0.6387832699619772,0.6556930048440023,0.016909734882025074,0.47436124677842256,0.5111572867087466,0.49204466293980276,0.018384136641194794,4,0.5303804574034147,0.4964084048826315,0.5133944311430231,0.016986026260391585,0.5852097681884914,0.6201299298281873,0.6019916760206033,0.017446905273839474,5,0.6414217500336299,0.617563412894604,0.629492581464117,0.011929168569512927
9,0,"KNeighborsClassifier-split_x_y_word2vec-{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}-(1 of 5)",0.0013843774795532227,0.00010263919830322266,0.39119064807891846,0.022662997245788574,brute,hamming,100,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 100}",0.38910012674271227,0.4191780821917808,0.40355497037524685,0.015027629166358936,8,0.4232876712328767,0.385297845373891,0.40429275830338385,0.018994912929492846,0.5956907477820025,0.6506849315068494,0.6221198156682027,0.027476342290719224,1,0.6643835616438356,0.6299112801013942,0.6471474208726149,0.01723614077122071,0.47704364925777576,0.5144649837373013,0.49502756905372947,0.018696547989135563,3,0.529560004132841,0.49192169461790813,0.5107408493753746,0.018819154757466428,0.5877400512765414,0.6191457337997905,0.6028329730948244,0.01569099174559764,4,0.6393771890645634,0.6079480795518984,0.623662634308231,0.01571455475633249
