,column,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_probability,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg
0,0,"SVC-split_x_y_with_random_matrix-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}-(5 of 5)",0.608199954032898,0.07738292217254639,2.2243812084198,0.23123502731323242,1e-05,1e-05,rbf,True,"{'C': 1e-05, 'gamma': 1e-05, 'kernel': 'rbf', 'probability': True}",0.33078880407124683,0.3528610354223433,0.3414473684210526,0.01102965567007927,7,0.3528610354223433,0.33078880407124683,0.3418249197467951,0.011036115675548241,0.5750636132315522,0.5272479564032697,0.5519736842105263,0.02389383393394122,41,0.6130790190735694,0.49236641221374045,0.5527227156436549,0.06035630342991449,0.4104718472197334,0.39430699611413994,0.40266592569900606,0.00807769449389805,41,0.44000765004497405,0.35996635872283383,0.39998700438390394,0.04002064566107011,0.5315504449987798,0.5213741657963276,0.5266363733312799,0.005085161251721893,41,0.5582703320546036,0.49220661341501376,0.5252384727348087,0.03303185931979494
1,0,"SVC-split_x_y_with_random_matrix-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}-(5 of 5)",0.5365684032440186,0.052822113037109375,2.2727516889572144,0.21364223957061768,1e-05,0.001,rbf,True,"{'C': 1e-05, 'gamma': 0.001, 'kernel': 'rbf', 'probability': True}",0.33078880407124683,0.3528610354223433,0.3414473684210526,0.01102965567007927,7,0.3528610354223433,0.33078880407124683,0.3418249197467951,0.011036115675548241,0.6005089058524173,0.6294277929155313,0.6144736842105263,0.014450979676425495,13,0.6512261580381471,0.6068702290076335,0.6290481935228903,0.022177964515256776,0.4382936696242859,0.4742225771654074,0.45564354997638007,0.017953938252871667,40,0.46948103749528536,0.4322271801724734,0.4508541088338794,0.018626928661405973,0.5545343083661164,0.5847941884016139,0.5691466451727316,0.015121083686578137,40,0.5808532573924862,0.5481726613842878,0.564512959388387,0.016340298004099196
2,0,"SVC-split_x_y_with_random_matrix-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}-(5 of 5)",0.5557687282562256,0.07128715515136719,2.4874277114868164,0.33216094970703125,1e-05,0.1,rbf,True,"{'C': 1e-05, 'gamma': 0.1, 'kernel': 'rbf', 'probability': True}",0.33078880407124683,0.3528610354223433,0.3414473684210526,0.01102965567007927,7,0.3528610354223433,0.33078880407124683,0.3418249197467951,0.011036115675548241,0.594147582697201,0.6321525885558583,0.6125,0.018991379788138706,16,0.6730245231607629,0.6310432569974554,0.6520338900791092,0.02099063308165372,0.47749232360632327,0.5154199015954813,0.49580735139845616,0.018952688514643976,5,0.5971523183872012,0.5645102047252369,0.580831261556219,0.016321056830982117,0.5833893301156091,0.615698119362042,0.5989910743964524,0.016144938626135405,5,0.6781431739524867,0.648848910310685,0.6634960421315859,0.014647131820900827
3,0,"SVC-split_x_y_with_random_matrix-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}-(5 of 5)",0.4852224588394165,0.059499382972717285,2.4562095403671265,0.11527717113494873,1e-05,10.0,rbf,True,"{'C': 1e-05, 'gamma': 10.0, 'kernel': 'rbf', 'probability': True}",0.33078880407124683,0.3528610354223433,0.3414473684210526,0.01102965567007927,7,0.3528610354223433,0.33078880407124683,0.3418249197467951,0.011036115675548241,0.5877862595419847,0.6253405994550408,0.6059210526315789,0.018766178714303246,33,0.6226158038147139,0.5788804071246819,0.6007481054696979,0.021867698345016007,0.45439823459649786,0.48329979510446786,0.46835464605232024,0.014442321469914936,22,0.47650386416520546,0.39646119199664237,0.4364825280809239,0.040021336084281545,0.5659008402508128,0.5915517311091893,0.5782875204416341,0.012817938037090346,22,0.5846849278417136,0.5205213715193546,0.5526031496805341,0.032081778161179464
4,0,"SVC-split_x_y_with_random_matrix-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}-(5 of 5)",0.6079822778701782,0.03897106647491455,2.439171075820923,0.1528949737548828,1e-05,1000.0,rbf,True,"{'C': 1e-05, 'gamma': 1000.0, 'kernel': 'rbf', 'probability': True}",0.33078880407124683,0.3528610354223433,0.3414473684210526,0.01102965567007927,7,0.3528610354223433,0.33078880407124683,0.3418249197467951,0.011036115675548241,0.5877862595419847,0.6253405994550408,0.6059210526315789,0.018766178714303246,33,0.6226158038147139,0.583969465648855,0.6032926347317844,0.01932316908292947,0.4544077447884382,0.4824167673839503,0.4679331543839026,0.013996313737832465,37,0.47639781962118655,0.39814341685698057,0.43727061823908353,0.03912720138210299,0.5658848247488406,0.5909192416700491,0.577973812920003,0.012509881495439211,37,0.5847733855202266,0.5221795419034146,0.5534764637118206,0.031296921808405986
5,0,"SVC-split_x_y_with_random_matrix-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}-(5 of 5)",0.5409355163574219,0.02715444564819336,2.6031150817871094,0.14926362037658691,1e-05,100000.0,rbf,True,"{'C': 1e-05, 'gamma': 100000.0, 'kernel': 'rbf', 'probability': True}",0.33078880407124683,0.3528610354223433,0.3414473684210526,0.01102965567007927,7,0.3528610354223433,0.33078880407124683,0.3418249197467951,0.011036115675548241,0.5877862595419847,0.6253405994550408,0.6059210526315789,0.018766178714303246,33,0.6198910081743869,0.5814249363867684,0.6006579722805776,0.01923303589380926,0.4543873498108815,0.4824183171147403,0.4679233563905081,0.014007279669323233,38,0.4744801049780212,0.4508336042716924,0.4626568546248568,0.011823250353164394,0.5658738129024373,0.5909077858571067,0.5779625866844949,0.01250965964210788,38,0.5832095531565343,0.5614300332171442,0.5723197931868393,0.010889759969695045
6,0,"SVC-split_x_y_with_random_matrix-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}-(5 of 5)",0.6364496946334839,0.12509143352508545,2.3344494104385376,0.09484922885894775,1e-05,scale,rbf,True,"{'C': 1e-05, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True}",0.33078880407124683,0.3528610354223433,0.3414473684210526,0.01102965567007927,7,0.3528610354223433,0.33078880407124683,0.3418249197467951,0.011036115675548241,0.5992366412213741,0.6335149863760218,0.6157894736842106,0.017129140139114755,12,0.6525885558583107,0.6005089058524173,0.626548730855364,0.02603982500294666,0.4549337729126052,0.5063454755303741,0.47976021351881737,0.02569080435351337,17,0.49762770627395153,0.4705919699797498,0.48410983812685066,0.013517868147100875,0.5666941629295269,0.6089077743673144,0.5870788937159321,0.02109445082117562,17,0.6015915383995127,0.5763458734978752,0.588968705948694,0.012622832450818744
7,0,"SVC-split_x_y_with_random_matrix-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}-(5 of 5)",0.5618975162506104,0.017046213150024414,2.131913423538208,0.27088260650634766,0.001,1e-05,rbf,True,"{'C': 0.001, 'gamma': 1e-05, 'kernel': 'rbf', 'probability': True}",0.33078880407124683,0.3528610354223433,0.3414473684210526,0.01102965567007927,7,0.3528610354223433,0.33078880407124683,0.3418249197467951,0.011036115675548241,0.4198473282442748,0.39373297002724794,0.4072368421052632,0.013049536070787997,42,0.46185286103542234,0.36768447837150126,0.4147686697034618,0.04708419133196054,0.30841250929757597,0.28077556779498514,0.2950667757035617,0.01381038209046124,42,0.3414371512793336,0.23955551817697265,0.2904963347281531,0.050940816551180476,0.4470630054816296,0.4259545009345222,0.43686981973322375,0.010548074327488926,42,0.4759606762465543,0.3926049107030529,0.4342827934748036,0.04167788277175069
8,0,"SVC-split_x_y_with_random_matrix-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}-(5 of 5)",0.5421289205551147,0.05980122089385986,2.2638450860977173,0.19354164600372314,0.001,0.001,rbf,True,"{'C': 0.001, 'gamma': 0.001, 'kernel': 'rbf', 'probability': True}",0.33078880407124683,0.3528610354223433,0.3414473684210526,0.01102965567007927,7,0.3528610354223433,0.33078880407124683,0.3418249197467951,0.011036115675548241,0.5979643765903307,0.6389645776566758,0.6177631578947368,0.0204881007711682,9,0.6689373297002725,0.6221374045801527,0.6455373671402126,0.02339996256005994,0.4842229829965723,0.5106481277243481,0.4969835463059061,0.013204838366507005,4,0.5291179688732486,0.48603752336154477,0.5075777461173967,0.021540222755851907,0.588616667128572,0.6123338784512016,0.6000695836488418,0.011851664210202957,4,0.6266065546322015,0.5890107182537573,0.6078086364429793,0.018797918189222107
9,0,"SVC-split_x_y_with_random_matrix-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}-(5 of 5)",0.6486564874649048,0.10687530040740967,2.6574822664260864,0.54448401927948,0.001,0.1,rbf,True,"{'C': 0.001, 'gamma': 0.1, 'kernel': 'rbf', 'probability': True}",0.33078880407124683,0.3528610354223433,0.3414473684210526,0.01102965567007927,7,0.3528610354223433,0.33078880407124683,0.3418249197467951,0.011036115675548241,0.5852417302798982,0.6307901907356949,0.6072368421052632,0.022760899300953628,20,0.6648501362397821,0.573791348600509,0.6193207424201455,0.045529393819636554,0.4748831999799343,0.5053286204960673,0.48958513330811954,0.015213799623708304,13,0.5803316381698295,0.5166201389178022,0.5484758885438159,0.03185574962601362,0.5812574165270783,0.6082038813311912,0.5942697225574854,0.01346534582696419,13,0.6635807218886791,0.6105215092848244,0.6370511155867518,0.026529606301927355
