,column,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_metric,param_n_neighbors,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg,split0_test_map@5,split1_test_map@5,mean_test_map@5,std_test_map@5,rank_test_map@5,split0_train_map@5,split1_train_map@5,mean_train_map@5,std_train_map@5,split0_test_map@1,split1_test_map@1,mean_test_map@1,std_test_map@1,rank_test_map@1,split0_train_map@1,split1_train_map@1,mean_train_map@1,std_train_map@1,params_str
4,1,0.0040853023529052734,0.00012302398681640625,0.8142656087875366,0.022238850593566895,brute,hamming,20,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 20}",0.18080357142857142,0.18487394957983194,0.1827646038172354,0.0020338375941414133,2,0.26410564225690275,0.2578125,0.2609590711284514,0.0031465711284513753,0.35379464285714285,0.3745498199279712,0.3637941006362059,0.010370697225426124,6,0.6326530612244898,0.609375,0.6210140306122449,0.011639030612244916,0.23223699191675082,0.24105755828639938,0.2364865765239904,0.004407354505540265,6,0.3592800145629164,0.3581067692113332,0.3586933918871248,0.0005866226757915982,0.4049719657449223,0.41092716275870983,0.407841068759662,0.002975621211854475,5,0.5610240529445963,0.5524719603166186,0.5567480066306074,0.004276046313988868,0.14425244955936917,0.13693872354136458,0.14072883257093782,0.0036544346436365952,6,0.16511409758708678,0.15045911120129868,0.15778660439419273,0.007327493192894052,0.041446109693877554,0.04182841967956012,0.041630299525036364,0.000191028055036134,6,0.047135607489749154,0.045560837971552255,0.0463482227306507,0.0007873847590984494,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 20}"
5,1,0.007961392402648926,0.00011813640594482422,0.8611373901367188,0.09960222244262695,brute,hamming,25,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 25}",0.171875,0.1836734693877551,0.1775592828224407,0.005895317265967492,4,0.24009603841536614,0.25,0.24504801920768307,0.004951980792316929,0.36941964285714285,0.37214885954381755,0.3707345286292655,0.001363702165657039,3,0.5906362545018007,0.5770089285714286,0.5838225915366146,0.00681366296518604,0.23621988808806155,0.24132715580205916,0.23868047455755836,0.002551938098639865,5,0.34296828033630783,0.34516749777193073,0.3440678890541193,0.001099608717811451,0.4069483347458648,0.41582946477186433,0.41122709779482813,0.0044376162248567245,2,0.5382831691081317,0.535246437199337,0.5367648031537343,0.0015183659543973604,0.14504969175170065,0.13869464668984477,0.14198794939396442,0.003175412474947218,5,0.15999755746454425,0.15136097905071116,0.1556792682576277,0.004318289206916542,0.04219547193877551,0.04373801468639404,0.04293864030706136,0.0007707592056785196,1,0.04712339481247044,0.04669478586889301,0.04690909034068172,0.00021430447178871423,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 25}"
6,1,0.004516124725341797,0.00019025802612304688,0.834892988204956,0.008331775665283203,brute,hamming,40,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 40}",0.15625,0.18607442977190877,0.17061885482938113,0.014902312325736577,6,0.22088835534213686,0.22433035714285715,0.222609356242497,0.0017210009003601479,0.35825892857142855,0.382953181272509,0.37015615962984383,0.012338927155240383,5,0.5294117647058824,0.5011160714285714,0.5152639180672269,0.014147846638655481,0.23745243265252505,0.2555253473484423,0.24615962637242042,0.0090304566254819,4,0.322327077262624,0.3230120456448006,0.3226695614537123,0.00034248419108831585,0.4000382835874753,0.41821475904126776,0.40879537095185303,0.009082202619298029,4,0.5042892730905105,0.5041327434697702,0.5042110082801403,7.826481037015443e-05,0.14796930561997526,0.14310378696933318,0.14562518934699387,0.0024311438345372325,3,0.15972368168046439,0.1472974885977118,0.1535105851390881,0.006213096541376292,0.040906675170068026,0.04352312353512834,0.042167231264975624,0.0013073554471447724,4,0.046089864517235464,0.04569781037414966,0.04589383744569256,0.00019602707154290147,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 40}"
7,1,0.006676793098449707,0.0026117563247680664,0.9927337169647217,0.05668497085571289,brute,hamming,60,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",0.16294642857142858,0.1836734693877551,0.17293233082706766,0.010356638440213155,5,0.20168067226890757,0.1875,0.19459033613445378,0.007090336134453784,0.3705357142857143,0.38535414165666265,0.37767495662232503,0.007404293545491742,1,0.48619447779111646,0.4765625,0.48137848889555823,0.004815988895558232,0.24071707433858588,0.2612004494064121,0.2505855829745022,0.010234886469932205,2,0.30636381789442996,0.2975158273530412,0.3019398226237356,0.00442399527069437,0.40149885473081376,0.4224495252387686,0.4115924976071159,0.010468379034599714,1,0.4758093462732379,0.47022700462577166,0.47301817544950475,0.002791170823733119,0.14460278003246754,0.14471679580923277,0.1446577107103423,5.6970031897048484e-05,4,0.15356896005155307,0.148908786525974,0.15123887328876354,0.002330086762789535,0.04088541666666666,0.04386040130337848,0.04231870886006223,0.0014865045387156162,3,0.04333161836163036,0.040935905612244895,0.04213376198693763,0.0011978563746927323,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}"
8,1,0.006170034408569336,0.0020418167114257812,0.941198468208313,0.02650463581085205,brute,hamming,80,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 80}",0.14508928571428573,0.1836734693877551,0.16367842683632158,0.019279280788704483,8,0.17767106842737096,0.17857142857142858,0.17812124849939975,0.00045018007202880794,0.36830357142857145,0.37695078031212487,0.3724696356275304,0.004320733322116072,2,0.45138055222088835,0.45535714285714285,0.45336884753901563,0.001988295318127248,0.2415913992148728,0.26605918226509234,0.2533795214131567,0.01222576752418489,1,0.2952023663086228,0.2875708759953041,0.29138662115196345,0.0038157451566593337,0.40006588363321927,0.4199640852239588,0.4096524665858428,0.0099424940256516,3,0.46199982945442625,0.4542218262582803,0.45811082785635326,0.003889001598072983,0.1479563572588126,0.14601406796484828,0.14702059844916987,0.0009704997516114483,1,0.15252308715694068,0.15086621154143476,0.15169464934918772,0.000828437807752963,0.03890306122448979,0.042079689018464525,0.040433501335756974,0.0015872591660751596,7,0.042248327902589596,0.037874681122448975,0.04006150451251929,0.0021868233900703103,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 80}"
9,1,0.005263328552246094,0.001234292984008789,0.8397164344787598,0.07206487655639648,brute,hamming,100,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 100}",0.13727678571428573,0.1752701080432173,0.15558126084441873,0.018984046299232345,9,0.17046818727490998,0.171875,0.171171593637455,0.0007034063625450115,0.3638392857142857,0.37815126050420167,0.3707345286292655,0.007151235411658496,3,0.43937575030012005,0.4419642857142857,0.44067001800720285,0.0012942677070828246,0.23597635469804748,0.26273908819720826,0.24887014128266338,0.013372480759735976,3,0.2854555265756911,0.28099357033298883,0.28322454845434,0.002230978121351146,0.3940066428503795,0.4146736280774738,0.4039636114415707,0.010326630585763323,7,0.4482991887775005,0.4433790892264495,0.445839139001975,0.0024600497755255246,0.14689017084106368,0.14437208649693645,0.14567700469956107,0.0012582060963350283,2,0.1499362342339533,0.1452176339285714,0.14757693408126235,0.002359300152690952,0.03874096513605442,0.04179671868747498,0.04021317028835825,0.0015268621784896425,8,0.041945349568398786,0.0374282525510204,0.03968680105970959,0.002258548508689194,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 100}"
0,2,0.005397796630859375,0.00031447410583496094,0.8289028406143188,0.15513956546783447,brute,hamming,1,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 1}",0.174496644295302,0.18682634730538922,0.18045112781954886,0.006161261185170928,8,0.9820359281437125,0.9686800894854586,0.9753580088145856,0.00667791932912698,0.2058165548098434,0.21077844311377245,0.20821283979178715,0.002479499286166133,10,0.9820359281437125,0.9686800894854586,0.9753580088145856,0.00667791932912698,0.1815522285320935,0.19377654946517123,0.1874558190347655,0.0061086008331608325,10,0.9821894672194071,0.9689477810283176,0.9755686241238624,0.006620843095544782,0.3363030534145063,0.34901787774739745,0.34244352670424844,0.00635370970204376,10,0.9851306418550102,0.9740109867724711,0.9795708143137407,0.005559827541269546,0.075947998682898,0.07924698654638775,0.07754120566150641,0.0016485332904645164,10,0.12182155170179121,0.12119364788827874,0.12150759979503498,0.0003139519067562324,0.037005844640072824,0.03965432770821992,0.038284898059334146,0.001323470315060064,10,0.08595406589418565,0.08522339889789553,0.08558873239604059,0.00036533349814506233,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 1}"
1,2,0.006749391555786133,0.0013647079467773438,0.8074312210083008,0.08778977394104004,brute,hamming,5,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 5}",0.18008948545861297,0.1844311377245509,0.18218623481781376,0.0021695618753953642,7,0.40119760479041916,0.39149888143176736,0.3963482431110933,0.004849361679325898,0.3400447427293065,0.3568862275449102,0.3481781376518219,0.008415838289870574,8,1.0,1.0,1.0,0.0,0.20308705711390126,0.20656481907978852,0.204766600920446,0.001737868283944443,9,0.46019960079839983,0.43821774794928775,0.4492086743738438,0.010990926424556041,0.38463782461662077,0.3965191763042156,0.39037578219854197,0.005937216080570097,9,0.7021935209788258,0.7010127026723659,0.7016031118255959,0.0005904091532299427,0.12546473846809414,0.12877748399305286,0.12706458954579253,0.0016554081150680125,9,0.1647157114342743,0.16486930668138722,0.16479250905783077,7.679762355645992e-05,0.04051783414199521,0.041840215672550994,0.041156462585034005,0.0006608056973906504,7,0.05310858801876766,0.05248155088759115,0.052795069453179404,0.0003135185655882555,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 5}"
2,2,0.004121899604797363,8.308887481689453e-05,0.7656272649765015,0.037451863288879395,brute,hamming,10,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 10}",0.18791946308724833,0.19281437125748502,0.1902834008097166,0.002446028723447902,4,0.32934131736526945,0.32550335570469796,0.3274223365349837,0.0019189808302857436,0.33109619686800895,0.3437125748502994,0.33718912666281087,0.006304515193604921,9,0.7532934131736527,0.732662192393736,0.7429778027836944,0.010315610389958374,0.2197757127287314,0.22950553106241595,0.22447461284939454,0.00486207591448475,8,0.41089250071285954,0.40624533929903,0.4085689200059448,0.0023235807069147685,0.3971995264432201,0.41199694425181,0.4043457634994217,0.007394400003814622,8,0.6299862711679368,0.6207795877982082,0.6253829294830725,0.004603341684864315,0.13049241213670743,0.13642100215154104,0.13335555422021583,0.0029625686451086675,8,0.1586899966301164,0.15661964806260106,0.15765482234635875,0.00103517428375767,0.041236066319958936,0.04235023459574358,0.041774140646321095,0.0005567597001910423,5,0.05180625761464085,0.04854452966869074,0.05017539364166579,0.0016308639729750544,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 10}"
3,2,0.0060585737228393555,0.0015257596969604492,0.9507267475128174,0.04608798027038574,brute,hamming,15,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}",0.19239373601789708,0.2,0.19606709080393292,0.0038009171022816853,2,0.2970059880239521,0.29194630872483224,0.2944761483743922,0.0025298396495599396,0.3422818791946309,0.35808383233532937,0.3499132446500868,0.007896375156483743,7,0.6479041916167665,0.6387024608501118,0.6433033262334391,0.004600865383327324,0.23608095235611865,0.2426822778020372,0.23926898402028404,0.0032987404649847626,7,0.3865004822190443,0.3788268467798656,0.382663664499455,0.0038368177195893527,0.4064619087882134,0.41786447451831604,0.41196864238256603,0.005697962520813758,6,0.5869025198359028,0.5878231730180311,0.5873628464269669,0.00046032659106415297,0.13456339521775762,0.1410789330430049,0.13770999677014714,0.0032558716353805433,7,0.15744034009902275,0.15347925564368514,0.15545979787135394,0.0019805422276688023,0.041864110907735064,0.04297508878347202,0.04240064446831364,0.0005551654291884954,4,0.049705394405993204,0.047945901972747604,0.04882564818937041,0.0008797462166228003,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}"
