,column,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_metric,param_n_neighbors,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg,split0_test_map@5,split1_test_map@5,mean_test_map@5,std_test_map@5,rank_test_map@5,split0_train_map@5,split1_train_map@5,mean_train_map@5,std_train_map@5,params_str
4,1,0.00545346736907959,0.003415226936340332,1.001714825630188,0.10331594944000244,brute,hamming,20,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 20}",0.03355704697986577,0.037125748502994015,0.035280508964719494,0.00178331158162705,6,0.04910179640718563,0.14988814317673377,0.0994949697919597,0.05039317338477407,0.06375838926174497,0.2155688622754491,0.13707345286292655,0.07586103040085786,6,0.3077844311377245,0.4217002237136465,0.3647423274256855,0.056957896287960996,0.055545327320397256,0.06438863164359672,0.05981609603634379,0.0044190770556766035,6,0.15494755586865588,0.19192022996254496,0.1734338929156004,0.018486337046944537,0.22756591954957428,0.27013648439971777,0.24812486787222887,0.02127288618609929,6,0.40666423027945003,0.47309775132152576,0.4398809908004879,0.033216760521037864,0.09348513902205177,0.08658091608989812,0.09015082661699203,0.0034501010065565575,9,0.15427397153744457,0.1161614224701473,0.13521769700379593,0.019056274533648637,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 20}"
5,1,0.0023421049118041992,0.00035011768341064453,1.070288062095642,0.04175674915313721,brute,hamming,25,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 25}",0.03355704697986577,0.046706586826347304,0.03990746096009254,0.006570940872842009,3,0.1317365269461078,0.10738255033557047,0.11955953864083912,0.012176988305268664,0.14541387024608501,0.2347305389221557,0.18854829381145172,0.0446323259734992,5,0.38922155688622756,0.5067114093959731,0.4479664831411003,0.05874492625487279,0.07916049373131778,0.07420211568350218,0.07676590398584293,0.0024777451802704673,5,0.1999290141521473,0.22395522012802557,0.21194211714008643,0.012013102987939131,0.2831207253691853,0.2987387063346092,0.2906632436491905,0.0078044426402063,4,0.42521145402331756,0.4943267840709251,0.45976911904712137,0.03455766502380378,0.12947325605043725,0.1563699095315862,0.14246267516944208,0.013440494630634533,5,0.157750499001996,0.15515006246549867,0.15645028073374734,0.0013002182682486652,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 25}"
6,1,0.008485913276672363,0.00014030933380126953,1.1727945804595947,0.12792634963989258,brute,hamming,40,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 40}",0.03355704697986577,0.0407185628742515,0.03701561596298438,0.0035786725658326587,5,0.13892215568862276,0.1912751677852349,0.16509866173692883,0.02617650604830607,0.18680089485458612,0.2502994011976048,0.21746674378253325,0.03173076286813204,4,0.2970059880239521,0.3232662192393736,0.3101361036316629,0.01313011560771074,0.09127165052683962,0.10778034119351636,0.0992443264705499,0.00824953812264368,4,0.20485802341676795,0.18535590268657415,0.19510696305167105,0.009751060365096903,0.2769146523197963,0.2912988679097629,0.2838613382756217,0.00718791921598483,5,0.40181876041346837,0.3785205336447993,0.3901696470291338,0.011649113384334525,0.16365326321702162,0.15683754568784508,0.16036169344440024,0.003405874077197864,1,0.16985410996189437,0.15567608007205322,0.16276509501697378,0.007089014944920577,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 40}"
7,1,0.0032352209091186523,0.0007859468460083008,1.0456116199493408,0.18551230430603027,brute,hamming,60,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",0.09395973154362416,0.0407185628742515,0.06824754193175246,0.026605080893462998,1,0.13293413173652693,0.039149888143176735,0.08604200993985184,0.046892121796675096,0.23378076062639822,0.27305389221556886,0.25274725274725274,0.019625129744204273,1,0.3473053892215569,0.27293064876957496,0.3101180189955659,0.03718737022599097,0.1485541490575051,0.11483578754615689,0.13227026712460993,0.016849362213953424,2,0.1985989613340784,0.16992960195891996,0.18426428164649916,0.014334679687579219,0.3175469069279908,0.3066621885932543,0.3122902615783638,0.005439189616527203,2,0.3955614231803628,0.355017815710684,0.3752896194455234,0.02027180373483939,0.14472016425036557,0.15647826425071934,0.15039859889483947,0.005875626126944768,4,0.1699885164735464,0.11907831914543324,0.1445334178094898,0.025455098664056583,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}"
8,1,0.004101395606994629,0.0011788606643676758,1.0323745012283325,0.057352662086486816,brute,hamming,80,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 80}",0.030201342281879196,0.0407185628742515,0.035280508964719494,0.00525554775801575,6,0.12694610778443113,0.039149888143176735,0.08304799796380394,0.0438981098206272,0.20246085011185683,0.27305389221556886,0.23655292076344708,0.03527596487124647,2,0.2958083832335329,0.31208053691275167,0.3039444600731423,0.008136076839609374,0.12070857653026336,0.12522556594850098,0.12289000288320055,0.0022571793946412704,3,0.18341064268263574,0.15759084254098216,0.17050074261180895,0.01290990007082679,0.29677626938855745,0.3009187364726422,0.29877682463159433,0.0020700272857455647,3,0.37930621474404097,0.35472590793527836,0.3670160613396597,0.012290153404381304,0.14424344112263573,0.1626658890012183,0.15314034336590723,0.009205859456410583,3,0.15346999507478548,0.16145074910175586,0.15746037208827068,0.0039903770134851885,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 80}"
9,1,0.0037118196487426758,0.001290440559387207,1.3478281497955322,0.03252744674682617,brute,hamming,100,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 100}",0.09395973154362416,0.0407185628742515,0.06824754193175246,0.026605080893462998,1,0.09940119760479042,0.039149888143176735,0.06927554287398358,0.030125654730806844,0.20246085011185683,0.2634730538922156,0.23192596876807403,0.030488335580031518,3,0.25748502994011974,0.2606263982102908,0.2590557140752053,0.0015706841350855427,0.15931648963894066,0.13163757918584626,0.14594928881283664,0.013831395329064475,1,0.1888923806893928,0.16551921824573235,0.17720579946756257,0.011686581221830222,0.31839798069516684,0.31539763176657304,0.31694899784069847,0.001499300784503114,1,0.3611121603933966,0.3475069328576755,0.35430954662553604,0.006802613767860566,0.14421947180336445,0.16322477123674728,0.15339785527755453,0.009497115511675614,2,0.15002260414236462,0.15761299476064577,0.1538177994515052,0.0037951953091405755,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 100}"
0,2,0.0018358230590820312,0.00016689300537109375,1.022753119468689,0.12968909740447998,brute,hamming,1,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 1}",0.002229654403567447,0.016826923076923076,0.009253903990746095,0.007293474904993825,9,0.9807692307692307,0.9710144927536232,0.975891861761427,0.004877369007803778,0.027870680044593088,0.042067307692307696,0.03470213996529786,0.0070932959994868365,10,0.9807692307692307,0.9710144927536232,0.975891861761427,0.004877369007803778,0.0107576060753318,0.02523011176857328,0.017721819341252512,0.0072311375126434515,10,0.9809335963182115,0.9712622321317971,0.9760979142250044,0.0048356820932072275,0.1922676812946159,0.22258762229931978,0.20685772809387193,0.015149253862973918,10,0.9849383376206186,0.9764171376401958,0.9806777376304072,0.004260599990211389,0.04947373882156491,0.05296669476356976,0.0511545597259883,0.0017452433792468542,10,0.12349509865134863,0.12199718156239894,0.12274614010687379,0.0007489585444748412,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 1}"
1,2,0.002225041389465332,0.00029861927032470703,1.0039079189300537,0.02779865264892578,brute,hamming,5,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 5}",0.007803790412486065,0.11177884615384616,0.0578368999421631,0.05195077769440113,7,0.25600961538461536,0.21739130434782608,0.23670045986622074,0.01930915551839464,0.0758082497212932,0.23677884615384615,0.1532677848467322,0.08042840286043906,7,1.0,1.0,1.0,0.0,0.02306072473296548,0.05387902695595079,0.037890584449289236,0.015398258325417798,8,0.23762019230768996,0.31443701226309456,0.2760286022853923,0.0384084099777023,0.21824279334253738,0.3227808433643009,0.26854681741316044,0.052232075843230336,7,0.6888387779390128,0.6281713803422639,0.6585050791406384,0.030333698798374442,0.10555763077502207,0.08375556734931733,0.09506641228445739,0.0108933257331015,6,0.1686773643023643,0.1567815759120107,0.1627294701071875,0.0059478941951768005,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 5}"
2,2,0.0031671524047851562,0.0011615753173828125,1.049921989440918,0.11634016036987305,brute,hamming,10,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 10}",0.002229654403567447,0.004807692307692308,0.003470213996529786,0.0012881077397841124,10,0.10096153846153846,0.2853957636566332,0.19317865105908583,0.09221711259754738,0.07803790412486064,0.12259615384615384,0.09947946790052054,0.02226337566464702,8,0.46153846153846156,0.5841694537346711,0.5228539576365663,0.06131549609810477,0.020895863705228227,0.034721194937541215,0.02754865467416079,0.006907779027192639,9,0.17507011217948776,0.31431004583178573,0.24469007900563675,0.06961996682614899,0.21476875369014367,0.2968923683507362,0.25428688405313554,0.04103278058639196,9,0.4487177314903427,0.5644091263114379,0.5065634289008903,0.0578456974105476,0.08864495407973667,0.09323723151848151,0.09085477179462141,0.0022945155703950775,8,0.11930551219613718,0.1283386661647531,0.12382208918044513,0.004516576984307956,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 10}"
3,2,0.00202023983001709,5.1140785217285156e-05,0.9716624021530151,0.09885799884796143,brute,hamming,15,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}",0.03121516164994426,0.002403846153846154,0.01735106998264893,0.014395474335154878,8,0.140625,0.1806020066889632,0.1606135033444816,0.0199885033444816,0.06688963210702341,0.04807692307692308,0.0578368999421631,0.00939970512815433,9,0.4951923076923077,0.5629877369007804,0.529090022296544,0.03389771460423635,0.054293037570630164,0.029403235653235573,0.04231599003143277,0.012436103612050163,7,0.16021788708086712,0.27840012087503874,0.21930900397795294,0.05909111689708581,0.2330151356350577,0.2785430238443568,0.254923292367352,0.02274785218812814,8,0.4278996040962047,0.5039447903139102,0.46592219720505745,0.038022593108852726,0.08350564894043154,0.06163589015151515,0.07298185523749433,0.010927149487655647,9,0.1164848953130203,0.11619187575709315,0.11633838553505672,0.00014650977796357156,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}"
