,column,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_probability,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg,split0_test_map@5,split1_test_map@5,mean_test_map@5,std_test_map@5,rank_test_map@5,split0_train_map@5,split1_train_map@5,mean_train_map@5,std_train_map@5,params_str
21,0,0.9357255697250366,0.19385755062103271,5.506886720657349,0.15492939949035645,10.0,1e-05,rbf,True,"{'C': 10.0, 'gamma': 1e-05, 'kernel': 'rbf', 'probability': True}",0.2967525195968645,0.3157894736842105,0.3059572006940428,0.009513303176862047,15,0.3157894736842105,0.2967525195968645,0.3062709966405375,0.009518477043673007,0.5666293393057111,0.5992822966507177,0.5824175824175825,0.016317604245874348,33,0.6052631578947368,0.568868980963046,0.5870660694288914,0.018197088465845446,0.43598759939697773,0.4535752762883459,0.4444915310807162,0.008789058463690491,40,0.46342508546598277,0.43317574862144426,0.4483004170437135,0.015124668422269255,0.5495188587682398,0.5664420595885928,0.5577015053187402,0.008457001019609209,40,0.5746074498029342,0.5491714103121832,0.5618894300575588,0.012718019745375508,0.35254184784979853,0.3682428695706207,0.36013355065986635,0.007846243633899592,28,0.3726573147745396,0.34930236616686783,0.36097984047070375,0.011677474303835894,"{'C': 10.0, 'gamma': 1e-05, 'kernel': 'rbf', 'probability': True}"
22,0,1.2140873670578003,0.06053268909454346,6.264764308929443,0.11350011825561523,10.0,0.001,rbf,True,"{'C': 10.0, 'gamma': 0.001, 'kernel': 'rbf', 'probability': True}",0.2967525195968645,0.3157894736842105,0.3059572006940428,0.009513303176862047,15,0.3157894736842105,0.2967525195968645,0.3062709966405375,0.009518477043673007,0.5677491601343785,0.6100478468899522,0.5882012724117988,0.021137847433081208,17,0.6076555023923444,0.5789473684210527,0.5933014354066986,0.014354066985645897,0.45037136703728625,0.4820640811892978,0.46569531673715997,0.01583774362444476,23,0.48315514805182536,0.4528212265779256,0.46798818731487546,0.01516696073694987,0.5604049351012634,0.5879622930552458,0.573729371914178,0.013771189433282595,23,0.5895267960738431,0.5644556874820427,0.5769912417779428,0.012535554295900198,0.35022755147055246,0.3848383355081919,0.36696243606018036,0.01729598549369958,20,0.36877260299509096,0.3663583038834998,0.36756545343929536,0.001207149555795567,"{'C': 10.0, 'gamma': 0.001, 'kernel': 'rbf', 'probability': True}"
23,0,1.8385249376296997,0.09157454967498779,6.1746567487716675,0.5488401651382446,10.0,0.1,rbf,True,"{'C': 10.0, 'gamma': 0.1, 'kernel': 'rbf', 'probability': True}",0.3337066069428891,0.3708133971291866,0.3516483516483517,0.01854331020302791,8,0.3791866028708134,0.3437849944008959,0.3614857986358546,0.01770080423495876,0.5733482642777156,0.6220095693779905,0.5968768074031232,0.024317427371871994,8,0.6100478468899522,0.593505039193729,0.6017764430418406,0.008271403848111591,0.4571949301941584,0.49017889549544297,0.47314322110906526,0.016483018262611338,11,0.4985042786262187,0.4680045089732389,0.4832543937997288,0.015249884826489896,0.5655841173083023,0.5941828302333545,0.5794120664149209,0.014291583899175895,11,0.6004954046312285,0.5763900046992471,0.5884427046652378,0.012052699965990732,0.3532670651483641,0.4115272168023364,0.38143680880522984,0.02911424187247531,8,0.3719851798918784,0.39508704061895544,0.3835361102554169,0.01155093036353852,"{'C': 10.0, 'gamma': 0.1, 'kernel': 'rbf', 'probability': True}"
24,0,2.3372161388397217,0.22081995010375977,5.059628367424011,0.036055684089660645,10.0,10.0,rbf,True,"{'C': 10.0, 'gamma': 10.0, 'kernel': 'rbf', 'probability': True}",0.3157894736842105,0.33014354066985646,0.3227299016772701,0.007173132341912038,12,0.7452153110047847,0.7032474804031354,0.7242313957039601,0.020983915300824607,0.5946248600223965,0.6363636363636364,0.6148062463851938,0.020858044398467578,1,0.6961722488038278,0.6752519596864501,0.685712104245139,0.010460144558688822,0.4739830424766953,0.49614356372251445,0.4846980197823661,0.011074237832453631,1,0.5611050740427531,0.5382005089344175,0.5496527914885854,0.011452282554167803,0.5786523031563464,0.5996453967531218,0.5888028099503916,0.010490841291628495,1,0.6484419433359037,0.6300048007174449,0.6392233720266742,0.009218571309229373,0.3671848383046591,0.40690486546945875,0.38639012616456225,0.01984921846626227,4,0.3891417075747219,0.3995796551339664,0.39436068135434416,0.005218973779622271,"{'C': 10.0, 'gamma': 10.0, 'kernel': 'rbf', 'probability': True}"
25,0,7.60021710395813,0.2971761226654053,7.495803952217102,0.30618607997894287,10.0,1000.0,rbf,True,"{'C': 10.0, 'gamma': 1000.0, 'kernel': 'rbf', 'probability': True}",0.3561030235162374,0.38636363636363635,0.3707345286292655,0.015122082188889005,1,0.9629186602870813,0.9585666293393057,0.9607426448131935,0.0021760154738877935,0.561030235162374,0.6028708133971292,0.5812608444187392,0.02090891767748826,34,0.507177033492823,0.5117581187010078,0.5094675760969154,0.0022905426040924493,0.4516311974587536,0.4900696647666907,0.47021683000325065,0.019208786840399755,14,0.511926508127529,0.4951458508069135,0.5035361794672213,0.008390328660307783,0.5597968508497213,0.5921125322629744,0.5754220154890965,0.016149057944911095,15,0.588636485425645,0.5746595045135839,0.5816479949696145,0.006988490456030505,0.3538803003640629,0.3818963213819673,0.3674265083287639,0.014000396309713439,19,0.40852824209283545,0.40588797913545954,0.4072081106141475,0.0013201314786879526,"{'C': 10.0, 'gamma': 1000.0, 'kernel': 'rbf', 'probability': True}"
26,0,5.535860300064087,0.8717107772827148,6.297411680221558,0.5334377288818359,10.0,100000.0,rbf,True,"{'C': 10.0, 'gamma': 100000.0, 'kernel': 'rbf', 'probability': True}",0.2956326987681971,0.3145933014354067,0.30480046269519956,0.009475148217596565,37,0.9629186602870813,0.9608062709966405,0.9618624656418608,0.0010561946452203874,0.568868980963046,0.6052631578947368,0.5864661654135338,0.018187197249883318,20,0.0,0.0,0.0,0.0,0.43405341728983227,0.46068421633809675,0.4469298475988832,0.013308161800769935,34,0.0299635745885607,0.025412425857095453,0.027688000222828076,0.0022755743657326237,0.5482141702611575,0.5718758716645116,0.5596549929177242,0.011824419920207498,35,0.1885680207407494,0.18079430481411693,0.18468116277743318,0.00388685796331624,0.34937435464871064,0.3679523705959111,0.35835713159021415,0.00928395883707968,34,0.36587900536465123,0.347188037792741,0.3565335215786961,0.009345483785955122,"{'C': 10.0, 'gamma': 100000.0, 'kernel': 'rbf', 'probability': True}"
27,0,1.8793530464172363,0.4362363815307617,5.602451324462891,0.9917874336242676,10.0,scale,rbf,True,"{'C': 10.0, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True}",0.341545352743561,0.3815789473684211,0.3609022556390977,0.02000591697487169,5,0.4150717703349282,0.3650615901455767,0.3900666802402525,0.025005090094675747,0.574468085106383,0.6232057416267942,0.5980335454019664,0.02435558233113742,6,0.6303827751196173,0.6259798432250839,0.6281813091723506,0.0022014659472666676,0.4643973194069297,0.49771938663180937,0.48050908817500343,0.016651977335007204,2,0.5182720496940654,0.4852163995816017,0.5017442246378335,0.01652782505623185,0.5716458445490412,0.6002722779062789,0.5854871969415517,0.014305436581404573,2,0.6169266130689486,0.5923940612505874,0.604660337159768,0.012266275909180613,0.3785216910748825,0.41101884359659474,0.39423459998647964,0.016239744178890108,1,0.40200340727852696,0.3910611393086197,0.3965322732935733,0.0054711339849536356,"{'C': 10.0, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True}"
28,0,0.918736457824707,0.08401226997375488,5.48246431350708,0.07661843299865723,1000.0,1e-05,rbf,True,"{'C': 1000.0, 'gamma': 1e-05, 'kernel': 'rbf', 'probability': True}",0.2967525195968645,0.3157894736842105,0.3059572006940428,0.009513303176862047,15,0.3157894736842105,0.2967525195968645,0.3062709966405375,0.009518477043673007,0.5632698768197089,0.6136363636363636,0.5876229034123771,0.025169554795467917,18,0.611244019138756,0.5778275475923852,0.5945357833655707,0.01670823577318542,0.4542628500356001,0.4814515791389759,0.46740904872294664,0.01358697519399473,21,0.4889611258411877,0.4566975020715494,0.47282931395636857,0.01613181188481916,0.5633602034660079,0.5873182117804984,0.5749442953982891,0.011972492845429996,18,0.593882793852852,0.5673668431417709,0.5806248184973115,0.013257975355540574,0.34997159242399994,0.38807084860912605,0.36839321079922577,0.01903927346985429,18,0.3686586818285382,0.3687765836254078,0.368717632726973,5.895089843477308e-05,"{'C': 1000.0, 'gamma': 1e-05, 'kernel': 'rbf', 'probability': True}"
29,0,1.6823155879974365,0.2174537181854248,5.807273745536804,0.06352674961090088,1000.0,0.001,rbf,True,"{'C': 1000.0, 'gamma': 0.001, 'kernel': 'rbf', 'probability': True}",0.3325867861142217,0.35645933014354064,0.3441295546558704,0.011929783930343047,10,0.3576555023923445,0.3370660694288914,0.3473607859106179,0.010294716481726557,0.5722284434490481,0.6088516746411483,0.5899363794100636,0.018301662127679818,16,0.611244019138756,0.5845464725643897,0.5978952458515729,0.013348773287183147,0.44433203552309686,0.47998352091373286,0.46157011637131645,0.01781605332819668,27,0.4834348684559699,0.45172331344263006,0.46757909094929995,0.015855777506669916,0.5562202778366696,0.586474751049078,0.5708488143349769,0.01511901404002482,27,0.5897171113325721,0.5643079029767528,0.5770125071546625,0.01270460417790964,0.35616793434262634,0.39194559228650133,0.3734670217001044,0.01787910531361693,15,0.37648506597071185,0.37393575815748265,0.3752104120640972,0.0012746539066146034,"{'C': 1000.0, 'gamma': 0.001, 'kernel': 'rbf', 'probability': True}"
30,0,4.966806888580322,0.6306560039520264,6.270480275154114,0.2390080690383911,1000.0,0.1,rbf,True,"{'C': 1000.0, 'gamma': 0.1, 'kernel': 'rbf', 'probability': True}",0.341545352743561,0.3660287081339713,0.3533834586466165,0.01223502360446699,7,0.46291866028708134,0.3986562150055991,0.4307874376463402,0.032131222640741114,0.5711086226203808,0.6232057416267942,0.5962984384037016,0.026034400538818975,11,0.6196172248803827,0.6159014557670772,0.61775934032373,0.0018578845566527558,0.4606851045424304,0.49072378498218283,0.4752093016781349,0.015011176301895477,8,0.5144539465357841,0.4805627614327317,0.4975083539842579,0.016945592551526223,0.5688751618224364,0.5948006244005031,0.5814105503217214,0.012955685262143971,7,0.6145888360056199,0.5885158374229046,0.6015523367142622,0.01303649929135764,0.3709922291221283,0.405550627602063,0.3877017844311077,0.017269806952203513,3,0.39127203338925826,0.3872282980177717,0.389250165703515,0.0020218676857432782,"{'C': 1000.0, 'gamma': 0.1, 'kernel': 'rbf', 'probability': True}"
