,column,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg,split0_test_map@5,split1_test_map@5,mean_test_map@5,std_test_map@5,rank_test_map@5,split0_train_map@5,split1_train_map@5,mean_train_map@5,std_train_map@5,params_str
0,0,4.148526310920715,0.03924548625946045,0.13140010833740234,0.0018315315246582031,20,800,"{'hidden_layer_sizes': 20, 'max_iter': 800}",0.5386100386100386,0.5342465753424658,0.5364431486880467,0.0021816811511894733,1,0.5577299412915852,0.5444015444015444,0.5510657428465648,0.006664198445020364,0.915057915057915,0.913894324853229,0.9144800777453839,0.0005817816403171632,1,0.9373776908023483,0.9478764478764479,0.9426270693393981,0.005249378537049765,0.7631116395742352,0.7626657841079493,0.7628902283562837,0.00022292257486835967,1,0.7839835714856991,0.7795211928136504,0.7817523821496748,0.0022311893360243418,0.8429054054054054,0.8354125896934116,0.8391844833171364,0.0037463211687091837,2,0.8542074363992173,0.8344594594594594,0.8443334479293383,0.009873988469878914,"{'hidden_layer_sizes': 20, 'max_iter': 800}"
1,0,5.064836621284485,0.38109147548675537,0.1840757131576538,0.0004583597183227539,40,800,"{'hidden_layer_sizes': 40, 'max_iter': 800}",0.5231660231660231,0.5185909980430529,0.5208940719144801,0.002287459631247104,3,0.5792563600782779,0.5694980694980695,0.5743772147881736,0.004879145290104192,0.915057915057915,0.9119373776908023,0.9135082604470359,0.0015602325808506499,3,0.9608610567514677,0.9517374517374517,0.9562992542444597,0.004561802507007995,0.7545570834130445,0.7561701914679807,0.755358150678421,0.0008065353647960886,2,0.7954386056324697,0.7896144898995957,0.7925265477660327,0.002912057866437001,0.8443532818532818,0.8383480104370515,0.8413710722384191,0.0030025662308036816,1,0.8528620352250489,0.8373552123552124,0.8451086237901306,0.007753411434918256,"{'hidden_layer_sizes': 40, 'max_iter': 800}"
2,0,6.794240832328796,0.2640174627304077,0.25882720947265625,0.02480340003967285,80,800,"{'hidden_layer_sizes': 80, 'max_iter': 800}",0.5212355212355212,0.5244618395303327,0.5228377065111759,0.001613121820879493,2,0.5851272015655578,0.5675675675675675,0.5763473845665626,0.008779816998995105,0.9073359073359073,0.9080234833659491,0.9076773566569485,0.0003437800601874247,4,0.9530332681017613,0.9594594594594594,0.9562463637806103,0.003213095678849087,0.7509026169416697,0.757468486618512,0.7541632188900335,0.0032828588753311995,3,0.8046840490562788,0.7950407141021291,0.7998623815792039,0.0048216674770748535,0.8394868082368082,0.8362279843444227,0.8378684807256236,0.0016293742435966728,3,0.8543297455968689,0.8474903474903475,0.8509100465436081,0.0034196990532607274,"{'hidden_layer_sizes': 80, 'max_iter': 800}"
3,0,7.308878540992737,0.3971446752548218,0.12769806385040283,0.0006862878799438477,100,800,"{'hidden_layer_sizes': 100, 'max_iter': 800}",0.5366795366795367,0.5009784735812133,0.5189504373177842,0.017850118509732053,4,0.598825831702544,0.583011583011583,0.5909187073570634,0.00790712434548052,0.916988416988417,0.9119373776908023,0.9144800777453839,0.0025254612113769534,1,0.9667318982387475,0.9806949806949807,0.9737134394668641,0.006981541228116617,0.758913453889145,0.7486596686275326,0.7538214380789565,0.005126774000792146,4,0.807531341854091,0.8032775968844468,0.8054044693692689,0.0021268724848221288,0.8418194980694981,0.8291748206131767,0.8355401684483317,0.006322192436988609,4,0.8543297455968689,0.8443532818532818,0.8493415137250754,0.004988231871793536,"{'hidden_layer_sizes': 100, 'max_iter': 800}"
0,1,4.179566025733948,0.1988452672958374,0.1403747797012329,0.0015157461166381836,20,800,"{'hidden_layer_sizes': 20, 'max_iter': 800}",0.31007751937984496,0.30409356725146197,0.30709426627793973,0.0029919633484760083,2,0.3489278752436647,0.374031007751938,0.3614794414978013,0.012551566254136642,0.8875968992248062,0.8771929824561403,0.8824101068999028,0.00520193627632763,1,0.9025341130604289,0.9186046511627907,0.9105693821116098,0.008035269051180904,0.6540035754490073,0.6470953291737388,0.6505595226412204,0.0034541084578219557,1,0.6757379603624338,0.6898551000750491,0.6827965302187415,0.0070585698563076504,0.7015503875968992,0.696150097465887,0.6988581146744413,0.002700133590054574,2,0.7010233918128655,0.7198401162790697,0.7104317540459677,0.009408362233102097,"{'hidden_layer_sizes': 20, 'max_iter': 800}"
1,1,5.125781059265137,0.5813300609588623,0.13304758071899414,0.005779266357421875,40,800,"{'hidden_layer_sizes': 40, 'max_iter': 800}",0.3023255813953488,0.31773879142300193,0.3100097181729835,0.007706572261226066,1,0.38791423001949316,0.4050387596899225,0.3964764948547078,0.008562264835214661,0.8875968992248062,0.8732943469785575,0.880466472303207,0.007151245730637752,2,0.9220272904483431,0.9263565891472868,0.9241919397978149,0.002164649349471859,0.6459349419624281,0.6500307782450035,0.6479768894968899,0.002047909437760754,2,0.7026534970042475,0.70643906441009,0.7045462807071687,0.0018927837029212302,0.7008236434108527,0.7063840155945419,0.7035957240038873,0.0027801742762235643,1,0.7033382066276803,0.7269864341085271,0.7151623203681037,0.011824113740423414,"{'hidden_layer_sizes': 40, 'max_iter': 800}"
2,1,7.698026180267334,0.41037845611572266,0.24745023250579834,0.06537878513336182,80,800,"{'hidden_layer_sizes': 80, 'max_iter': 800}",0.3003875968992248,0.2962962962962963,0.2983479105928086,0.0020456416075754456,4,0.45419103313840153,0.43992248062015504,0.44705675687927826,0.007134276259123246,0.872093023255814,0.8557504873294347,0.8639455782312925,0.008171233235799984,3,0.9317738791423001,0.9437984496124031,0.9377861643773516,0.006012285235051484,0.6416588952993906,0.6374628640426009,0.6395669963346353,0.0020980067119565978,4,0.7346700897031581,0.7333557002618988,0.7340128949825284,0.0006571947206296391,0.6967054263565892,0.7007797270955166,0.6987366375121478,0.00203714171169911,3,0.7038255360623782,0.7344961240310077,0.719160830046693,0.015335293984314768,"{'hidden_layer_sizes': 80, 'max_iter': 800}"
3,1,6.827938675880432,0.27470266819000244,0.2276986837387085,0.11765754222869873,100,800,"{'hidden_layer_sizes': 100, 'max_iter': 800}",0.3003875968992248,0.3001949317738791,0.30029154518950435,9.633215326532339e-05,3,0.442495126705653,0.436046511627907,0.43927081916678,0.0032243075388730114,0.8624031007751938,0.8654970760233918,0.8639455782312925,0.0015469810494961019,3,0.9337231968810916,0.936046511627907,0.9348848542544993,0.0011616573734076763,0.6438162486575756,0.6356367807584012,0.639738438130582,0.004089716568467739,3,0.7309528660869495,0.7265738263378586,0.7287633462124041,0.0021895198745454647,0.6906088501291989,0.704556530214425,0.6975623582766439,0.006973810404218904,4,0.7054905782975958,0.7256540697674418,0.7155723240325188,0.010081745734923042,"{'hidden_layer_sizes': 100, 'max_iter': 800}"
0,2,4.38612699508667,0.027539730072021484,0.15705335140228271,0.007716536521911621,20,800,"{'hidden_layer_sizes': 20, 'max_iter': 800}",0.28820116054158607,0.3203125,0.304178814382896,0.016055480185114632,1,0.369140625,0.3771760154738878,0.3731583202369439,0.004017695236943897,0.8529980657640233,0.86328125,0.858114674441205,0.0051415314192802125,1,0.91015625,0.9013539651837524,0.9057551075918762,0.0044011424081237815,0.6268795802120027,0.646335449790171,0.6365602461245607,0.009727819946626538,1,0.6883501464479541,0.6832944745871212,0.6858223105175376,0.0025278359304164444,0.6637250161186332,0.6629638671875,0.6633462908973113,0.00038056997272122294,1,0.6864827473958333,0.6634832366215345,0.6749829920086838,0.011499755387149369,"{'hidden_layer_sizes': 20, 'max_iter': 800}"
1,2,4.922297954559326,0.3020317554473877,0.16536247730255127,0.03680312633514404,40,800,"{'hidden_layer_sizes': 40, 'max_iter': 800}",0.2940038684719536,0.3125,0.3032069970845481,0.00924795658662602,3,0.37109375,0.3965183752417795,0.3838060626208898,0.01271231262088976,0.8452611218568665,0.8515625,0.8483965014577259,0.003150651876326029,2,0.91015625,0.9129593810444874,0.9115578155222437,0.0014015655222436862,0.6263058819300739,0.6427697745210604,0.634497828486522,0.008231849113823816,2,0.6835927791524735,0.6942261656437609,0.6889094723981173,0.005316693245643711,0.652482269503546,0.6561686197916666,0.6543164885001619,0.0018431533845843211,3,0.6773681640625,0.6668278529980658,0.6720980085302829,0.005270155532217102,"{'hidden_layer_sizes': 40, 'max_iter': 800}"
