kfold-test,kfold-validation,model,0,1,2,3,4,5,is_test,evaluation,evaluate_method
0,,KNNModel,0.9789335088874259,0.9295589203423305,0.9440421329822252,0.9697169190256748,0.9710335747202107,0.9855167873601053,True,train,Accuracy
0,,KNNModel,0.4,0.16842105263157894,0.15526315789473685,0.20789473684210527,0.29210526315789476,0.5078947368421053,True,test,Accuracy
1,,KNNModel,0.9809084924292297,0.9321922317314022,0.945358788676761,0.9730085582620145,0.967741935483871,0.9881500987491771,True,train,Accuracy
1,,KNNModel,0.3631578947368421,0.2026315789473684,0.18947368421052632,0.2578947368421053,0.35,0.5342105263157895,True,test,Accuracy
2,,KNNModel,0.9802501645819618,0.9368005266622779,0.9479921000658328,0.9710335747202107,0.9684002633311389,0.9874917709019092,True,train,Accuracy
2,,KNNModel,0.39473684210526316,0.23421052631578948,0.18947368421052632,0.23421052631578948,0.36578947368421055,0.49736842105263157,True,test,Accuracy
3,,KNNModel,0.9802501645819618,0.9302172481895984,0.9427254772876893,0.9710335747202107,0.9697169190256748,0.989466754443713,True,train,Accuracy
3,,KNNModel,0.3894736842105263,0.25,0.19210526315789472,0.2578947368421053,0.3368421052631579,0.48947368421052634,True,test,Accuracy
4,,KNNModel,0.9822368421052632,0.9348684210526316,0.9447368421052632,0.9723684210526315,0.968421052631579,0.9881578947368421,True,train,Accuracy
4,,KNNModel,0.37467018469656993,0.24010554089709762,0.18733509234828497,0.287598944591029,0.3562005277044855,0.5224274406332454,True,test,Accuracy
