kfold-test,kfold-validation,model,0,1,2,3,4,5,is_test,evaluation,evaluate_method
0,,RBMAlreadyTrainedModel,0.8328443765640259,0.898673415184021,0.9188933372497559,0.929427444934845,0.9168604016304016,0.8102769255638123,True,train,MRR
0,,RBMAlreadyTrainedModel,0.2701924443244934,0.24288751184940338,0.1733575165271759,0.24792271852493286,0.30520713329315186,0.3273465931415558,True,test,MRR
1,,RBMAlreadyTrainedModel,0.918653666973114,0.8966882824897766,0.9009947776794434,0.9280551075935364,0.9005888104438782,0.8084118366241455,True,train,MRR
1,,RBMAlreadyTrainedModel,0.37267717719078064,0.24618546664714813,0.21264249086380005,0.2576158940792084,0.32023540139198303,0.34829339385032654,True,test,MRR
2,,RBMAlreadyTrainedModel,0.8216861486434937,0.8937379121780396,0.9008443355560303,0.8965880274772644,0.9137241840362549,0.7928597927093506,True,train,MRR
2,,RBMAlreadyTrainedModel,0.2897850573062897,0.2384718507528305,0.21135371923446655,0.2612384855747223,0.30696576833724976,0.33918243646621704,True,test,MRR
3,,RBMAlreadyTrainedModel,0.8660721778869629,0.8923571109771729,0.9017613530158997,0.9235613942146301,0.9319724440574646,0.8183672428131104,True,train,MRR
3,,RBMAlreadyTrainedModel,0.31144028902053833,0.24732853472232819,0.24720492959022522,0.26772192120552063,0.3455258011817932,0.3518255949020386,True,test,MRR
4,,RBMAlreadyTrainedModel,0.8194136619567871,0.9018040895462036,0.922249972820282,0.9136147499084473,0.9356135129928589,0.7931532859802246,True,train,MRR
4,,RBMAlreadyTrainedModel,0.2546024024486542,0.22405873239040375,0.2441694736480713,0.2993185222148895,0.35834062099456787,0.315130352973938,True,test,MRR
