,column,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_metric,param_n_neighbors,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_mrr,split1_test_mrr,split2_test_mrr,split3_test_mrr,split4_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,split2_train_mrr,split3_train_mrr,split4_train_mrr,mean_train_mrr,std_train_mrr
0,0,"KNeighborsClassifier-split_x_y_word2vec-{'n_neighbors': [20], 'algorithm': ['brute'], 'metric': ['hamming']}",0.0054016590118408205,0.0032627577703278382,0.44632868766784667,0.09068338533466887,brute,hamming,20,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 20}",0.3919239904988123,0.4075,0.4244791666666667,0.46089385474860334,0.4523809523809524,0.42548709847288047,0.026122789288764214,1,0.4675236806495264,0.4616410940627085,0.4594059405940594,0.4497079818299805,0.44529750479846447,0.45671524038694783,0.008096822109963825,0.4635836451750926,0.4724180933445629,0.4916208187577659,0.5376773322981825,0.5269017370448567,0.49628531593962216,0.02916013676760902,1,0.5808232985937375,0.5803077472753039,0.5735991819931852,0.5676269742417607,0.557219619478288,0.5719153643164551,0.00879742954011089
0,1,"KNeighborsClassifier-split_x_y_word2vec-{'n_neighbors': [20], 'algorithm': ['brute'], 'metric': ['hamming']}",0.003026914596557617,0.0013872083010528404,0.37255024909973145,0.11836115424857162,brute,hamming,20,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 20}",0.17209302325581396,0.1951219512195122,0.19786096256684493,0.20512820512820512,0.218562874251497,0.196419167983149,0.015330688354762687,1,0.2852280462899932,0.29348556077904636,0.28655737704918033,0.291343669250646,0.3003194888178914,0.2913868284373514,0.005393573210421229,0.21645875440389206,0.24782937982713465,0.24799093075973955,0.2520984730426141,0.25934220859845697,0.24357176405307196,0.015211742451526374,1,0.3764985480139677,0.37732154334370704,0.36188691411730894,0.3664448845331629,0.3728658564136156,0.3710035492843524,0.005957763152374055
0,2,"KNeighborsClassifier-split_x_y_word2vec-{'n_neighbors': [20], 'algorithm': ['brute'], 'metric': ['hamming']}",0.0030316829681396483,0.0013396888288432726,0.29888668060302737,0.04282599511433984,brute,hamming,20,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 20}",0.15058823529411763,0.17121588089330025,0.2047244094488189,0.20391061452513967,0.18674698795180722,0.18220115850447605,0.021059784109134567,1,0.28968792401628224,0.27740641711229946,0.28129117259552044,0.25697598961713175,0.26611359285258457,0.2742950192387637,0.011510456122638126,0.1981109634209264,0.2204029665355915,0.26751537839913414,0.2553772772380633,0.2519532904657778,0.2369754985906646,0.026201363086655157,1,0.3750816766119942,0.3645086734126532,0.36525964659828797,0.3535093837213091,0.3570547978008049,0.3630828356290099,0.007466350190066214
0,3,"KNeighborsClassifier-split_x_y_word2vec-{'n_neighbors': [20], 'algorithm': ['brute'], 'metric': ['hamming']}",0.0030020713806152345,0.0009192528102633115,0.31559271812438966,0.05104101736325623,brute,hamming,20,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 20}",0.25526932084309134,0.25870646766169153,0.29365079365079366,0.30422535211267604,0.34421364985163205,0.28857293312269616,0.03222665880103882,1,0.34035326086956524,0.3360053440213761,0.3326758711374096,0.33095854922279794,0.33098591549295775,0.33419578814882134,0.003585585274824837,0.3115006468164253,0.3332308748627882,0.34246131393073553,0.3604323332471643,0.40244131988936865,0.3475493247270842,0.03010808712029488,1,0.4526259416831048,0.44672683221972187,0.4419395716336078,0.44027994430335937,0.43747166799422854,0.4438087915668045,0.005335971865872893
0,4,"KNeighborsClassifier-split_x_y_word2vec-{'n_neighbors': [20], 'algorithm': ['brute'], 'metric': ['hamming']}",0.006064653396606445,0.005334963356709654,0.4080146312713623,0.12343278769248753,brute,hamming,20,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 20}",0.3404255319148936,0.3483709273182957,0.38095238095238093,0.3861111111111111,0.3893805309734513,0.3675618746708794,0.020671511978468202,1,0.4275067750677507,0.408,0.41946088099934253,0.4015594541910331,0.41923076923076924,0.41515157589777907,0.00920599462902982,0.39354506569775544,0.40993154019469674,0.44072005518083834,0.44942183814732783,0.4585955506309487,0.4285835606019594,0.0248796167222493,1,0.5340303547635579,0.5205912895927618,0.516349975967194,0.5061042091786864,0.5175440123326541,0.5189239683669709,0.008987311179761417
0,5,"KNeighborsClassifier-split_x_y_word2vec-{'n_neighbors': [20], 'algorithm': ['brute'], 'metric': ['hamming']}",0.004191827774047851,0.003821994098169931,0.3111443042755127,0.04961401478283989,brute,hamming,20,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 20}",0.49523809523809526,0.5282051282051282,0.5508021390374331,0.5595567867036011,0.5903954802259888,0.5429173249078463,0.03212981471480519,1,0.5720081135902637,0.5699138502319416,0.5547540983606557,0.5572171651495449,0.5572815533980583,0.5622349561460929,0.007213288837769432,0.5539716632573761,0.5895471053163348,0.6078146229884187,0.6351663187535757,0.6471252276212387,0.6046822065756168,0.03361830788378847,1,0.6747947454844017,0.6715778183969051,0.6599657057824861,0.6544524495516058,0.6614453938725807,0.6644472226175959,0.0075750522538842475
