,column,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_probability,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_mrr,split1_test_mrr,split2_test_mrr,split3_test_mrr,split4_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,split2_train_mrr,split3_train_mrr,split4_train_mrr,mean_train_mrr,std_train_mrr
0,0,"SVC-split_x_y_word2vec-{'C': [10000.0], 'gamma': [1e-05], 'kernel': ['rbf'], 'probability': [True]}",6.253201532363891,0.9381953558836235,1.1697644233703612,0.3483055501739018,10000.0,1e-05,rbf,True,"{'C': 10000.0, 'gamma': 1e-05, 'kernel': 'rbf', 'probability': True}",0.30403800475059384,0.32,0.3333333333333333,0.3547486033519553,0.37797619047619047,0.3359662980516061,0.025687820153945516,1,0.34506089309878213,0.3402268178785857,0.33663366336633666,0.33160285528877353,0.326935380678183,0.33609192206213223,0.0063533811332473706,0.46620325551302644,0.4829226926731133,0.5145292465198249,0.5557959205251508,0.5645466107757544,0.5137875087269613,0.038617392407216435,1,0.5433690168040683,0.5386067982901609,0.5350155667637518,0.5230697877278386,0.5201056030997598,0.532033354537116,0.008980175676068696
0,1,"SVC-split_x_y_word2vec-{'C': [10000.0], 'gamma': [1e-05], 'kernel': ['rbf'], 'probability': [True]}",5.108011245727539,0.6302051606648693,1.693873119354248,0.5279591121033016,10000.0,1e-05,rbf,True,"{'C': 10000.0, 'gamma': 1e-05, 'kernel': 'rbf', 'probability': True}",0.12790697674418605,0.13414634146341464,0.1443850267379679,0.15384615384615385,0.15868263473053892,0.14270668773038442,0.011567133960927251,1,0.14908100748808714,0.14573539288112827,0.1481967213114754,0.1434108527131783,0.13993610223642172,0.14527201532605818,0.0033230389682280793,0.23239361414606022,0.2600765382793361,0.28396545301392156,0.303060232530054,0.31929169839015087,0.2768727135781462,0.03101655734753621,1,0.3078261780881642,0.3006136701284644,0.2963818435179902,0.29048252574297256,0.2869572846839254,0.29645230043230336,0.0073821485864037275
0,2,"SVC-split_x_y_word2vec-{'C': [10000.0], 'gamma': [1e-05], 'kernel': ['rbf'], 'probability': [True]}",4.968993616104126,0.7004099332025946,1.4807420253753663,0.45971343801886605,10000.0,1e-05,rbf,True,"{'C': 10000.0, 'gamma': 1e-05, 'kernel': 'rbf', 'probability': True}",0.09411764705882353,0.09181141439205956,0.10761154855643044,0.11452513966480447,0.12951807228915663,0.10637177461822012,0.013605265442212182,1,0.12143826322930801,0.11163101604278075,0.10144927536231885,0.10837118754055808,0.10338225909380983,0.1092544002537551,0.007074982695182922,0.2270656813942994,0.2537508938016324,0.2608410765679049,0.26140359084396736,0.2867684793490861,0.25641632208164494,0.01907833797877338,1,0.28405234186892947,0.2784643572780609,0.2701121411351999,0.2699988769477359,0.2763983377039074,0.2758052109867667,0.005320950768354085
0,3,"SVC-split_x_y_word2vec-{'C': [10000.0], 'gamma': [1e-05], 'kernel': ['rbf'], 'probability': [True]}",4.932394790649414,0.7891227141876678,1.3976894855499267,0.4744382925890902,10000.0,1e-05,rbf,True,"{'C': 10000.0, 'gamma': 1e-05, 'kernel': 'rbf', 'probability': True}",0.17330210772833723,0.19651741293532338,0.23015873015873015,0.21690140845070421,0.2314540059347181,0.20800421274354924,0.022556441378473548,1,0.2235054347826087,0.21108884435537742,0.210387902695595,0.21567357512953367,0.2119078104993598,0.2145127134924949,0.004852609597401918,0.28724118036862567,0.3154556995402668,0.342299106236147,0.34191660924631345,0.35904510734371575,0.3271368271970129,0.025574515594844766,1,0.3553782818743804,0.3409147217887279,0.33993298785308235,0.3403849484599307,0.33845791370838274,0.3430137707369008,0.006236103032521249
0,4,"SVC-split_x_y_word2vec-{'C': [10000.0], 'gamma': [1e-05], 'kernel': ['rbf'], 'probability': [True]}",4.914758205413818,0.6968848917988058,1.0438716888427735,0.30477145518489224,10000.0,1e-05,rbf,True,"{'C': 10000.0, 'gamma': 1e-05, 'kernel': 'rbf', 'probability': True}",0.2860520094562648,0.2857142857142857,0.29365079365079366,0.31666666666666665,0.3480825958702065,0.3043707214323328,0.023248878252630573,1,0.32723577235772355,0.322,0.2938856015779093,0.30864197530864196,0.30128205128205127,0.3106090801052652,0.012463848950553922,0.4001216809795441,0.4129256665861616,0.4297328584628447,0.45536231189853155,0.4772408815408145,0.4329451941269027,0.027780924863293928,1,0.47265572562999947,0.45621458833354533,0.44803241276298067,0.44733123475741615,0.4351328499861217,0.45187336229401265,0.01238048010009772
0,5,"SVC-split_x_y_word2vec-{'C': [10000.0], 'gamma': [1e-05], 'kernel': ['rbf'], 'probability': [True]}",4.928546047210693,0.6799300906462401,0.7979187488555908,0.2466928851552626,10000.0,1e-05,rbf,True,"{'C': 10000.0, 'gamma': 1e-05, 'kernel': 'rbf', 'probability': True}",0.4238095238095238,0.45384615384615384,0.4732620320855615,0.4903047091412742,0.5,0.46656134807793576,0.027602299254795747,1,0.4787018255578093,0.46984758117958914,0.46491803278688526,0.4609882964889467,0.4588996763754045,0.46667108247772704,0.007079419689239138,0.5621092821359192,0.5877597881051223,0.6182726780368502,0.6383994487184955,0.6483334006020542,0.6090144403603843,0.032381970854618636,1,0.6392596874275362,0.6325015203134448,0.6285640860770164,0.6180375696117503,0.616103119654467,0.626893196616843,0.00874097422204493
