,column,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logisticregression__multi_class,param_logisticregression__solver,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg,split0_test_map@5,split1_test_map@5,mean_test_map@5,std_test_map@5,rank_test_map@5,split0_train_map@5,split1_train_map@5,mean_train_map@5,std_train_map@5,params_str
0,0,0.2543160915374756,0.03202199935913086,0.3489224910736084,0.030948162078857422,auto,liblinear,"{'logisticregression__multi_class': 'auto', 'logisticregression__solver': 'liblinear'}",0.41209406494960804,0.40669856459330145,0.40948525159051474,0.002696283788094575,1,0.80622009569378,0.8141097424412094,0.8101649190674947,0.003944823373714712,0.5767077267637178,0.6016746411483254,0.5887796414112204,0.012476671679815053,1,0.9736842105263158,0.9742441209406495,0.9739641657334827,0.00027995520716683764,0.5913717588765658,0.5962890583603238,0.5937493542313499,0.0024573133173395397,1,0.9117328431657699,0.9163926872686612,0.9140627652172155,0.0023299220514456653,0.24879820440850675,0.25371608256177636,0.2511760795595382,0.0024576024948244567,1,0.29658976987924357,0.2829359181318868,0.2897628440055652,0.006826925873678391,"{'logisticregression__multi_class': 'auto', 'logisticregression__solver': 'liblinear'}"
0,1,0.3130013942718506,0.048200130462646484,0.34064555168151855,0.017628908157348633,auto,liblinear,"{'logisticregression__multi_class': 'auto', 'logisticregression__solver': 'liblinear'}",0.1756152125279642,0.1724550898203593,0.17408906882591094,0.0015791411490458651,1,0.837125748502994,0.79082774049217,0.8139767444975821,0.023149004005412033,0.3378076062639821,0.3437125748502994,0.34065934065934067,0.0029507648092387427,1,0.9832335329341317,0.9742729306487695,0.9787532317914507,0.004480301142681109,0.399011050896953,0.40120834642991665,0.40007220865867926,0.0010980079299982037,1,0.9266494475370329,0.9050688166327903,0.9158591320849117,0.010790315452121335,0.13480802754292687,0.1383145397516655,0.13650145593754617,0.0017522350335084412,1,0.18659320320398165,0.18923361128059113,0.1879134072422864,0.0013202040383047398,"{'logisticregression__multi_class': 'auto', 'logisticregression__solver': 'liblinear'}"
0,2,0.2989163398742676,0.03491950035095215,0.27968430519104004,0.027507305145263672,auto,liblinear,"{'logisticregression__multi_class': 'auto', 'logisticregression__solver': 'liblinear'}",0.1705685618729097,0.19471153846153846,0.18218623481781376,0.01206295491446473,1,0.8497596153846154,0.8472686733556298,0.8485141443701226,0.0012454710144927938,0.3500557413600892,0.4014423076923077,0.3747831116252169,0.025675120488940075,1,0.984375,0.9899665551839465,0.9871707775919732,0.0027957775919732475,0.40471548373581573,0.4270979978198991,0.41548601682890846,0.011183345900929132,1,0.9326064420749152,0.9330296392098235,0.9328180406423694,0.00021159856745417427,0.12376220397959527,0.1298535839160839,0.12669339432497326,0.003043536958708983,1,0.16952984515484515,0.16630900500465717,0.16791942507975116,0.0016104200750939879,"{'logisticregression__multi_class': 'auto', 'logisticregression__solver': 'liblinear'}"
0,3,0.2686105966567993,0.026050448417663574,0.31256258487701416,0.02791154384613037,auto,liblinear,"{'logisticregression__multi_class': 'auto', 'logisticregression__solver': 'liblinear'}",0.21675977653631284,0.2278177458033573,0.2220936957779063,0.005525542558934523,1,0.8477218225419664,0.8379888268156425,0.8428553246788044,0.004866497863161956,0.40782122905027934,0.41606714628297364,0.4117987275882013,0.004120391864579841,1,0.9904076738609112,0.9832402234636871,0.9868239486622992,0.0035837251986120533,0.4468536400172948,0.4571439372647073,0.4518172651788575,0.005141945506587751,1,0.9323964973040377,0.9261736195237508,0.9292850584138943,0.003111438890143481,0.24020967858956688,0.25108035649402555,0.2454532560171658,0.005431955176848655,1,0.3070375647533921,0.2948546276814433,0.30094609621741775,0.0060914685359743925,"{'logisticregression__multi_class': 'auto', 'logisticregression__solver': 'liblinear'}"
0,4,0.22302913665771484,0.03429770469665527,0.31425023078918457,0.0829625129699707,auto,liblinear,"{'logisticregression__multi_class': 'auto', 'logisticregression__solver': 'liblinear'}",0.3845291479820628,0.4157706093189964,0.39965297860034704,0.015612825399552386,1,0.8434886499402628,0.8340807174887892,0.8387846837145261,0.004703966225736822,0.5650224215246636,0.6033452807646356,0.5835743204164257,0.019151732490117597,1,0.992831541218638,0.9910313901345291,0.9919314656765836,0.0009000755420544571,0.5811053515736637,0.6036898464200107,0.5920383892754522,0.011286532693534827,1,0.933967619214603,0.9298307997904174,0.9318992095025103,0.0020684097120928224,0.4014743608409528,0.41671934397740845,0.40885437870400276,0.007618634012078658,1,0.45570771721309355,0.434952414924388,0.4453300660687408,0.010377651144352767,"{'logisticregression__multi_class': 'auto', 'logisticregression__solver': 'liblinear'}"
0,5,0.2133183479309082,0.06246352195739746,0.28967344760894775,0.021191000938415527,auto,liblinear,"{'logisticregression__multi_class': 'auto', 'logisticregression__solver': 'liblinear'}",0.502262443438914,0.5325443786982249,0.5170618854829381,0.015137115347272516,1,0.9029585798816568,0.915158371040724,0.9090584754611903,0.006099895579533554,0.6798642533936652,0.7112426035502959,0.6951995373048004,0.0156851833167427,1,0.9940828402366864,0.997737556561086,0.9959101983988862,0.0018273581621998103,0.6731627728972918,0.6966305619613485,0.6846319931165676,0.011730909103600397,1,0.9591299132878816,0.9649945409916214,0.9620622271397514,0.0029323138518699277,0.5467310385692739,0.5670465432003894,0.5566596686521499,0.010155167901453432,1,0.5967488921335075,0.5785630301071477,0.5876559611203276,0.009092931013179872,"{'logisticregression__multi_class': 'auto', 'logisticregression__solver': 'liblinear'}"
