,column,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlpclassifier__hidden_layer_sizes,param_mlpclassifier__max_iter,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg,split0_test_map@5,split1_test_map@5,mean_test_map@5,std_test_map@5,rank_test_map@5,split0_train_map@5,split1_train_map@5,mean_train_map@5,std_train_map@5,params_str
0,0,49.7356094121933,1.31513512134552,0.8970122337341309,0.052307844161987305,20,800,"{'mlpclassifier__hidden_layer_sizes': 20, 'mlpclassifier__max_iter': 800}",0.3303471444568869,0.3449101796407186,0.33738425925925924,0.007277414768847738,4,0.9604790419161676,0.9641657334826428,0.9623223876994051,0.0018433457832375821,0.5431131019036954,0.5544910179640719,0.5486111111111112,0.005685752546174048,4,0.9868263473053892,0.9888017917133258,0.9878140695093576,0.000987722203968311,0.54695369405411,0.5584511935172237,0.5525094880655105,0.005745510557481736,4,0.9791789476303265,0.981343551317051,0.9802612494736888,0.0010823018433622211,0.2604113281268936,0.26620849210669567,0.26321261974907806,0.0028969487631865715,3,0.30421136946885446,0.2963123960772337,0.3002618827730441,0.003949486695810384,"{'mlpclassifier__hidden_layer_sizes': 20, 'mlpclassifier__max_iter': 800}"
1,0,46.81189286708832,9.475633978843689,0.823436975479126,0.022890567779541016,40,800,"{'mlpclassifier__hidden_layer_sizes': 40, 'mlpclassifier__max_iter': 800}",0.3370660694288914,0.35568862275449104,0.3460648148148148,0.00930603015749329,3,0.9604790419161676,0.9641657334826428,0.9623223876994051,0.0018433457832375821,0.5509518477043673,0.5760479041916168,0.5630787037037037,0.012540957967533612,3,0.9868263473053892,0.9888017917133258,0.9878140695093576,0.000987722203968311,0.5528216374489967,0.5674830157689104,0.5599062733848347,0.007326558630817692,3,0.9791789476303265,0.981343551317051,0.9802612494736888,0.0010823018433622211,0.2614350915974656,0.26211340954454726,0.26176286676286675,0.0003389678719960246,4,0.3045746947663115,0.2913295084907626,0.297952101628537,0.006622593137774441,"{'mlpclassifier__hidden_layer_sizes': 40, 'mlpclassifier__max_iter': 800}"
2,0,36.92194736003876,2.593887209892273,0.7297409772872925,0.3125370740890503,80,800,"{'mlpclassifier__hidden_layer_sizes': 80, 'mlpclassifier__max_iter': 800}",0.374020156774916,0.3784431137724551,0.3761574074074074,0.0022102324254222186,2,0.9604790419161676,0.9641657334826428,0.9623223876994051,0.0018433457832375821,0.5655095184770437,0.5988023952095808,0.5815972222222222,0.01663705881173632,2,0.9868263473053892,0.9888017917133258,0.9878140695093576,0.000987722203968311,0.5741865337469663,0.5866652663530455,0.5802164768754826,0.0062358506875548935,2,0.9791789476303266,0.981343551317051,0.9802612494736889,0.0010823018433621656,0.2772489734975737,0.27277390673199053,0.27508654250841746,0.0022362726286338647,2,0.30962433574409626,0.2932886859314631,0.3014565108377797,0.008167824906316568,"{'mlpclassifier__hidden_layer_sizes': 80, 'mlpclassifier__max_iter': 800}"
3,0,32.74573194980621,1.3325477838516235,0.4052077531814575,0.17970144748687744,100,800,"{'mlpclassifier__hidden_layer_sizes': 100, 'mlpclassifier__max_iter': 800}",0.3617021276595745,0.4035928143712575,0.3819444444444444,0.02093354155260408,1,0.9604790419161676,0.9641657334826428,0.9623223876994051,0.0018433457832375821,0.568868980963046,0.6011976047904192,0.5844907407407407,0.016155204016745865,1,0.9868263473053892,0.9888017917133258,0.9878140695093576,0.000987722203968311,0.5699463151942842,0.5989879588135653,0.5839797483089252,0.014512639948931379,1,0.9791789476303265,0.981343551317051,0.9802612494736888,0.0010823018433622211,0.2690211990323972,0.2824651994711875,0.2755175765592432,0.0067182126603848496,1,0.3077708997589237,0.3025894038771978,0.30518015181806074,0.0025907479408629475,"{'mlpclassifier__hidden_layer_sizes': 100, 'mlpclassifier__max_iter': 800}"
0,1,54.58178186416626,2.3551368713378906,0.8362152576446533,0.021413326263427734,20,800,"{'mlpclassifier__hidden_layer_sizes': 20, 'mlpclassifier__max_iter': 800}",0.12751677852348994,0.11750599520383694,0.12268518518518519,0.0050023734178584614,4,0.9760191846522782,0.9463087248322147,0.9611639547422465,0.014855229910031742,0.3221476510067114,0.2961630695443645,0.30960648148148145,0.012984456403749964,4,0.9976019184652278,0.9988814317673378,0.9982416751162828,0.000639756651054979,0.3752119238123988,0.3631640871519386,0.3693971693130795,0.006020285918552461,4,0.9894379954743773,0.9783745522918761,0.9839062738831267,0.0055317215912505935,0.13029596056441692,0.12863548122540927,0.12949454866121532,0.0008297390365095784,4,0.18586042854028464,0.1872374996368285,0.1865489640885566,0.0006885355482719319,"{'mlpclassifier__hidden_layer_sizes': 20, 'mlpclassifier__max_iter': 800}"
1,1,54.46220552921295,6.8614596128463745,0.8503310680389404,0.04429984092712402,40,800,"{'mlpclassifier__hidden_layer_sizes': 40, 'mlpclassifier__max_iter': 800}",0.14205816554809844,0.12709832134292565,0.13483796296296297,0.007475411723311003,3,0.9820143884892086,0.9530201342281879,0.9675172613586982,0.014497127130510379,0.3243847874720358,0.328537170263789,0.3263888888888889,0.002074939456282125,3,1.0,1.0,1.0,0.0,0.38109845978574974,0.3783312094433077,0.3797628771551962,0.0013827908477866738,3,0.9932050558153481,0.9809348328841991,0.9870699443497737,0.006135111465574494,0.12951502077341,0.1351033458947128,0.13221216380070544,0.002792477685764619,3,0.18585593862572278,0.18450695836601874,0.18518144849587076,0.0006744901298520178,"{'mlpclassifier__hidden_layer_sizes': 40, 'mlpclassifier__max_iter': 800}"
2,1,47.6622314453125,4.07295036315918,0.5961387157440186,0.2646141052246094,80,800,"{'mlpclassifier__hidden_layer_sizes': 80, 'mlpclassifier__max_iter': 800}",0.14429530201342283,0.1498800959232614,0.14699074074074073,0.002790713144689525,2,0.9820143884892086,0.9530201342281879,0.9675172613586982,0.014497127130510379,0.32102908277404923,0.3764988009592326,0.34780092592592593,0.027718135023551718,1,1.0,1.0,1.0,0.0,0.38291100915302684,0.4036380183716617,0.3929146698522985,0.01035725543509218,2,0.9932050558153481,0.9809348328841991,0.9870699443497737,0.006135111465574494,0.133551914155941,0.14441418293936278,0.13879446749238417,0.005427859427658285,1,0.18982704745294673,0.19088286992649406,0.1903549586897204,0.0005279112367736621,"{'mlpclassifier__hidden_layer_sizes': 80, 'mlpclassifier__max_iter': 800}"
3,1,42.09171652793884,0.32237744331359863,0.5370075702667236,0.15694212913513184,100,800,"{'mlpclassifier__hidden_layer_sizes': 100, 'mlpclassifier__max_iter': 800}",0.15883668903803133,0.15947242206235013,0.15914351851851852,0.00031767483923699033,1,0.9820143884892086,0.9530201342281879,0.9675172613586982,0.014497127130510379,0.319910514541387,0.36930455635491605,0.34375,0.024682128648565282,2,1.0,1.0,1.0,0.0,0.38999455696493884,0.40889771079915843,0.3991179541279823,0.009445877633606294,1,0.9932050558153481,0.9809348328841991,0.9870699443497737,0.006135111465574494,0.13463636847865035,0.14160821991757244,0.1380012551106301,0.003483823712661379,2,0.18726159332274442,0.1827877044655568,0.1850246488941506,0.002236944428593804,"{'mlpclassifier__hidden_layer_sizes': 100, 'mlpclassifier__max_iter': 800}"
0,2,57.4062819480896,3.292595863342285,0.8233206272125244,0.02224898338317871,20,800,"{'mlpclassifier__hidden_layer_sizes': 20, 'mlpclassifier__max_iter': 800}",0.1393258426966292,0.14439140811455847,0.1417824074074074,0.0025316356506382754,4,0.964200477326969,0.9674157303370786,0.9658081038320239,0.0016076265050548044,0.33707865168539325,0.3233890214797136,0.3304398148148148,0.006841715191375525,4,0.9988066825775657,1.0,0.9994033412887828,0.0005966587112171684,0.3859492871760533,0.3841409573558434,0.3850723309322247,0.0009037554277261933,4,0.9845694565329026,0.9871806440501061,0.9858750502915044,0.0013055937586017308,0.1253809767012014,0.1204710504292843,0.12299988977072308,0.0024538513209196888,4,0.17231253034952318,0.17061775864584852,0.17146514449768585,0.000847385851837329,"{'mlpclassifier__hidden_layer_sizes': 20, 'mlpclassifier__max_iter': 800}"
1,2,59.05024719238281,0.27013301849365234,0.7226495742797852,0.04556536674499512,40,800,"{'mlpclassifier__hidden_layer_sizes': 40, 'mlpclassifier__max_iter': 800}",0.16404494382022472,0.17780429594272076,0.1707175925925926,0.006876560361791935,3,0.9713603818615751,0.9719101123595506,0.9716352471105629,0.00027486524898773235,0.3539325842696629,0.35799522673031026,0.3559027777777778,0.0020304012761868696,3,1.0,1.0,1.0,0.0,0.40174416234079374,0.41042630711953615,0.4059546006073366,0.0043391063844660325,3,0.9886487652957728,0.9893386340810602,0.9889936996884165,0.00034493439264365877,0.12971686366068388,0.12960390643564867,0.12966208463604298,5.6453034222822435e-05,3,0.17557245658080978,0.1681172965611168,0.17184487657096328,0.003727580009846493,"{'mlpclassifier__hidden_layer_sizes': 40, 'mlpclassifier__max_iter': 800}"
