,column,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kneighborsclassifier__algorithm,param_kneighborsclassifier__metric,param_kneighborsclassifier__n_neighbors,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg,split0_test_map@5,split1_test_map@5,mean_test_map@5,std_test_map@5,rank_test_map@5,split0_train_map@5,split1_train_map@5,mean_train_map@5,std_train_map@5,params_str
0,0,0.016116619110107422,0.0012273788452148438,0.8498644828796387,0.0770559310913086,brute,hamming,1,"{'kneighborsclassifier__algorithm': 'brute', 'kneighborsclassifier__metric': 'hamming', 'kneighborsclassifier__n_neighbors': 1}",0.2821948488241881,0.3473053892215569,0.3136574074074074,0.03253692669928702,10,0.9604790419161676,0.9641657334826428,0.9623223876994051,0.0018433457832375821,0.29227323628219487,0.362874251497006,0.3263888888888889,0.035280617284392655,10,0.9604790419161676,0.9641657334826428,0.9623223876994051,0.0018433457832375821,0.4150105956416085,0.4671885872065247,0.4402239191119239,0.02607429575154163,10,0.9675428107265451,0.9708301629988757,0.9691864868627105,0.001643676136165284,0.08096498499633999,0.08356943256344453,0.08222349987974988,0.0013014900362651773,10,0.1304058117531171,0.13025448049524194,0.13033014612417954,7.56656289375851e-05,"{'kneighborsclassifier__algorithm': 'brute', 'kneighborsclassifier__metric': 'hamming', 'kneighborsclassifier__n_neighbors': 1}"
1,0,0.018328070640563965,0.004676222801208496,0.8803551197052002,0.06963491439819336,brute,hamming,5,"{'kneighborsclassifier__algorithm': 'brute', 'kneighborsclassifier__metric': 'hamming', 'kneighborsclassifier__n_neighbors': 5}",0.35498320268757,0.3688622754491018,0.3616898148148148,0.006935626249452529,9,0.5604790419161677,0.5263157894736842,0.543397415694926,0.017081626221241764,0.5061590145576708,0.5497005988023952,0.5271990740740741,0.02175852521412463,9,0.9868263473053892,0.9888017917133258,0.9878140695093576,0.000987722203968311,0.5157136535566764,0.5401380500266053,0.5275159516194025,0.012205317184689124,9,0.7799001611545858,0.7628682982432639,0.7713842296989248,0.008515931455660986,0.2035844204321248,0.21596974881406017,0.20956922899631233,0.006189174890121404,9,0.24373248308577647,0.23321155887785225,0.23847202098181436,0.00526046210396211,"{'kneighborsclassifier__algorithm': 'brute', 'kneighborsclassifier__metric': 'hamming', 'kneighborsclassifier__n_neighbors': 5}"
2,0,0.01810014247894287,0.005280852317810059,0.9549456834793091,0.018482089042663574,brute,hamming,10,"{'kneighborsclassifier__algorithm': 'brute', 'kneighborsclassifier__metric': 'hamming', 'kneighborsclassifier__n_neighbors': 10}",0.3650615901455767,0.39880239520958083,0.38136574074074076,0.016860896783261817,8,0.4934131736526946,0.48152295632698766,0.48746806498984113,0.005945108662853471,0.5117581187010078,0.5520958083832336,0.53125,0.020157480561506798,8,0.8155688622754491,0.8096304591265397,0.8125996607009944,0.002969201574454683,0.5477160163777428,0.5687282315217412,0.5578694883946633,0.010500187830687294,8,0.7307365753156702,0.7161626237234262,0.7234495995195482,0.007286975796121975,0.23886253350978995,0.243322031262151,0.24101744127785793,0.0022284925082586174,8,0.26465349819840833,0.2499830572562935,0.25731827772735094,0.007335220471057419,"{'kneighborsclassifier__algorithm': 'brute', 'kneighborsclassifier__metric': 'hamming', 'kneighborsclassifier__n_neighbors': 10}"
3,0,0.015217304229736328,0.0016608238220214844,0.9448720216751099,0.12204134464263916,brute,hamming,15,"{'kneighborsclassifier__algorithm': 'brute', 'kneighborsclassifier__metric': 'hamming', 'kneighborsclassifier__n_neighbors': 15}",0.3762597984322508,0.4059880239520958,0.390625,0.014855737469476734,7,0.47784431137724553,0.458006718924972,0.4679255151511088,0.009918796226136756,0.5296752519596865,0.5676646706586826,0.5480324074074074,0.01898400664491664,7,0.7520958083832335,0.7368421052631579,0.7444689568231957,0.0076268515600378395,0.5618306557638992,0.582074397264763,0.5716127877970133,0.010116167510100025,7,0.7007606289414585,0.6871776259598799,0.6939691274506692,0.006791501490789331,0.24967883926450554,0.257482282188869,0.25344960016835016,0.00389952300937044,7,0.2649711745340488,0.2573208650252323,0.2611460197796406,0.0038251547544082276,"{'kneighborsclassifier__algorithm': 'brute', 'kneighborsclassifier__metric': 'hamming', 'kneighborsclassifier__n_neighbors': 15}"
4,0,0.015557169914245605,0.001448988914489746,0.9455947875976562,0.027185678482055664,brute,hamming,20,"{'kneighborsclassifier__algorithm': 'brute', 'kneighborsclassifier__metric': 'hamming', 'kneighborsclassifier__n_neighbors': 20}",0.3784994400895857,0.41916167664670656,0.39814814814814814,0.020319662564827607,6,0.4562874251497006,0.44568868980963045,0.4509880574796655,0.005299367670035082,0.5498320268756999,0.578443113772455,0.5636574074074074,0.014297482887797903,6,0.7245508982035929,0.7211646136618141,0.7228577559327034,0.0016931422708894028,0.5682959114738447,0.5945845987722097,0.5809990676625801,0.013136937374919172,6,0.6916789176169693,0.6692386498463856,0.6804587837316775,0.01122013388529186,0.2566882632112195,0.26359488814578635,0.2600256658850409,0.0034513666737213955,6,0.27960479041916164,0.2585102747196812,0.26905753256942144,0.010547257849740227,"{'kneighborsclassifier__algorithm': 'brute', 'kneighborsclassifier__metric': 'hamming', 'kneighborsclassifier__n_neighbors': 20}"
5,0,0.012981414794921875,0.001055002212524414,0.9344793558120728,0.009232163429260254,brute,hamming,25,"{'kneighborsclassifier__algorithm': 'brute', 'kneighborsclassifier__metric': 'hamming', 'kneighborsclassifier__n_neighbors': 25}",0.3840985442329227,0.42634730538922155,0.4045138888888889,0.021112477895110986,5,0.43952095808383235,0.4311310190369541,0.43532598856039323,0.004194969523439118,0.5509518477043673,0.5868263473053892,0.5682870370370371,0.017927142929061286,5,0.7221556886227545,0.6998880179171333,0.7110218532699439,0.011133835352810597,0.5700414867599986,0.6007139019044836,0.5848629373651172,0.01532756627660459,5,0.6741172461665422,0.6527908679771773,0.6634540570718598,0.010663189094682446,0.27468102073365236,0.27331790963527486,0.2740223414702581,0.0006811715218491053,5,0.2886334862742048,0.27174333318790206,0.2801884097310534,0.00844507654315138,"{'kneighborsclassifier__algorithm': 'brute', 'kneighborsclassifier__metric': 'hamming', 'kneighborsclassifier__n_neighbors': 25}"
6,0,0.013530731201171875,0.002827167510986328,0.845343828201294,0.03882622718811035,brute,hamming,40,"{'kneighborsclassifier__algorithm': 'brute', 'kneighborsclassifier__metric': 'hamming', 'kneighborsclassifier__n_neighbors': 40}",0.3986562150055991,0.4431137724550898,0.4201388888888889,0.0222162537606872,4,0.4419161676646707,0.41881298992161253,0.4303645787931416,0.011551588871529073,0.5677491601343785,0.5964071856287425,0.5815972222222222,0.014320938962658373,4,0.7053892215568862,0.6685330347144457,0.686961128135666,0.01842809342122026,0.5822431346512973,0.6134329075523721,0.5973145816260644,0.015586099400438863,4,0.6606142334599795,0.6398487928404849,0.6502315131502322,0.010382720309747295,0.29652164744549964,0.28864271457085827,0.29271440846961677,0.003937246716833708,4,0.31134328745107187,0.2839355157720219,0.2976394016115469,0.013703885839524976,"{'kneighborsclassifier__algorithm': 'brute', 'kneighborsclassifier__metric': 'hamming', 'kneighborsclassifier__n_neighbors': 40}"
7,0,0.01234591007232666,0.00012862682342529297,0.9466732740402222,0.03291118144989014,brute,hamming,60,"{'kneighborsclassifier__algorithm': 'brute', 'kneighborsclassifier__metric': 'hamming', 'kneighborsclassifier__n_neighbors': 60}",0.406494960806271,0.43832335329341315,0.421875,0.01590522927609016,3,0.4419161676646707,0.4132138857782755,0.4275650267214731,0.014351140943197588,0.5733482642777156,0.6107784431137725,0.5914351851851852,0.01870454426729353,2,0.6706586826347305,0.6461366181410975,0.658397650387914,0.012261032246816517,0.5858712965123134,0.6157452257415132,0.6003069046757288,0.01492854827525657,3,0.6456261276909137,0.6273666312059394,0.6364963794484265,0.009129748242487135,0.3125099014460717,0.3110197527023874,0.31178983535754373,0.0007446545543684385,3,0.32700806179848096,0.3023114604693552,0.3146597611339181,0.012348300664562883,"{'kneighborsclassifier__algorithm': 'brute', 'kneighborsclassifier__metric': 'hamming', 'kneighborsclassifier__n_neighbors': 60}"
8,0,0.012800455093383789,0.0004734992980957031,0.9622025489807129,0.15102219581604004,brute,hamming,80,"{'kneighborsclassifier__algorithm': 'brute', 'kneighborsclassifier__metric': 'hamming', 'kneighborsclassifier__n_neighbors': 80}",0.41209406494960804,0.4431137724550898,0.4270833333333333,0.015501114614922937,1,0.4479041916167665,0.4143337066069429,0.43111894911185467,0.016785242504911785,0.5767077267637178,0.6047904191616766,0.5902777777777778,0.014033434502225923,3,0.6586826347305389,0.6416573348264277,0.6501699847784833,0.008512649952055584,0.5899268889534455,0.6167107980563854,0.6028693450303869,0.013384408759076124,2,0.6435938877473374,0.6216971642874417,0.6326455260173895,0.010948361729947842,0.3221498136055807,0.3197700443269305,0.32099986722382556,0.0011892141903307783,2,0.3353713352515747,0.3119705937959017,0.3236709645237382,0.011700370727836501,"{'kneighborsclassifier__algorithm': 'brute', 'kneighborsclassifier__metric': 'hamming', 'kneighborsclassifier__n_neighbors': 80}"
9,0,0.0126878023147583,0.0007699728012084961,0.8976296186447144,0.05788147449493408,brute,hamming,100,"{'kneighborsclassifier__algorithm': 'brute', 'kneighborsclassifier__metric': 'hamming', 'kneighborsclassifier__n_neighbors': 100}",0.41097424412094063,0.4431137724550898,0.42650462962962965,0.016060709543736625,2,0.4479041916167665,0.4165733482642777,0.4322387699405221,0.01566542167624438,0.5767077267637178,0.6167664670658682,0.5960648148148148,0.02001808445947891,1,0.6562874251497006,0.6181410974244121,0.6372142612870564,0.019073163862644238,0.590641247705393,0.6173445416929708,0.6035447491403626,0.013344123912976213,1,0.6411697422296481,0.6165619483536731,0.6288658452916606,0.012303896937987502,0.32447792595608943,0.32601213158099385,0.3252192811046978,0.000766670582896377,1,0.3401866397075978,0.3148741292302322,0.327530384468915,0.012656255238682801,"{'kneighborsclassifier__algorithm': 'brute', 'kneighborsclassifier__metric': 'hamming', 'kneighborsclassifier__n_neighbors': 100}"
