id,name,plugin1,plugin2,plugin3,plugin4,plugin5,plugin6
6277,U2*pride**,86.0,24.0,43.0,93.0,56.0,58.0
6278,U2*with4**,86.0,24.0,93.0,55.0,56.0,105.0
6280,U2*Bad****,86.0,24.0,93.0,55.0,58.0,105.0
6281,U2*Myst***,19.0,33.0,81.0,27.0,93.0,55.0
6287,PF*Shine4*,24.0,21.0,86.0,96.0,54.0,105.0
6288,PF*Shine3*,19.0,24.0,86.0,96.0,54.0,105.0
6289,PF*Anothe2,86.0,24.0,46.0,92.0,54.0,105.0
6291,PF*Echoes*,24.0,86.0,81.0,96.0,54.0,105.0
6292,Samba*Pati,86.0,41.0,24.0,88.0,109.0,5.0
6293,Europa****,86.0,41.0,24.0,88.0,100.0,5.0
6341,Ambassador,73.0,53.0,101.0,39.0,46.0,27.0
6342,Acoustic**,60.0,85.0,23.0,66.0,31.0,85.0
6344,Slash*SCOM,78.0,98.0,63.0,27.0,105.0,23.0
6345,Maiden****,27.0,41.0,115.0,61.0,107.0,107.0
6350,Surf******,64.0,97.0,54.0,107.0,107.0,107.0
6352,CL-E.Br.U*,23.0,21.0,36.0,7.0,64.0,66.0
6361,My*Hendrix,27.0,1.0,31.0,100.0,63.0,66.0
6380,Surf*3****,23.0,8.0,92.0,54.0,38.0,63.0
6381,*ENGL*BG**,27.0,112.0,56.0,105.0,77.0,107.0
6389,Drive*****,92.0,25.0,76.0,79.0,26.0,37.0
6413,POP*PUNK**,23.0,75.0,97.0,27.0,55.0,61.0
6440,Gilmour***,73.0,79.0,96.0,1.0,56.0,107.0
6451,Clean*****,28.0,24.0,53.0,105.0,54.0,107.0
6452,Juan******,28.0,110.0,37.0,56.0,105.0,38.0
6453,Creepy****,28.0,23.0,8.0,92.0,53.0,63.0
6454,Clean*2***,28.0,25.0,86.0,41.0,38.0,107.0
6455,Funk******,28.0,23.0,86.0,60.0,107.0,107.0
6458,BrownSugar,24.0,94.0,54.0,63.0,8.0,66.0
6459,*ENGL*BG**,27.0,49.0,112.0,56.0,105.0,12.0
6460,EVH.Old***,27.0,101.0,30.0,106.0,53.0,64.0
6462,NUNO******,27.0,100.0,30.0,106.0,7.0,64.0
6490,Us*&*them*,23.0,86.0,96.0,44.0,55.0,105.0
6491,Breath*2**,19.0,86.0,92.0,56.0,18.0,63.0
6492,Try*******,77.0,71.0,93.0,8.0,54.0,18.0
6493,Sweet2Disp,24.0,86.0,8.0,101.0,7.0,63.0
6497,VX*CRUNCH*,27.0,23.0,93.0,107.0,107.0,107.0
6498,VX*SOLO***,27.0,87.0,93.0,30.0,56.0,107.0
6499,FEND*CRUNC,27.0,23.0,92.0,107.0,107.0,107.0
6500,FEND*SOLO*,27.0,76.0,92.0,56.0,107.0,107.0
6501,MS1959*BS*,27.0,72.0,115.0,107.0,107.0,107.0
6573,FaitNoMore,28.0,66.0,64.0,101.0,107.0,107.0
6575,WhaleRocea,40.0,16.0,24.0,103.0,18.0,63.0
6576,DelayRocea,24.0,40.0,16.0,103.0,18.0,63.0
6577,Delay0ocea,24.0,2.0,16.0,103.0,63.0,64.0
6578,BeatleHARD,28.0,93.0,66.0,60.0,30.0,107.0
6579,OD*02*Hi**,27.0,72.0,31.0,30.0,66.0,60.0
6582,DS+*01****,27.0,75.0,31.0,30.0,66.0,1.0
6584,BeatleSOFT,28.0,24.0,93.0,66.0,30.0,71.0
6585,BOOWY*CLN*,30.0,24.0,53.0,44.0,105.0,107.0
6586,BOOWY*OD2*,73.0,73.0,24.0,30.0,105.0,107.0
