id,name,plugin1,plugin2,plugin3,plugin4,plugin5,plugin6
10237,AcORG1****,85,30,2,17,45,18
9472,Acc*OfDrea,27,23,44,7,105,71
10623,AccousticD,37,23,41,38,54,60
10325,AcouORG5**,27,2,21,85,7,105
10324,AcouORG5**,26,2,21,85,7,105
9467,AcouSky,23,27,85,44,53,61
6776,AcouSky,27,85,30,44,53,61
7315,AcoustiWah,85,36,53,105,54,27
6766,Acoustic**,23,85,41,60,105,107
6342,Acoustic**,60,85,23,66,31,85
9615,Acoustic**,85,31,48,64,107,107
8183,Acoustic**,107,85,92,27,66,107
9672,Acoustic**,85,32,65,64,107,107
9472,Acoustica*,27,25,85,30,43,60
6958,Acust-Fade,27,25,85,43,30,60
6557,Acustic***,27,85,107,107,107,107
6788,Acustic***,85,43,30,7,64,27
9318,Acustica**,107,85,43,66,60,107
8543,Acustica**,92,25,85,43,66,60
10623,AgelessMin,68,74,93,38,41,54
10568,AhchoirBG,69,51,92,59,30,17
6974,AintTalkin,27,23,75,110,46,105
6776,Alien*CL,27,85,30,35,64,107
7698,Always*On*,28,68,31,83,56,17
6341,Ambassador,73,53,101,39,46,27
6903,AngelFaze*,85,21,5,64,107,107
10623,AngelFaze*,1,23,85,21,5,64
7315,AngelFaze*,85,21,5,64,27,107
9472,AngelFaze*,107,27,85,21,5,71
10419,AngelFaze*,111,38,7,64,107,107
7315,AngelSky**,85,16,105,27,107,107
10850,AngelSky**,85,16,105,107,107,107
7315,Anger*Sync,101,27,3,107,107,107
6776,Angra,23,28,100,30,53,107
10214,Angus*****,27,96,74,30,66,71
7842,Angustrat*,99,64,107,107,107,107
7629,Anything**,47,100,30,27,44,28
9843,Apache****,27,23,106,54,54,60
8638,Apache****,24,30,106,54,54,54
7313,Arpa*+++**,24,49,41,85,54,107
9472,Arpha*****,27,24,49,41,85,54
6903,Atom******,27,92,6,44,60,107
9627,Atomic****,27,88,92,30,107,107
8753,Atomic****,88,92,30,27,66,60
9924,AudioChoru,107,27,75,38,69,53
9925,AudioSolo*,27,75,71,69,53,85
9923,AudioVerse,107,86,38,44,107,107
7314,Aut-o-mtc*,33,92,65,107,107,107
6847,Auto*Wah,33,27,30,107,107,107
7315,AutoDrive*,33,76,24,60,41,27
10850,AutoDrive*,33,76,24,60,41,107
7315,AutoScream,33,75,62,24,27,107
10850,AutoScream,33,75,62,24,107,107
7461,Avicii****,27,2,17,85,68,60
6903,B-BREAKER*,109,27,65,62,107,107
8183,B-BREAKER*,107,107,109,27,66,107
9588,B-BREAKER*,107,107,109,31,27,107
8914,B-manCLNb*,96,27,30,41,56,64
9346,BASE******,96,54,53,64,60,27
9523,BASE*13,27,73,110,30,107,107
9773,BASS*SIMUL,51,25,31,44,23,61
7231,BBB*******,30,30,72,110,27,64
8775,BBKing~***,107,27,111,60,107,107
10623,BBreaker62,74,109,39,41,56,61
10623,BBreaker62,109,41,56,65,62,27
10623,BBreaker62,68,24,109,56,66,60
7965,BEDS******,107,107,107,107,92,107
8183,BG*CRUNCH*,107,107,95,27,66,107
9588,BG*CRUNCH*,107,107,95,31,27,107
6903,BG*CRUNCH*,95,27,65,56,60,107
6903,BG*DRIVE**,70,100,27,65,107,107
8183,BG*DRIVE**,107,107,100,27,66,107
9588,BG*DRIVE**,107,107,100,31,27,107
6767,BG*Drive**,28,73,100,31,53,105
7313,BG*Filter*,28,100,60,107,107,107
7313,BGN*Chaos*,28,110,7,60,107,107
8183,BGN*DRIVE*,107,107,110,27,66,107
9588,BGN*DRIVE*,107,107,110,31,27,107
6903,BGN*DRIVE*,110,27,44,7,105,107
9844,BIG*BOY***,54,54,107,107,107,107
8196,BJTM***,27,97,31,105,107,107
9455,BL*1*VX***,42,71,93,63,66,107
9455,BL*2*MT,38,74,103,27,54,66
9455,BL*3*FDd,43,73,111,27,62,66
