id,name,plugin1,plugin2,plugin3,plugin4,plugin5,plugin6
6776,G*Shop,32.0,6.0,48.0,8.0,24.0,55.0
6776,LeadCho,6.0,46.0,8.0,16.0,19.0,55.0
6776,MainRhyt,32.0,6.0,49.0,8.0,19.0,55.0
6776,MoogWay,10.0,6.0,44.0,8.0,19.0,24.0
6776,Muppets,2.0,6.0,39.0,8.0,55.0,55.0
6776,NoAttack,2.0,5.0,6.0,8.0,19.0,55.0
6776,OldJazz,6.0,8.0,23.0,55.0,55.0,55.0
6776,PageArea,6.0,45.0,8.0,24.0,55.0,55.0
6776,PhaseCL,6.0,8.0,12.0,27.0,55.0,55.0
6776,PhaseCR,6.0,47.0,8.0,12.0,24.0,55.0
6776,Shadows,32.0,6.0,49.0,8.0,17.0,55.0
6776,SprinTap,2.0,6.0,8.0,26.0,55.0,55.0
6776,Start,32.0,6.0,49.0,8.0,21.0,23.0
6776,Stern,6.0,8.0,15.0,20.0,55.0,55.0
6776,TapClean,2.0,6.0,8.0,13.0,23.0,55.0
6776,Tight*CL,2.0,6.0,43.0,8.0,55.0,55.0
6776,Train,11.0,6.0,33.0,8.0,25.0,55.0
6788,Acustic***,41.0,15.0,8.0,0.0,27.0,6.0
6824,JoesatTone,30.0,6.0,49.0,21.0,21.0,27.0
6833,hotelcalif,57.0,2.0,27.0,55.0,55.0,55.0
6846,rodolfo.*a,6.0,12.0,8.0,47.0,16.0,0.0
6847,Sc00ps**,6.0,50.0,8.0,21.0,19.0,23.0
6847,Cream***,6.0,36.0,8.0,14.0,19.0,26.0
6847,Chalk***,2.0,6.0,45.0,8.0,29.0,19.0
6847,Wowmen**,2.0,10.0,43.0,8.0,15.0,28.0
6847,JF*Riff*,32.0,6.0,48.0,8.0,29.0,24.0
6847,JM*Lead*,2.0,6.0,43.0,8.0,13.0,24.0
6847,Every*BG,2.0,6.0,45.0,8.0,26.0,55.0
6847,EVH1959,32.0,6.0,48.0,8.0,25.0,55.0
6847,BS*Riff,2.0,6.0,43.0,8.0,20.0,55.0
6847,Carlos,6.0,46.0,8.0,27.0,55.0,55.0
6847,PeteHW,6.0,47.0,8.0,24.0,55.0,55.0
6847,BROTHER,2.0,6.0,43.0,8.0,13.0,23.0
6847,MB*Shock,6.0,36.0,8.0,22.0,28.0,55.0
6847,RR*Mtl,2.0,6.0,39.0,8.0,16.0,24.0
6847,YngDrv,32.0,6.0,49.0,8.0,20.0,23.0
6847,Edge,2.0,6.0,43.0,8.0,19.0,23.0
6847,JP*Drv,2.0,50.0,8.0,16.0,19.0,23.0
6847,Wackjob,2.0,31.0,6.0,8.0,12.0,24.0
6847,FullVx,6.0,44.0,8.0,24.0,55.0,55.0
6847,TexasMan,6.0,45.0,8.0,28.0,55.0,55.0
6847,BgLead,6.0,46.0,8.0,20.0,27.0,55.0
6847,HwCrunch,6.0,47.0,8.0,25.0,55.0,55.0
6847,McCrunch,6.0,48.0,8.0,25.0,55.0,55.0
6847,MdRhythm,6.0,49.0,8.0,28.0,55.0,55.0
6847,PvRhythm,6.0,50.0,8.0,55.0,55.0,55.0
6847,DzRhythm,6.0,51.0,8.0,55.0,55.0,55.0
6847,FatOd,6.0,33.0,8.0,25.0,55.0,55.0
6847,TsDrive,6.0,34.0,8.0,55.0,55.0,55.0
6847,GvDrive,6.0,35.0,8.0,55.0,55.0,55.0
6847,dist+,6.0,36.0,8.0,55.0,55.0,55.0
6847,RAT,6.0,37.0,8.0,22.0,55.0,55.0
6847,MuffDrv,6.0,38.0,8.0,24.0,55.0,55.0
