total_missing,RBM-CF,kNN,LR,MF
1,0.5042363427707923,0.5252161563025689,0.5935443574829641,0.4553395774527416
2,0.4900898483163689,0.5137707780914094,0.5776100918085135,0.45533957745274106
3,0.46870988723519513,0.4934645952727171,0.5574353134890085,0.4553395774527413
4,0.43522966384398265,0.46672673780400875,0.5327646622758241,0.45533957745274134
5,0.3911075827559661,0.4318503549739116,0.5026631953354435,0.45533957745274106
