total_items_permutated,mean,std
2,0.8977945285547285,0.07244056764189212
3,0.8186276302283805,0.06947466675008583
4,0.7522317737290793,0.060184982622787625
5,0.6938793017420808,0.04601034366056881
6,0.6372081088016424,0.012533528380494043
