,column,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_probability,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg,split0_test_map@5,split1_test_map@5,mean_test_map@5,std_test_map@5,rank_test_map@5,split0_train_map@5,split1_train_map@5,mean_train_map@5,std_train_map@5,params_str
0,0,4.8326321840286255,0.3261791467666626,7.169649720191956,0.22292888164520264,0.002,2e-13,rbf,True,"{'C': 0.002, 'gamma': 2e-13, 'kernel': 'rbf', 'probability': True}",0.09395973154362416,0.09952038369304557,0.09664351851851852,0.002778649543199515,18,0.09952038369304557,0.09395973154362416,0.09674005761833487,0.0027803260747107025,0.26286353467561524,0.27577937649880097,0.2690972222222222,0.006454026797156602,36,0.27817745803357313,0.2606263982102908,0.269401928121932,0.008775529911641156,0.34486408495457305,0.3549218668440386,0.3497183616303915,0.005025858532739137,34,0.3550501892456452,0.34490741435680905,0.3499788018012271,0.0050713874444180684,0.1533813203947432,0.15913560061042076,0.15615855980439314,0.002875405197643617,31,0.15914131032836068,0.15339996319862093,0.1562706367634908,0.0028706735648698772,"{'C': 0.002, 'gamma': 2e-13, 'kernel': 'rbf', 'probability': True}"
1,0,4.959832549095154,0.2402716875076294,7.605297088623047,0.17357182502746582,0.002,2e-10,rbf,True,"{'C': 0.002, 'gamma': 2e-10, 'kernel': 'rbf', 'probability': True}",0.09395973154362416,0.09952038369304557,0.09664351851851852,0.002778649543199515,18,0.09952038369304557,0.09395973154362416,0.09674005761833487,0.0027803260747107025,0.26286353467561524,0.27817745803357313,0.27025462962962965,0.007652344545164489,34,0.27817745803357313,0.26286353467561524,0.2705204963545942,0.007656961678978946,0.3447116310389811,0.3544556255200809,0.34941446170867857,0.004869059435171427,36,0.35473106376725694,0.3446613218635675,0.3496961928154122,0.005034870951844711,0.1533813203947432,0.15914131032836068,0.15616131553631551,0.002878258335138868,29,0.15914131032836068,0.1533813203947432,0.15626131536155194,0.002879994966808741,"{'C': 0.002, 'gamma': 2e-10, 'kernel': 'rbf', 'probability': True}"
2,0,4.867137312889099,0.32118451595306396,7.467852354049683,0.20060205459594727,0.002,2e-07,rbf,True,"{'C': 0.002, 'gamma': 2e-07, 'kernel': 'rbf', 'probability': True}",0.09395973154362416,0.09952038369304557,0.09664351851851852,0.002778649543199515,18,0.09952038369304557,0.09395973154362416,0.09674005761833487,0.0027803260747107025,0.2807606263982103,0.302158273381295,0.29108796296296297,0.010692372120647617,30,0.3009592326139089,0.2829977628635347,0.29197849773872175,0.008980734875187107,0.34534551593953794,0.3562242242534591,0.35059600363271515,0.005436074236404653,32,0.3556494832412629,0.3462041393925943,0.3509268113169286,0.004722671924334287,0.1546836534084856,0.15913560061042076,0.15683233625941959,0.0022246313429788297,26,0.16097412978707942,0.15339996319862093,0.15718704649285017,0.0037870832942292487,"{'C': 0.002, 'gamma': 2e-07, 'kernel': 'rbf', 'probability': True}"
3,0,5.036803245544434,0.38586854934692383,7.649802207946777,0.2283642292022705,0.002,0.0002,rbf,True,"{'C': 0.002, 'gamma': 0.0002, 'kernel': 'rbf', 'probability': True}",0.09395973154362416,0.09952038369304557,0.09664351851851852,0.002778649543199515,18,0.09952038369304557,0.09395973154362416,0.09674005761833487,0.0027803260747107025,0.3568232662192394,0.36930455635491605,0.3628472222222222,0.006236881970336379,17,0.4244604316546763,0.3926174496644295,0.4085389406595529,0.015921490995123383,0.394073246208478,0.3948954654970798,0.3944700812123518,0.00041086174594125716,17,0.4258864443312902,0.4072285583666101,0.41655750134895014,0.00932894298234005,0.15993559758660428,0.15541000965461396,0.15775137285553953,0.0022614295053939994,19,0.16545625836992744,0.1571967033712,0.16132648087056373,0.004129777499363718,"{'C': 0.002, 'gamma': 0.0002, 'kernel': 'rbf', 'probability': True}"
4,0,5.858607172966003,0.29969894886016846,6.743451952934265,0.028681159019470215,0.002,0.2,rbf,True,"{'C': 0.002, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True}",0.09395973154362416,0.09952038369304557,0.09664351851851852,0.002778649543199515,18,0.09952038369304557,0.09395973154362416,0.09674005761833487,0.0027803260747107025,0.36465324384787473,0.3764988009592326,0.37037037037037035,0.005919207131099388,14,0.44244604316546765,0.41834451901565994,0.4303952810905638,0.012050762074903854,0.4007566530459363,0.4090923277221784,0.40477977380981706,0.004165324139869099,13,0.4565205936884307,0.43337861131390626,0.44494960250116844,0.011570991187262207,0.16130451204276708,0.16151084327343315,0.16140409551867882,0.00010310340665666963,13,0.1714571719247978,0.1621327851864765,0.16679497855563716,0.004662193369160655,"{'C': 0.002, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True}"
5,0,7.789601445198059,0.6666058301925659,7.926893591880798,0.8257707357406616,0.002,200.0,rbf,True,"{'C': 0.002, 'gamma': 200.0, 'kernel': 'rbf', 'probability': True}",0.09395973154362416,0.09952038369304557,0.09664351851851852,0.002778649543199515,18,0.09952038369304557,0.09395973154362416,0.09674005761833487,0.0027803260747107025,0.28187919463087246,0.2973621103117506,0.28935185185185186,0.007736789755594595,31,0.19304556354916066,0.15548098434004473,0.1742632739446027,0.018782289604557967,0.35081957924438895,0.3677943080562656,0.35901224349734334,0.008482246540806287,30,0.2813738337217652,0.2723087377589791,0.27684128574037214,0.004532547981393048,0.15476088788169323,0.16048594890321508,0.1575240249719416,0.0028608044101259356,22,0.15522158896259616,0.133833008900123,0.14452729893135957,0.010694290031236578,"{'C': 0.002, 'gamma': 200.0, 'kernel': 'rbf', 'probability': True}"
6,0,5.0033018589019775,0.12444019317626953,6.735422372817993,0.48515939712524414,2.0,2e-13,rbf,True,"{'C': 2.0, 'gamma': 2e-13, 'kernel': 'rbf', 'probability': True}",0.09395973154362416,0.09952038369304557,0.09664351851851852,0.002778649543199515,18,0.09952038369304557,0.09395973154362416,0.09674005761833487,0.0027803260747107025,0.26286353467561524,0.27817745803357313,0.27025462962962965,0.007652344545164489,34,0.27817745803357313,0.26286353467561524,0.2705204963545942,0.007656961678978946,0.3446812579511278,0.35494156567981694,0.3496332814729604,0.005127060390996585,35,0.3548797399620954,0.3449335909012959,0.34990666543169563,0.004973074530399746,0.1533813203947432,0.15914131032836068,0.15616131553631551,0.002878258335138868,29,0.15914131032836068,0.1533813203947432,0.15626131536155194,0.002879994966808741,"{'C': 2.0, 'gamma': 2e-13, 'kernel': 'rbf', 'probability': True}"
7,0,4.973945617675781,0.4895763397216797,7.28673779964447,0.7628854513168335,2.0,2e-10,rbf,True,"{'C': 2.0, 'gamma': 2e-10, 'kernel': 'rbf', 'probability': True}",0.09395973154362416,0.09952038369304557,0.09664351851851852,0.002778649543199515,18,0.09952038369304557,0.09395973154362416,0.09674005761833487,0.0027803260747107025,0.26733780760626397,0.27817745803357313,0.2725694444444444,0.0054165570690155535,33,0.28896882494004794,0.26286353467561524,0.27591617980783156,0.01305264513221635,0.34497117252648196,0.3555118111737535,0.3500584946513804,0.005267141330773552,33,0.3554116712701398,0.3455684737907615,0.3504900725304506,0.0049215987396891425,0.15360237078357886,0.15914131032836068,0.15627567841109508,0.002767799787210063,28,0.1609570006332596,0.1533813203947432,0.1571691605140014,0.003787840119258201,"{'C': 2.0, 'gamma': 2e-10, 'kernel': 'rbf', 'probability': True}"
8,0,5.931214213371277,0.06766784191131592,6.705276846885681,0.4286428689956665,2.0,2e-07,rbf,True,"{'C': 2.0, 'gamma': 2e-07, 'kernel': 'rbf', 'probability': True}",0.09395973154362416,0.09952038369304557,0.09664351851851852,0.002778649543199515,18,0.09952038369304557,0.09395973154362416,0.09674005761833487,0.0027803260747107025,0.35906040268456374,0.36930455635491605,0.36400462962962965,0.005118988232261911,16,0.4148681055155875,0.37472035794183445,0.394794231728711,0.020073873786876528,0.3961666599930162,0.39190626367215586,0.39411042704648985,0.0021289136548559777,18,0.4298615864867542,0.4009211817221274,0.41539138410444076,0.014470202382313418,0.16081713588424998,0.1618991040933487,0.1613393358185025,0.0005406578921289649,14,0.16747464366169404,0.1618797757052791,0.16467720968348656,0.0027974339782074753,"{'C': 2.0, 'gamma': 2e-07, 'kernel': 'rbf', 'probability': True}"
9,0,6.69021999835968,0.5990267992019653,6.849500775337219,0.15240037441253662,2.0,0.0002,rbf,True,"{'C': 2.0, 'gamma': 0.0002, 'kernel': 'rbf', 'probability': True}",0.09395973154362416,0.09952038369304557,0.09664351851851852,0.002778649543199515,18,0.09952038369304557,0.09395973154362416,0.09674005761833487,0.0027803260747107025,0.3713646532438479,0.3752997601918465,0.3732638888888889,0.0019663670428720138,13,0.44244604316546765,0.4015659955257271,0.42200601934559734,0.020440023819870284,0.39788936578718975,0.40766061860998104,0.4026053523926341,0.004882680387652207,14,0.44768988359604905,0.426378696105986,0.43703428985101755,0.010655593745031527,0.163706770485294,0.1613966489146345,0.16259181597723263,0.0011543642857998677,8,0.17201672428291132,0.16384259662783154,0.16792966045537144,0.004087063827539886,"{'C': 2.0, 'gamma': 0.0002, 'kernel': 'rbf', 'probability': True}"
