,column,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,split3_test_precision_weighted,split4_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_train_precision_weighted,split1_train_precision_weighted,split2_train_precision_weighted,split3_train_precision_weighted,split4_train_precision_weighted,mean_train_precision_weighted,std_train_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,split3_test_recall_weighted,split4_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_train_recall_weighted,split1_train_recall_weighted,split2_train_recall_weighted,split3_train_recall_weighted,split4_train_recall_weighted,mean_train_recall_weighted,std_train_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,split2_train_f1_weighted,split3_train_f1_weighted,split4_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted
0,0,LogisticRegression-split_x_y-{},1.8220407009124755,0.39326572344793065,0.03468575477600098,0.014440142083144591,{},0.31116389548693585,0.325,0.3489583333333333,0.3715083798882682,0.3958333333333333,0.34807793575566087,0.030355271300941764,1,0.3606224627875507,0.35690460306871247,0.3577557755775578,0.3549643088903309,0.34037108125399873,0.35412364631563015,0.007113374140483249,0.15796717520281298,0.15471102150537633,0.17214686355311357,0.2186856806821523,0.23439625850340134,0.18511827356939642,0.03216027816697582,1,0.1888210932053963,0.18519709257309425,0.19235681328947143,0.19695457444903822,0.1681603175119555,0.18629797820579114,0.009867373713253634,0.31116389548693585,0.325,0.3489583333333333,0.3715083798882682,0.3958333333333333,0.34807793575566087,0.030355271300941764,1,0.3606224627875507,0.35690460306871247,0.3577557755775578,0.3549643088903309,0.34037108125399873,0.35412364631563015,0.007113374140483249,0.1787321689277519,0.18603384615384616,0.20407937252449446,0.22260712688462206,0.2546930801780614,0.20710715481519285,0.02682979641963475,1,0.21965322167321852,0.21255956721098734,0.21092566392641535,0.20745380302350958,0.1959326288498053,0.20930497693678723,0.007778839135924518
0,1,LogisticRegression-split_x_y-{},1.889821195602417,0.3727380317078149,0.031980705261230466,0.021666206923729173,{},0.13023255813953488,0.14878048780487804,0.14171122994652408,0.15384615384615385,0.16467065868263472,0.14691943127962084,0.01155123229397487,1,0.14976174268209666,0.15648085963734049,0.16262295081967212,0.14922480620155038,0.1450479233226837,0.1526276565326687,0.006196745761431523,0.04292056985051881,0.050224320935440665,0.056777868587760134,0.05928253542632628,0.0663730708947574,0.0543757320087233,0.00802099085083677,1,0.06523177786242873,0.06548623542407525,0.06919348658796012,0.05532481642626984,0.06471045870041531,0.06398935500022986,0.004614357385384887,0.13023255813953488,0.14878048780487804,0.14171122994652408,0.15384615384615385,0.16467065868263472,0.14691943127962084,0.01155123229397487,1,0.14976174268209666,0.15648085963734049,0.16262295081967212,0.14922480620155038,0.1450479233226837,0.1526276565326687,0.006196745761431523,0.06160901887945194,0.07191950739065876,0.07678152130641139,0.08200233814268902,0.08857535541240552,0.07533552107043685,0.009200082483896388,1,0.08017691267651768,0.08190044966089421,0.08539459888626483,0.07664783158279694,0.07494241078173378,0.07981244071764149,0.0037251859961193227
0,2,LogisticRegression-split_x_y-{},1.9922525405883789,0.41418390234093416,0.036429405212402344,0.01799158394775902,{},0.12941176470588237,0.14640198511166252,0.14173228346456693,0.16201117318435754,0.1716867469879518,0.14902580305423907,0.014825611639376086,1,0.16485753052917232,0.16176470588235295,0.1627140974967062,0.15509409474367294,0.15443522654754308,0.1597731310398895,0.0042155278969684875,0.03787472484126681,0.041946692051794396,0.04366784455990056,0.055504734130748676,0.05817932191256771,0.04677459369432026,0.00785605161883915,1,0.05619021960826431,0.05621236066103496,0.06074025175465507,0.061854376438224466,0.04753942667585447,0.056507327027606656,0.005042209597710384,0.12941176470588237,0.14640198511166252,0.14173228346456693,0.16201117318435754,0.1716867469879518,0.14902580305423907,0.014825611639376086,1,0.16485753052917232,0.16176470588235295,0.1627140974967062,0.15509409474367294,0.15443522654754308,0.1597731310398895,0.0042155278969684875,0.057561114758759996,0.06375661416264577,0.06325546823517782,0.0802050011686711,0.08493503023100682,0.06907295583607188,0.010478386494014141,1,0.08041465855460819,0.07944701227107709,0.078165861493908,0.07269029469533135,0.07033913597775071,0.07621139259853507,0.0039708476749957524
0,3,LogisticRegression-split_x_y-{},1.5973474025726317,0.3347788647990382,0.02473759651184082,0.00666504369932492,{},0.2459016393442623,0.24378109452736318,0.2619047619047619,0.2619718309859155,0.29080118694362017,0.25961032122169564,0.01643278333790118,1,0.28328804347826086,0.2712090848363393,0.26101249178172253,0.26878238341968913,0.2560819462227913,0.2680747899477606,0.009332437323131892,0.08815175846791773,0.08374110877970889,0.11353610750975461,0.09979976349324013,0.12724494988542084,0.10138590804919333,0.015931478543830698,1,0.12660721087922977,0.11732384090978147,0.10060638803535454,0.11513686870991328,0.11143893076878618,0.11422264786061305,0.008449641551307044,0.2459016393442623,0.24378109452736318,0.2619047619047619,0.2619718309859155,0.29080118694362017,0.25961032122169564,0.01643278333790118,1,0.28328804347826086,0.2712090848363393,0.26101249178172253,0.26878238341968913,0.2560819462227913,0.2680747899477606,0.009332437323131892,0.12497730818037808,0.12085942760674831,0.14030168875416302,0.14103443064512164,0.16186749265355135,0.1367042689538035,0.014230850024104277,1,0.15913379660581314,0.1487504538049256,0.13674115555931074,0.14687458616172483,0.13448064587569147,0.14519612760149317,0.008899631183626428
0,4,LogisticRegression-split_x_y-{},1.3848180294036865,0.2823710738678356,0.02484903335571289,0.007519432704540285,{},0.2718676122931442,0.2907268170426065,0.3148148148148148,0.3194444444444444,0.3274336283185841,0.3033175355450237,0.020810240397491023,1,0.31978319783197834,0.31933333333333336,0.31229454306377386,0.3157894736842105,0.3173076923076923,0.3169016480441976,0.002714540203291651,0.11846799428351597,0.13297150844143327,0.14184907442125289,0.156296432863542,0.18935589139646403,0.14599521147739292,0.023740236795728547,1,0.16458216995791441,0.17079997438820968,0.1710104346916298,0.1650651292937325,0.1729334301911534,0.16887822770452796,0.0033964662757716272,0.2718676122931442,0.2907268170426065,0.3148148148148148,0.3194444444444444,0.3274336283185841,0.3033175355450237,0.020810240397491023,1,0.31978319783197834,0.31933333333333336,0.31229454306377386,0.3157894736842105,0.3173076923076923,0.3169016480441976,0.002714540203291651,0.16336967205761532,0.18202602785198602,0.19439043213977628,0.2084510611240171,0.2261614046836579,0.19321981987075057,0.021512100983723744,1,0.20531807781294661,0.2052661188206286,0.20356029814909335,0.20182598955777045,0.2051719224458576,0.20422848135725932,0.0013691185978997932
0,5,LogisticRegression-split_x_y-{},1.0860424995422364,0.29382032582868856,0.022336864471435548,0.012999066195977283,{},0.4261904761904762,0.4461538461538462,0.46524064171123,0.4930747922437673,0.4830508474576271,0.46129541864139023,0.02455456070679488,1,0.4726166328600406,0.47183565275016565,0.460983606557377,0.4577373211963589,0.459546925566343,0.46454402778605697,0.006361031863084206,0.22853239656518343,0.25741550116550116,0.2572143602452067,0.32674534050023585,0.2816840830890786,0.2686914460651652,0.03287702494465399,1,0.3012331649302159,0.2793508220556668,0.28780487940161387,0.25944912729027925,0.26201485437417144,0.27797056961038946,0.015731470123373257,0.4261904761904762,0.4461538461538462,0.46524064171123,0.4930747922437673,0.4830508474576271,0.46129541864139023,0.02455456070679488,1,0.4726166328600406,0.47183565275016565,0.460983606557377,0.4577373211963589,0.459546925566343,0.46454402778605697,0.006361031863084206,0.2836774709883954,0.30400465319179876,0.3301265420659713,0.3665274475118744,0.355435858865954,0.32612658340333606,0.031186677960617738,1,0.3394487530973083,0.33768110117192035,0.32652417401260647,0.32046993961576825,0.3225506478559936,0.3293349231507194,0.007803369513448422
