,column,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_metric,param_n_neighbors,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,split3_test_precision_weighted,split4_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_train_precision_weighted,split1_train_precision_weighted,split2_train_precision_weighted,split3_train_precision_weighted,split4_train_precision_weighted,mean_train_precision_weighted,std_train_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,split3_test_recall_weighted,split4_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_train_recall_weighted,split1_train_recall_weighted,split2_train_recall_weighted,split3_train_recall_weighted,split4_train_recall_weighted,mean_train_recall_weighted,std_train_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,split2_train_f1_weighted,split3_train_f1_weighted,split4_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted,split0_test_mrr,split1_test_mrr,split2_test_mrr,split3_test_mrr,split4_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,split2_train_mrr,split3_train_mrr,split4_train_mrr,mean_train_mrr,std_train_mrr
0,0,"KNeighborsClassifier-split_x_y-{'n_neighbors': [1], 'algorithm': ['brute'], 'metric': ['hamming']}",0.01571831703186035,0.007265764283426257,0.6725144863128663,0.11170405841245024,brute,hamming,1,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 1}",0.34441805225653205,0.3975,0.4166666666666667,0.39664804469273746,0.4107142857142857,0.39178515007898895,0.026406973643271076,1,0.9810554803788903,0.9773182121414277,0.9815181518151815,0.9805321219987021,0.9782469609724888,0.9797341854613381,0.001650080161156271,0.3179803361791536,0.3717660985115364,0.3920659659982841,0.414079288749172,0.43279073728717077,0.38272120325438247,0.04001368403549604,1,0.9827075285064389,0.9785852658952389,0.9836361036415798,0.9822391298435332,0.9801094978196929,0.9814555051412966,0.0018431846917591334,0.34441805225653205,0.3975,0.4166666666666667,0.39664804469273746,0.4107142857142857,0.39178515007898895,0.026406973643271076,1,0.9810554803788903,0.9773182121414277,0.9815181518151815,0.9805321219987021,0.9782469609724888,0.9797341854613381,0.001650080161156271,0.32487268809452163,0.37999458011754805,0.3985018527055988,0.40081636651030744,0.4150283011191748,0.38164071277540573,0.03223433855866005,1,0.9806952207595199,0.9766609169909108,0.9811812098350691,0.9802017975699219,0.9778114686673628,0.9793101227645569,0.0017594773413583474,0.3500213167671592,0.4026495726495718,0.4216524216524203,0.4018048990116026,0.41575091575091666,0.39698356759968084,0.026181273013841523,1,0.9812173993500122,0.9775120735761174,0.9816761163295825,0.9806985141183722,0.9784328843829813,0.979907397551413,0.0016359769119156007
0,1,"KNeighborsClassifier-split_x_y-{'n_neighbors': [1], 'algorithm': ['brute'], 'metric': ['hamming']}",0.014308309555053711,0.007614376167582332,0.6074371337890625,0.14497371993785224,brute,hamming,1,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 1}",0.16279069767441862,0.21951219512195122,0.24598930481283424,0.25071225071225073,0.25149700598802394,0.22327540810953134,0.03481778316215328,1,0.9326072157930565,0.9321692411014103,0.9350819672131148,0.9308785529715762,0.9335463258785942,0.9328566605915503,0.001405368690931431,0.18864015829132108,0.22728231408544997,0.2721190370087429,0.2599998007002837,0.28640419255512595,0.243808566108891,0.03568691444437248,1,0.9529060951832231,0.9495793278741111,0.951555374897969,0.9468005161692185,0.9498107013433016,0.9501304030935647,0.0020605363988771873,0.16279069767441862,0.21951219512195122,0.24598930481283424,0.25071225071225073,0.25149700598802394,0.22327540810953134,0.03481778316215328,1,0.9326072157930565,0.9321692411014103,0.9350819672131148,0.9308785529715762,0.9335463258785942,0.9328566605915503,0.001405368690931431,0.16391836008169075,0.2153726020512247,0.24821284626006598,0.24275460181257283,0.2567269422567267,0.22252392318449374,0.03464289842943391,1,0.9374672472463109,0.935754052779053,0.9377596375904552,0.9339056181306483,0.9363629011716182,0.9362498913836171,0.0013795313062081689,0.1699463327370323,0.2261830310610819,0.25243384066913643,0.25711641950958336,0.2578944674753074,0.22991407983509266,0.034520195271878336,1,0.9331832224956821,0.9327489911774689,0.9356368221942012,0.9314693345701122,0.9341143059992921,0.9334305352873512,0.0013933569927181793
0,2,"KNeighborsClassifier-split_x_y-{'n_neighbors': [1], 'algorithm': ['brute'], 'metric': ['hamming']}",0.010633897781372071,0.004896618968124922,0.45939364433288576,0.1180320949315308,brute,hamming,1,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 1}",0.15764705882352942,0.17121588089330025,0.1968503937007874,0.19273743016759776,0.19879518072289157,0.18220115850447605,0.01651258981763066,1,0.94640434192673,0.9485294117647058,0.9446640316205533,0.945489941596366,0.9432035737077218,0.9456582601232153,0.0017800256541052467,0.15794248559152166,0.17933580067575103,0.20174077410970057,0.2092221615817617,0.21403291738382094,0.19074332880580283,0.02125724348371161,1,0.9599674459445152,0.9619297952502389,0.9608743045291605,0.9570799768230965,0.9568970492871278,0.9593497143668277,0.0020263296543603223,0.15764705882352942,0.17121588089330025,0.1968503937007874,0.19273743016759776,0.19879518072289157,0.18220115850447605,0.01651258981763066,1,0.94640434192673,0.9485294117647058,0.9446640316205533,0.945489941596366,0.9432035737077218,0.9456582601232153,0.0017800256541052467,0.1498837091166319,0.17035281348868683,0.19028304414509042,0.19024458288283624,0.1931558962597528,0.17750706596107535,0.016964132369511064,1,0.9495973682908858,0.9519375222649544,0.9488462661837096,0.9478951754035726,0.9459653254671858,0.9488483315220616,0.001965929311613789,0.16484665661136405,0.17829950584293203,0.20371492025035498,0.1996371102516372,0.20564308516115878,0.18919089219247365,0.016371456571326087,1,0.9468624244743664,0.9489693313222745,0.9451369886152514,0.9459558395314417,0.9436890132486834,0.9461227194384035,0.0017648117596257105
0,3,"KNeighborsClassifier-split_x_y-{'n_neighbors': [1], 'algorithm': ['brute'], 'metric': ['hamming']}",0.008097982406616211,0.0023403610242407817,0.48935956954956056,0.10550578006371394,brute,hamming,1,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 1}",0.20374707259953162,0.2462686567164179,0.2751322751322751,0.23661971830985915,0.32047477744807124,0.2538177988414955,0.03885880115771154,1,0.9707880434782609,0.9739478957915831,0.9697567389875082,0.9702072538860104,0.971830985915493,0.971306183611771,0.0014920425652594968,0.20701100574473486,0.21397983453659022,0.27158680422443277,0.2531976145815466,0.311143735921184,0.24845392159843846,0.03802539967818706,1,0.9716680267148061,0.9748209421308561,0.9699104078586834,0.9698855121465745,0.9715680781149023,0.9715705933931644,0.001798331521823158,0.20374707259953162,0.2462686567164179,0.2751322751322751,0.23661971830985915,0.32047477744807124,0.2538177988414955,0.03885880115771154,1,0.9707880434782609,0.9739478957915831,0.9697567389875082,0.9702072538860104,0.971830985915493,0.971306183611771,0.0014920425652594968,0.19839372652563184,0.21849437723675552,0.2668390701191518,0.23694001169918977,0.3027825284138317,0.24200392080533625,0.03643842149868545,1,0.9704928734038678,0.9737718342404866,0.9692118185251898,0.9695325116840567,0.9712096854136745,0.970843744653455,0.0016256227539999334,0.21055265317560587,0.25271080494961284,0.28132772577217197,0.24314433610208427,0.32628268533313215,0.2601954244924247,0.03852667465209002,1,0.9710377183203284,0.9741705633489213,0.9700152283978729,0.9704618927416873,0.9720717467196356,0.9715514299056892,0.0014792900647016037
0,4,"KNeighborsClassifier-split_x_y-{'n_neighbors': [1], 'algorithm': ['brute'], 'metric': ['hamming']}",0.007220602035522461,0.00206611566162183,0.5492115974426269,0.054948439774995375,brute,hamming,1,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 1}",0.29550827423167847,0.3208020050125313,0.3941798941798942,0.36944444444444446,0.36578171091445427,0.34702474986835175,0.03655611839076639,1,0.9688346883468835,0.9713333333333334,0.9684418145956607,0.96816114359974,0.966025641025641,0.9685593241802517,0.0016948662962470498,0.2768838435449138,0.2941148605010295,0.3623639017896721,0.3939954721204721,0.3621621528603271,0.3349439651495136,0.04521176860223359,1,0.9696343635954499,0.9729644573478303,0.9696893304965387,0.96997394413394,0.9673800080563273,0.9699284207260173,0.0017808779642954197,0.29550827423167847,0.3208020050125313,0.3941798941798942,0.36944444444444446,0.36578171091445427,0.34702474986835175,0.03655611839076639,1,0.9688346883468835,0.9713333333333334,0.9684418145956607,0.96816114359974,0.966025641025641,0.9685593241802517,0.0016948662962470498,0.27808187770241466,0.30126118105323213,0.36916506353555784,0.3697279970859535,0.36120043668911234,0.33329397920661097,0.03926083433437956,1,0.9687399799437896,0.9710805751752487,0.9683039356132666,0.9679550668137142,0.9658490928014388,0.9683857300694916,0.0016741787789888698,0.3015295710331192,0.32660711608080056,0.3993578438022878,0.3748338081671425,0.3712023800519391,0.3526057349122129,0.03624367293443448,1,0.9691010585319545,0.9715783475783488,0.9687115426760409,0.9684332705775212,0.9663160201621753,0.968828047905208,0.0016803802595269743
0,5,"KNeighborsClassifier-split_x_y-{'n_neighbors': [1], 'algorithm': ['brute'], 'metric': ['hamming']}",0.009314393997192383,0.004788785188830888,0.615028190612793,0.09973753095409346,brute,hamming,1,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 1}",0.4666666666666667,0.4948717948717949,0.5080213903743316,0.5346260387811634,0.53954802259887,0.5071090047393365,0.027069561915807182,1,0.9851250845165652,0.9900596421471173,0.9862295081967213,0.9895968790637191,0.9877022653721683,0.9877426758592582,0.0018947029383132316,0.4089750907423542,0.45021562395311615,0.5205629765010883,0.5363191998708199,0.5431062874596404,0.48863351320641907,0.053784152514299896,1,0.9855924317361776,0.9907949445608051,0.9869204877633474,0.990436102990886,0.9883240362924636,0.988413600668736,0.0019978847037386647,0.4666666666666667,0.4948717948717949,0.5080213903743316,0.5346260387811634,0.53954802259887,0.5071090047393365,0.027069561915807182,1,0.9851250845165652,0.9900596421471173,0.9862295081967213,0.9895968790637191,0.9877022653721683,0.9877426758592582,0.0018947029383132316,0.43007737966728893,0.46782761268754874,0.5094541578846323,0.5315832676098812,0.5377721943407389,0.49283519739918186,0.04142177942462284,1,0.9851386259538077,0.9902246885019977,0.9863456278586845,0.9896983376822074,0.9878147302880094,0.9878444020569415,0.001932421780806178,0.4712250712250692,0.4991891299583585,0.5122263357557457,0.5386035940052543,0.5434835095852032,0.5113217482885711,0.026838198138749242,1,0.985252220546339,0.9901446024706467,0.9863472047078611,0.9896857946272776,0.9878073742151419,0.9878474393134532,0.0018785088961053287
