,column,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,split3_test_precision_weighted,split4_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_train_precision_weighted,split1_train_precision_weighted,split2_train_precision_weighted,split3_train_precision_weighted,split4_train_precision_weighted,mean_train_precision_weighted,std_train_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,split3_test_recall_weighted,split4_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_train_recall_weighted,split1_train_recall_weighted,split2_train_recall_weighted,split3_train_recall_weighted,split4_train_recall_weighted,mean_train_recall_weighted,std_train_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,split2_train_f1_weighted,split3_train_f1_weighted,split4_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted
0,0,"MLPClassifier-split_x_y_split_with_bag_of_words-{'hidden_layer_sizes': [5], 'max_iter': [500]}",84.6210548877716,26.10926767895862,0.13853578567504882,0.06574092646180157,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.342042755344418,0.3675,0.4244791666666667,0.44692737430167595,0.45535714285714285,0.4038967877830437,0.04506123299875127,1,0.6515561569688768,0.6397598398932621,0.6277227722772277,0.6340038935756003,0.6212412028150992,0.6348567731060133,0.010391483156747377,0.2318546505927323,0.2759794504376884,0.3182021440954224,0.35611596167530224,0.38384541065278005,0.30892774284694585,0.05455134174200721,1,0.5318379498070465,0.5181822031837318,0.5069166607921171,0.5133851198475354,0.5037333741052332,0.5148110615471329,0.009882808829694726,0.342042755344418,0.3675,0.4244791666666667,0.44692737430167595,0.45535714285714285,0.4038967877830437,0.04506123299875127,1,0.6515561569688768,0.6397598398932621,0.6277227722772277,0.6340038935756003,0.6212412028150992,0.6348567731060133,0.010391483156747377,0.27477200616335384,0.31408241274002147,0.3591404763606705,0.3939622294083554,0.4149317117025613,0.34738149335098994,0.05144644579804901,1,0.5804265545754047,0.5664669346247688,0.5497085134657641,0.5587889423473166,0.5458048008743527,0.5602391491775214,0.012390838934928783
0,1,"MLPClassifier-split_x_y_split_with_bag_of_words-{'hidden_layer_sizes': [5], 'max_iter': [500]}",89.21121845245361,29.195565649212423,0.13131003379821776,0.04183187626333816,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.1744186046511628,0.15609756097560976,0.20855614973262032,0.22792022792022792,0.16167664670658682,0.1848341232227488,0.0274067794779538,1,0.39891082368958475,0.39153794492948285,0.40327868852459015,0.3888888888888889,0.37124600638977634,0.39077247048446456,0.011027736969594155,0.09001629166979583,0.08733723942749995,0.1351860613299428,0.14860907822108216,0.10882707491893212,0.11247229594481777,0.024411049183896527,1,0.31927302337318103,0.2787771597366469,0.319978237607204,0.3066354148344505,0.2745027647284545,0.2998333200559874,0.019570320294650237,0.1744186046511628,0.15609756097560976,0.20855614973262032,0.22792022792022792,0.16167664670658682,0.1848341232227488,0.0274067794779538,1,0.39891082368958475,0.39153794492948285,0.40327868852459015,0.3888888888888889,0.37124600638977634,0.39077247048446456,0.011027736969594155,0.11455806675747207,0.10773113895682725,0.15628152486894634,0.1730633902562523,0.12667129968023955,0.13424565036974337,0.024975688494859413,1,0.32497053596385106,0.3150164470190294,0.32464249625240876,0.3080898525442761,0.2960860222941517,0.3137610708147434,0.010864654203198277
0,2,"MLPClassifier-split_x_y_split_with_bag_of_words-{'hidden_layer_sizes': [5], 'max_iter': [500]}",105.7365059375763,28.896588434023535,0.12270913124084473,0.04786300792564496,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.14588235294117646,0.16129032258064516,0.1732283464566929,0.2206703910614525,0.16566265060240964,0.1721958925750395,0.025116867662433182,1,0.4090909090909091,0.37032085561497324,0.4018445322793149,0.3802725502920182,0.3618379068283344,0.3846733508211099,0.018099089981630897,0.07435450296491804,0.08379387328698942,0.09667669680758137,0.13450798526111743,0.11026096076395563,0.0984538777649019,0.02111046623074948,1,0.2825850579996479,0.27957944378809435,0.29097227411521526,0.2763697553976547,0.25577765652883955,0.2770568375658904,0.011694783154794226,0.14588235294117646,0.16129032258064516,0.1732283464566929,0.2206703910614525,0.16566265060240964,0.1721958925750395,0.025116867662433182,1,0.4090909090909091,0.37032085561497324,0.4018445322793149,0.3802725502920182,0.3618379068283344,0.3846733508211099,0.018099089981630897,0.09663917573985038,0.10591739324566839,0.11929149928102745,0.16022248856047738,0.12438171508591118,0.11998988978761752,0.021741121225591915,1,0.3140590766058783,0.28859332117086367,0.30870183762928644,0.29372396923914895,0.2765271010286158,0.2963210611347586,0.013610176541166011
0,3,"MLPClassifier-split_x_y_split_with_bag_of_words-{'hidden_layer_sizes': [5], 'max_iter': [500]}",93.1405029296875,29.77391381723336,0.12956910133361815,0.07291611745842008,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.20608899297423888,0.24129353233830847,0.2222222222222222,0.27887323943661974,0.28486646884273,0.24433912585571355,0.03070394054306411,1,0.46059782608695654,0.45490981963927857,0.44641683103221563,0.45142487046632124,0.4513444302176697,0.4529387554884883,0.004688617618481835,0.1106868637067084,0.14114824486449506,0.12682808665797468,0.18123617123617125,0.19912038999576093,0.14923028657841927,0.032878127653407266,1,0.3918735739565478,0.35289529034304074,0.3554655475793716,0.34598140947739436,0.36599491978483767,0.36244214822823845,0.016059902729791624,0.20608899297423888,0.24129353233830847,0.2222222222222222,0.27887323943661974,0.28486646884273,0.24433912585571355,0.03070394054306411,1,0.46059782608695654,0.45490981963927857,0.44641683103221563,0.45142487046632124,0.4513444302176697,0.4529387554884883,0.004688617618481835,0.14076544976385125,0.17073741760851457,0.16046659794095852,0.21700962891113415,0.23170132363708904,0.18142255254271789,0.0341852789884842,1,0.38080574283978647,0.3695285836111944,0.3670194903316979,0.3703863928048876,0.37561946091342063,0.37267193410019744,0.00493763568506661
0,4,"MLPClassifier-split_x_y_split_with_bag_of_words-{'hidden_layer_sizes': [5], 'max_iter': [500]}",82.65663919448852,26.55537906075077,0.09759812355041504,0.03789237392936508,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.2907801418439716,0.3032581453634085,0.3253968253968254,0.3527777777777778,0.3775811209439528,0.32754081095313325,0.03152086168060117,1,0.5785907859078591,0.5646666666666667,0.5641025641025641,0.5542560103963613,0.5461538461538461,0.5615539746454594,0.010925761644569171,0.20051362791322125,0.22169340933664425,0.23749777104947126,0.2942868933179288,0.31361022616061607,0.25029185921654395,0.04288362929593955,1,0.4930142481781425,0.4896608804277998,0.4594903809849793,0.47886543147332883,0.43159967715256553,0.4705261236433632,0.02270882898696989,0.2907801418439716,0.3032581453634085,0.3253968253968254,0.3527777777777778,0.3775811209439528,0.32754081095313325,0.03152086168060117,1,0.5785907859078591,0.5646666666666667,0.5641025641025641,0.5542560103963613,0.5461538461538461,0.5615539746454594,0.010925761644569171,0.23270972701861953,0.2544432210411675,0.2718422710544382,0.317446775255355,0.3364644533257157,0.27965125168626903,0.03851605419954337,1,0.5176149711881644,0.4998557986403457,0.4942996543298239,0.4903648158318901,0.466874644575836,0.49380197691321204,0.016375899607412623
0,5,"MLPClassifier-split_x_y_split_with_bag_of_words-{'hidden_layer_sizes': [5], 'max_iter': [500]}",95.24683027267456,17.805681191086695,0.0960383415222168,0.033864543936424026,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.45714285714285713,0.4846153846153846,0.5106951871657754,0.5290858725761773,0.5451977401129944,0.5034228541337546,0.03173775146460992,1,0.7822853279242732,0.7601060304837641,0.7632786885245901,0.7451235370611183,0.7533980582524272,0.7608383284492346,0.012399820104045382,0.37106939606939604,0.40924033003592303,0.45360156183685596,0.4536987524051023,0.47171679742598566,0.4296328884134709,0.037380986695429,1,0.7334631934275234,0.6993740059092319,0.6963977750746864,0.6745712454624189,0.6949831279858993,0.699757869571952,0.01899816114153978,0.45714285714285713,0.4846153846153846,0.5106951871657754,0.5290858725761773,0.5451977401129944,0.5034228541337546,0.03173775146460992,1,0.7822853279242732,0.7601060304837641,0.7632786885245901,0.7451235370611183,0.7533980582524272,0.7608383284492346,0.012399820104045382,0.40649953314659204,0.4404637438832418,0.4783914148208998,0.48648183450779564,0.5042640318064047,0.46106290821265444,0.0357138289567802,1,0.7513254278406105,0.7230503587718541,0.7191846934103213,0.7022322459121676,0.7059341592418698,0.7203453770353647,0.017344718953880307
