,column,is_test,evaluation,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,split3_test_precision_weighted,split4_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_train_precision_weighted,split1_train_precision_weighted,split2_train_precision_weighted,split3_train_precision_weighted,split4_train_precision_weighted,mean_train_precision_weighted,std_train_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,split3_test_recall_weighted,split4_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_train_recall_weighted,split1_train_recall_weighted,split2_train_recall_weighted,split3_train_recall_weighted,split4_train_recall_weighted,mean_train_recall_weighted,std_train_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,split2_train_f1_weighted,split3_train_f1_weighted,split4_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted
0,0,False,train,"SVC-split_x_y-{'C': [100.0], 'gamma': [1e-05], 'kernel': ['rbf']}",2.6750335693359375,0.5391699984922974,1.4144097328186036,0.4153255426680951,100.0,1e-05,rbf,"{'C': 100.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.33016627078384797,0.365,0.3645833333333333,0.3854748603351955,0.42857142857142855,0.3723012111637704,0.03177758452163698,1,0.38903924221921515,0.3882588392261508,0.3788778877887789,0.373134328358209,0.37364043506078054,0.38059014653062684,0.006884992516286541,0.14331372132446438,0.20247819479318094,0.18478643600734843,0.1979582335727587,0.261709460206847,0.19541220235399784,0.03760313431710451,1,0.2131814491956874,0.21929135372594694,0.2117792738602076,0.1840692127730684,0.22359494679216774,0.21038324726941565,0.013828308650429555,0.33016627078384797,0.365,0.3645833333333333,0.3854748603351955,0.42857142857142855,0.3723012111637704,0.03177758452163698,1,0.38903924221921515,0.3882588392261508,0.3788778877887789,0.373134328358209,0.37364043506078054,0.38059014653062684,0.006884992516286541,0.1867655566750932,0.24114342550228762,0.22379768045759205,0.23941376662816108,0.3035793916228699,0.23630162343075858,0.03719196920251254,1,0.2455913828390469,0.26200527382666955,0.23609979439215537,0.22719079275934395,0.24457456791582408,0.24309236234660797,0.011557648371186308
0,1,False,train,"SVC-split_x_y-{'C': [100.0], 'gamma': [1e-05], 'kernel': ['rbf']}",1.6189351558685303,0.22278916075932975,2.252164888381958,0.7175877783684449,100.0,1e-05,rbf,"{'C': 100.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.14186046511627906,0.17317073170731706,0.15775401069518716,0.1794871794871795,0.18263473053892215,0.16587677725118483,0.015450459156182685,1,0.2001361470388019,0.1826729348556078,0.19081967213114753,0.1892764857881137,0.18977635782747604,0.1905363195282294,0.00558989299144968,0.05244412557281088,0.060395034606535884,0.06035549183920501,0.06975585252594722,0.07721209109527746,0.06327489983953724,0.008482870009664214,1,0.11601146261566747,0.08530608253993929,0.09686314882220866,0.1262046310898421,0.14319078828083395,0.1135152226696983,0.02059581823839254,0.14186046511627906,0.17317073170731706,0.15775401069518716,0.1794871794871795,0.18263473053892215,0.16587677725118483,0.015450459156182685,1,0.2001361470388019,0.1826729348556078,0.19081967213114753,0.1892764857881137,0.18977635782747604,0.1905363195282294,0.00558989299144968,0.07404214657916415,0.08742513665619737,0.0849166346301384,0.09884560489911745,0.10320773107114063,0.08878748810274065,0.010385407367972173,1,0.12164885103844265,0.10037036916973816,0.10689997972618821,0.10590040182708751,0.10868741494508466,0.10870140334130825,0.007044621557428156
0,2,False,train,"SVC-split_x_y-{'C': [100.0], 'gamma': [1e-05], 'kernel': ['rbf']}",1.276617670059204,0.20347171202195205,1.7441699504852295,0.5105572747500904,100.0,1e-05,rbf,"{'C': 100.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.14352941176470588,0.16129032258064516,0.1784776902887139,0.17039106145251395,0.19578313253012047,0.16850974196945762,0.017359819323326513,1,0.22184531886024422,0.20053475935828877,0.20092226613965744,0.19922128487994809,0.18506700701978301,0.2015181272515843,0.011751013771881732,0.05024830457984814,0.06240207910447299,0.0886665676078416,0.07373968324626463,0.0785280998757532,0.06990819660086284,0.013594636635740565,1,0.1410182854170106,0.11871763782798925,0.10644876380542286,0.12974963269496942,0.07994641181561318,0.11517614631220105,0.021024015882495684,0.14352941176470588,0.16129032258064516,0.1784776902887139,0.17039106145251395,0.19578313253012047,0.16850974196945762,0.017359819323326513,1,0.22184531886024422,0.20053475935828877,0.20092226613965744,0.19922128487994809,0.18506700701978301,0.2015181272515843,0.011751013771881732,0.07162189436061801,0.08191438219957398,0.0978594163647031,0.09089736735929349,0.10865069795697783,0.08917773986360535,0.01273370033759637,1,0.13986680548539315,0.11315421089211629,0.11163640770910582,0.1106993485894865,0.09618690673345578,0.11430873588191151,0.014164162919030434
0,3,False,train,"SVC-split_x_y-{'C': [100.0], 'gamma': [1e-05], 'kernel': ['rbf']}",1.0539659023284913,0.2855460160372619,1.4936088562011718,0.2710153777089598,100.0,1e-05,rbf,"{'C': 100.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.24824355971896955,0.24129353233830847,0.2751322751322751,0.27887323943661974,0.32344213649851633,0.2711953659820958,0.028394615285897307,1,0.3016304347826087,0.3026052104208417,0.2879684418145957,0.2979274611398964,0.28040973111395645,0.2941082558543798,0.008587370240683085,0.1584448370904918,0.13116963723712588,0.1359489166036785,0.1529997375557694,0.17509102791725648,0.15012923292447006,0.01561361733729368,1,0.20993301604110529,0.19760763017319288,0.17972674515297715,0.21567904484910566,0.1857937150663662,0.19774803025654944,0.013694431302702433,0.24824355971896955,0.24129353233830847,0.2751322751322751,0.27887323943661974,0.32344213649851633,0.2711953659820958,0.028394615285897307,1,0.3016304347826087,0.3026052104208417,0.2879684418145957,0.2979274611398964,0.28040973111395645,0.2941082558543798,0.008587370240683085,0.14951837948598218,0.14153983927731717,0.1670270801923463,0.17344513062062983,0.2021276697072706,0.16512356282484286,0.020716258733534786,1,0.19618290413164036,0.19910303611078542,0.1848372820726642,0.19766660989906465,0.17498498370496418,0.19055496318382378,0.009278307252297495
0,4,False,train,"SVC-split_x_y-{'C': [100.0], 'gamma': [1e-05], 'kernel': ['rbf']}",1.1703019618988038,0.12251468821408584,1.0709215641021728,0.27779996415294694,100.0,1e-05,rbf,"{'C': 100.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.3215130023640662,0.3283208020050125,0.35714285714285715,0.34444444444444444,0.3834808259587021,0.3454449710373881,0.021791735074862893,1,0.3780487804878049,0.372,0.36752136752136755,0.3651721897335932,0.3641025641025641,0.36936898036906596,0.005119044042878864,0.18213129636672107,0.19622038768802155,0.23819451735413383,0.2309173497876385,0.26385058727661564,0.22008772807837215,0.029495510030073,1,0.23765177884762673,0.2504873580153156,0.2688250802503934,0.2239239837581355,0.27062604406111845,0.2503028489865179,0.017955686893075244,0.3215130023640662,0.3283208020050125,0.35714285714285715,0.34444444444444444,0.3834808259587021,0.3454449710373881,0.021791735074862893,1,0.3780487804878049,0.372,0.36752136752136755,0.3651721897335932,0.3641025641025641,0.36936898036906596,0.005119044042878864,0.22456056390193038,0.23771134415575335,0.25708006748303364,0.26455903117193447,0.2990291770333376,0.2546731714552115,0.025166084312799764,1,0.276465582821695,0.2764532886051391,0.27716473168766004,0.26419050675569833,0.2680647175208271,0.2724677654782039,0.005325941662359453
0,5,False,train,"SVC-split_x_y-{'C': [100.0], 'gamma': [1e-05], 'kernel': ['rbf']}",1.889810562133789,0.23199091306172057,0.6167018413543701,0.17868369998900716,100.0,1e-05,rbf,"{'C': 100.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.4380952380952381,0.4641025641025641,0.47593582887700536,0.5041551246537396,0.5112994350282486,0.47709320695102686,0.026992971816124766,1,0.4969574036511156,0.4937044400265076,0.48065573770491804,0.47464239271781533,0.47831715210355985,0.48485542524078334,0.008825591973948922,0.21751723987904895,0.24447096143378924,0.2559080295382715,0.29245533011037667,0.2965417698080907,0.2595906684768836,0.030016302819562937,1,0.29090434336275645,0.3138640040342409,0.25919978227196516,0.2552330012279195,0.2654117007046704,0.2769225663203105,0.022258455674999313,0.4380952380952381,0.4641025641025641,0.47593582887700536,0.5041551246537396,0.5112994350282486,0.47709320695102686,0.026992971816124766,1,0.4969574036511156,0.4937044400265076,0.48065573770491804,0.47464239271781533,0.47831715210355985,0.48485542524078334,0.008825591973948922,0.28291997354497356,0.31648300113555805,0.3303004334308647,0.36159173314954235,0.3741151713550307,0.33109979345000823,0.03284927892142893,1,0.3473806589434769,0.35114798981432466,0.33382226838580303,0.32766478631038043,0.3314786722634442,0.33829887514348583,0.009243566038195246
