,kfold-test,column,is_test,evaluation,evaluation_method,split0_train_score,split1_train_score,mean_train_score,std_train_score,mean_test_score,std_test_score,params
0,0,0,False,train,SVC-bag_of_words_gaussian_random_projection,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 1e-05, 'gamma': 1e-05, 'kernel': 'rbf'}"
1,0,0,False,train,SVC-bag_of_words_gaussian_random_projection,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 1e-05, 'gamma': 0.01, 'kernel': 'rbf'}"
2,0,0,False,train,SVC-bag_of_words_gaussian_random_projection,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 1e-05, 'gamma': 1.0, 'kernel': 'rbf'}"
3,0,0,False,train,SVC-bag_of_words_gaussian_random_projection,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 1e-05, 'gamma': 100.0, 'kernel': 'rbf'}"
4,0,0,False,train,SVC-bag_of_words_gaussian_random_projection,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 1e-05, 'gamma': 10000.0, 'kernel': 'rbf'}"
5,0,0,False,train,SVC-bag_of_words_gaussian_random_projection,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 1e-05, 'gamma': 1000000.0, 'kernel': 'rbf'}"
6,0,0,False,train,SVC-bag_of_words_gaussian_random_projection,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 1e-05, 'gamma': 'scale', 'kernel': 'rbf'}"
7,0,0,False,train,SVC-bag_of_words_gaussian_random_projection,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}"
8,0,0,False,train,SVC-bag_of_words_gaussian_random_projection,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}"
9,0,0,False,train,SVC-bag_of_words_gaussian_random_projection,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 0.01, 'gamma': 1.0, 'kernel': 'rbf'}"
10,0,0,False,train,SVC-bag_of_words_gaussian_random_projection,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 0.01, 'gamma': 100.0, 'kernel': 'rbf'}"
11,0,0,False,train,SVC-bag_of_words_gaussian_random_projection,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 0.01, 'gamma': 10000.0, 'kernel': 'rbf'}"
12,0,0,False,train,SVC-bag_of_words_gaussian_random_projection,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 0.01, 'gamma': 1000000.0, 'kernel': 'rbf'}"
13,0,0,False,train,SVC-bag_of_words_gaussian_random_projection,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}"
14,0,0,False,train,SVC-bag_of_words_gaussian_random_projection,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 1.0, 'gamma': 1e-05, 'kernel': 'rbf'}"
15,0,0,False,train,SVC-bag_of_words_gaussian_random_projection,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 1.0, 'gamma': 0.01, 'kernel': 'rbf'}"
16,0,0,False,train,SVC-bag_of_words_gaussian_random_projection,0.9328767123287671,0.9455006337135615,0.9391886730211643,0.0063119606923972005,0.3745885450954575,0.015219334664267347,"{'C': 1.0, 'gamma': 1.0, 'kernel': 'rbf'}"
17,0,0,False,train,SVC-bag_of_words_gaussian_random_projection,0.9849315068493151,0.9860583016476553,0.9854949042484852,0.0005633973991701069,0.3291639236339697,0.01411247396141153,"{'C': 1.0, 'gamma': 100.0, 'kernel': 'rbf'}"
18,0,0,False,train,SVC-bag_of_words_gaussian_random_projection,0.9849315068493151,0.9860583016476553,0.9854949042484852,0.0005633973991701069,0.3291639236339697,0.01411247396141153,"{'C': 1.0, 'gamma': 10000.0, 'kernel': 'rbf'}"
19,0,0,False,train,SVC-bag_of_words_gaussian_random_projection,0.9849315068493151,0.9860583016476553,0.9854949042484852,0.0005633973991701069,0.3291639236339697,0.01411247396141153,"{'C': 1.0, 'gamma': 1000000.0, 'kernel': 'rbf'}"
20,0,0,False,train,SVC-bag_of_words_gaussian_random_projection,0.4452054794520548,0.4068441064638783,0.4260247929579666,0.019180686494088245,0.4068466096115866,0.015814402408906098,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf'}"
21,0,0,False,train,SVC-bag_of_words_gaussian_random_projection,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 100.0, 'gamma': 1e-05, 'kernel': 'rbf'}"
