,kfold-test,column,is_test,evaluation,evaluation_method,split0_train_score,split1_train_score,mean_train_score,std_train_score,mean_test_score,std_test_score,params
0,0,0,False,train,SVC,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 1e-05, 'gamma': 1e-05, 'kernel': 'rbf'}"
1,0,0,False,train,SVC,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 1e-05, 'gamma': 0.01, 'kernel': 'rbf'}"
2,0,0,False,train,SVC,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 1e-05, 'gamma': 1.0, 'kernel': 'rbf'}"
3,0,0,False,train,SVC,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 1e-05, 'gamma': 100.0, 'kernel': 'rbf'}"
4,0,0,False,train,SVC,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 1e-05, 'gamma': 10000.0, 'kernel': 'rbf'}"
5,0,0,False,train,SVC,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 1e-05, 'gamma': 1000000.0, 'kernel': 'rbf'}"
6,0,0,False,train,SVC,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 1e-05, 'gamma': 'auto', 'kernel': 'rbf'}"
7,0,0,False,train,SVC,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}"
8,0,0,False,train,SVC,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}"
9,0,0,False,train,SVC,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 0.01, 'gamma': 1.0, 'kernel': 'rbf'}"
10,0,0,False,train,SVC,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 0.01, 'gamma': 100.0, 'kernel': 'rbf'}"
11,0,0,False,train,SVC,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 0.01, 'gamma': 10000.0, 'kernel': 'rbf'}"
12,0,0,False,train,SVC,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 0.01, 'gamma': 1000000.0, 'kernel': 'rbf'}"
13,0,0,False,train,SVC,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}"
14,0,0,False,train,SVC,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.3304805793285056,0.012846003251247344,"{'C': 1.0, 'gamma': 1e-05, 'kernel': 'rbf'}"
15,0,0,False,train,SVC,0.7808219178082192,0.7946768060836502,0.7877493619459347,0.0069274441377155105,0.4048716260697828,0.00980820843823716,"{'C': 1.0, 'gamma': 0.01, 'kernel': 'rbf'}"
