kfold-test,kfold-validation,model,0,1,2,3,4,5,is_test,evaluation,evaluate_method
0,,RBMCFAlreadyTrainedModel,0.6984858459512837,0.03686635944700461,0.02238314680710994,0.02304147465437788,0.028966425279789335,0.07044107965766952,True,train,Accuracy
0,,RBMCFAlreadyTrainedModel,0.1736842105263158,0.042105263157894736,0.005263157894736842,0.02894736842105263,0.02894736842105263,0.060526315789473685,True,test,Accuracy
1,,RBMCFAlreadyTrainedModel,0.6971691902567478,0.03489137590520079,0.02106649111257406,0.024358130348913758,0.028966425279789335,0.06649111257406189,True,train,Accuracy
1,,RBMCFAlreadyTrainedModel,0.19210526315789472,0.031578947368421054,0.018421052631578946,0.02631578947368421,0.034210526315789476,0.07368421052631578,True,test,Accuracy
2,,RBMCFAlreadyTrainedModel,0.6445029624753127,0.037524687294272545,0.02304147465437788,0.026991441737985518,0.028308097432521395,0.07175773535220539,True,train,Accuracy
2,,RBMCFAlreadyTrainedModel,0.14736842105263157,0.039473684210526314,0.013157894736842105,0.010526315789473684,0.02368421052631579,0.05789473684210526,True,test,Accuracy
3,,RBMCFAlreadyTrainedModel,0.6668861092824226,0.038841342988808425,0.02238314680710994,0.026333113890717578,0.026333113890717578,0.0684660961158657,True,train,Accuracy
3,,RBMCFAlreadyTrainedModel,0.16052631578947368,0.02894736842105263,0.021052631578947368,0.010526315789473684,0.02368421052631579,0.05789473684210526,True,test,Accuracy
4,,RBMCFAlreadyTrainedModel,0.6625,0.034210526315789476,0.019078947368421053,0.021052631578947368,0.02368421052631579,0.06315789473684211,True,train,Accuracy
4,,RBMCFAlreadyTrainedModel,0.18469656992084432,0.05013192612137203,0.044854881266490766,0.0316622691292876,0.052770448548812667,0.10290237467018469,True,test,Accuracy
