kfold-test,kfold-validation,model,0,1,2,3,4,5,is_test,evaluation,evaluate_method
0,,RBMCFAlreadyTrainedModel,0.8017587065696716,0.7684035897254944,0.7747132778167725,0.8092082738876343,0.8363295197486877,0.8870254158973694,True,train,MRR
0,,RBMCFAlreadyTrainedModel,0.26759475469589233,0.18922917544841766,0.15896937251091003,0.21504783630371094,0.35762035846710205,0.4916094243526459,True,test,MRR
1,,RBMCFAlreadyTrainedModel,0.7925607562065125,0.7568008303642273,0.7523784041404724,0.8047428727149963,0.8405957818031311,0.8808755874633789,True,train,MRR
1,,RBMCFAlreadyTrainedModel,0.2814085781574249,0.1824502795934677,0.16710351407527924,0.22986291348934174,0.38050973415374756,0.5392481684684753,True,test,MRR
2,,RBMCFAlreadyTrainedModel,0.7794317007064819,0.7460806369781494,0.7611270546913147,0.8185368776321411,0.8345693945884705,0.8905546069145203,True,train,MRR
2,,RBMCFAlreadyTrainedModel,0.26014629006385803,0.19185009598731995,0.16696281731128693,0.25150740146636963,0.3570917248725891,0.4881961941719055,True,test,MRR
3,,RBMCFAlreadyTrainedModel,0.7948140501976013,0.7482503652572632,0.753576934337616,0.7990835309028625,0.8399506211280823,0.879672646522522,True,train,MRR
3,,RBMCFAlreadyTrainedModel,0.254867285490036,0.19416333734989166,0.17673435807228088,0.22146277129650116,0.345711350440979,0.510317862033844,True,test,MRR
4,,RBMCFAlreadyTrainedModel,0.7908837795257568,0.7509946227073669,0.7651728391647339,0.8167921900749207,0.8336042165756226,0.8893135190010071,True,train,MRR
4,,RBMCFAlreadyTrainedModel,0.2778904438018799,0.19665373861789703,0.19096753001213074,0.26753169298171997,0.3658091723918915,0.5242355465888977,True,test,MRR
