kfold-test,kfold-validation,model,0,1,2,3,4,5,is_test,evaluation,evaluate_method
0,,RBMAlreadyTrainedModel,0.3686635944700461,0.03686635944700461,0.02304147465437788,0.02304147465437788,0.028966425279789335,0.06978275181040158,True,train,Accuracy
0,,RBMAlreadyTrainedModel,0.05,0.02894736842105263,0.015789473684210527,0.02631578947368421,0.02368421052631579,0.06315789473684211,True,test,Accuracy
1,,RBMAlreadyTrainedModel,0.42857142857142855,0.03554970375246873,0.02304147465437788,0.024358130348913758,0.028966425279789335,0.06714944042132982,True,train,Accuracy
1,,RBMAlreadyTrainedModel,0.07894736842105263,0.02894736842105263,0.018421052631578946,0.02631578947368421,0.02631578947368421,0.06842105263157895,True,test,Accuracy
2,,RBMAlreadyTrainedModel,0.32916392363396973,0.03620803159973667,0.02369980250164582,0.028308097432521395,0.029624753127057275,0.07044107965766952,True,train,Accuracy
2,,RBMAlreadyTrainedModel,0.031578947368421054,0.03684210526315789,0.015789473684210527,0.010526315789473684,0.021052631578947368,0.05789473684210526,True,test,Accuracy
3,,RBMAlreadyTrainedModel,0.36603028308097435,0.03818301514154049,0.021724818959842,0.025674786043449638,0.028308097432521395,0.07044107965766952,True,train,Accuracy
3,,RBMAlreadyTrainedModel,0.05526315789473684,0.02631578947368421,0.02368421052631579,0.021052631578947368,0.02894736842105263,0.05789473684210526,True,test,Accuracy
4,,RBMAlreadyTrainedModel,0.3368421052631579,0.031578947368421054,0.019078947368421053,0.021710526315789475,0.02368421052631579,0.06184210526315789,True,train,Accuracy
4,,RBMAlreadyTrainedModel,0.052770448548812667,0.055408970976253295,0.0316622691292876,0.036939313984168866,0.044854881266490766,0.08970976253298153,True,test,Accuracy
