,column,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg,split0_test_map@5,split1_test_map@5,mean_test_map@5,std_test_map@5,rank_test_map@5,split0_train_map@5,split1_train_map@5,mean_train_map@5,std_train_map@5,params_str
0,0,88.4050281047821,9.25459098815918,1.431464672088623,0.0984961986541748,20,800,"{'hidden_layer_sizes': 20, 'max_iter': 800}",0.42105263157894735,0.4270334928229665,0.42394447657605555,0.002988805142463347,1,0.6124401913875598,0.6674132138857782,0.6399267026366691,0.027486511249109224,0.5968645016797313,0.6160287081339713,0.6061307113938693,0.009576894775637841,4,0.8851674641148325,0.9260918253079508,0.9056296447113916,0.020462180596559132,0.6046600594095233,0.6165577372151677,0.6104127827441205,0.005945605349805087,1,0.7946116783954477,0.8344220567046812,0.8145168675500645,0.019905189154616754,0.3094884939621782,0.2996289276911286,0.3047212311498026,0.00492710350082767,3,0.3373099846724249,0.31335425119859606,0.3253321179355105,0.011977866736914422,"{'hidden_layer_sizes': 20, 'max_iter': 800}"
1,0,101.76865434646606,5.547082901000977,1.4538766145706177,0.17787563800811768,40,800,"{'hidden_layer_sizes': 40, 'max_iter': 800}",0.41881298992161253,0.41866028708133973,0.41873915558126085,7.630991853096467e-05,2,0.7966507177033493,0.8107502799552072,0.8037004988292782,0.007049781125928967,0.6080627099664053,0.6172248803827751,0.6124927703875073,0.004578595111858768,1,0.9760765550239234,0.9764837625979843,0.9762801588109539,0.00020360378703043747,0.6056093056955073,0.6135940192158177,0.6094700462987344,0.003990186673276366,2,0.9051828688055313,0.9139015895794332,0.9095422291924823,0.00435936038695095,0.2982611751816679,0.3036028345657532,0.30084395554320364,0.0026693779348930663,4,0.3270853010625737,0.31430462035165285,0.3206949607071133,0.006390340355460433,"{'hidden_layer_sizes': 40, 'max_iter': 800}"
2,0,121.03297257423401,0.7488458156585693,1.2383732795715332,0.24851083755493164,80,800,"{'hidden_layer_sizes': 80, 'max_iter': 800}",0.4232922732362822,0.39473684210526316,0.40948525159051474,0.014269954765293084,3,0.8923444976076556,0.8846584546472565,0.888501476127456,0.003843021480199549,0.6024636058230683,0.6232057416267942,0.6124927703875073,0.01036543060045794,1,0.9856459330143541,0.9832026875699889,0.9844243102921715,0.0012216227221826248,0.6084382519271044,0.6055693357055278,0.6070510836441444,0.0014336783962208206,3,0.9506650655688086,0.9482878451224824,0.9494764553456455,0.001188610223163078,0.30320707474682834,0.3077208258248928,0.3053895477955628,0.0022556487909511746,2,0.3380275585658361,0.3220037278883864,0.33001564322711124,0.008011915338724862,"{'hidden_layer_sizes': 80, 'max_iter': 800}"
3,0,121.13250994682312,0.06557679176330566,0.4924551248550415,0.07722365856170654,100,800,"{'hidden_layer_sizes': 100, 'max_iter': 800}",0.41097424412094063,0.4007177033492823,0.40601503759398494,0.005125482861330746,4,0.916267942583732,0.910414333706607,0.9133411381451695,0.0029268044385625247,0.606942889137738,0.618421052631579,0.6124927703875073,0.005735962209578602,1,0.9880382775119617,0.986562150055991,0.9873002137839764,0.0007380637279853497,0.6060221908548039,0.606491975861123,0.606249339649068,0.00023476482490591697,4,0.96155330149834,0.9591732704334658,0.9603632859659028,0.0011900155324370831,0.30414656079269736,0.309566555852441,0.30676721774466137,0.002708524482638199,1,0.33858111187058554,0.32951006626818496,0.33404558906938525,0.004535522801200287,"{'hidden_layer_sizes': 100, 'max_iter': 800}"
0,1,93.69636130332947,5.097414255142212,0.9623655080795288,0.17811071872711182,20,800,"{'hidden_layer_sizes': 20, 'max_iter': 800}",0.1756152125279642,0.1784431137724551,0.1769809138230191,0.0014131271579634808,1,0.48862275449101794,0.5458612975391499,0.517242026015084,0.028619271524065987,0.37919463087248323,0.4,0.3892423366107577,0.010396626191535177,2,0.8215568862275449,0.8590604026845637,0.8403086444560544,0.01875175822850944,0.4222524864149223,0.4281136548436165,0.42508306804474283,0.002928877484714659,1,0.7215075971509308,0.7566708049399297,0.7390892010454302,0.01758160389449942,0.14899868774029848,0.15818477331052183,0.15343499858537452,0.004590367863781626,1,0.18717824092075588,0.19231531518444267,0.18974677805259926,0.002568537131843393,"{'hidden_layer_sizes': 20, 'max_iter': 800}"
1,1,102.36723160743713,4.924837827682495,1.4764456748962402,0.0018680095672607422,40,800,"{'hidden_layer_sizes': 40, 'max_iter': 800}",0.16666666666666666,0.1784431137724551,0.17235396182764604,0.005884794337118391,2,0.7017964071856287,0.7662192393736018,0.7340078232796152,0.032211416093986533,0.3926174496644295,0.3976047904191617,0.395026026604974,0.0024922180999990755,1,0.9377245508982036,0.9530201342281879,0.9453723425631957,0.007647791664992132,0.41763200593759525,0.4271155500829475,0.42221197086609097,0.004739010533571684,2,0.8516682325067191,0.8878216762330058,0.8697449543698624,0.018076721863143352,0.14589974529571845,0.15430230448194518,0.1499576613862328,0.00419883282896966,3,0.18990219560878244,0.20142711874255495,0.1956646571756687,0.005762461566886257,"{'hidden_layer_sizes': 40, 'max_iter': 800}"
2,1,120.99344074726105,2.000654101371765,1.0143707990646362,0.159934401512146,80,800,"{'hidden_layer_sizes': 80, 'max_iter': 800}",0.17002237136465326,0.16407185628742516,0.16714864083285136,0.002973524791887148,3,0.881437125748503,0.8814317673378076,0.8814344465431553,2.679205347688729e-06,0.3769574944071588,0.38323353293413176,0.3799884326200116,0.003136191726697744,3,0.9904191616766467,0.9865771812080537,0.9884981714423502,0.0019209902342964824,0.4156135380568399,0.4159173536020857,0.4157602621634219,0.000151819303745023,4,0.9456472713134073,0.9462976195154919,0.9459724454144496,0.0003251741010422693,0.14826399178748173,0.15091266817015317,0.14954313856569493,0.0013235669160304498,4,0.19452663504160508,0.19938904868435067,0.19695784186297788,0.0024312068213727944,"{'hidden_layer_sizes': 80, 'max_iter': 800}"
3,1,122.93357110023499,2.0064988136291504,0.34785354137420654,0.06830203533172607,100,800,"{'hidden_layer_sizes': 100, 'max_iter': 800}",0.17225950782997762,0.1532934131736527,0.16310005783689993,0.009477524539292698,4,0.918562874251497,0.9183445190156599,0.9184536966335785,0.00010917761791851,0.37472035794183445,0.38323353293413176,0.3788316946211683,0.00425410852148646,4,0.9964071856287425,0.9944071588366891,0.9954071722327158,0.0010000133960267332,0.4174489297281146,0.41412075370828383,0.41584162667631663,0.0016631188692561155,3,0.9638955713965766,0.9634403094643776,0.9636679404304771,0.00022763096609945688,0.14749467348460638,0.15277315498872382,0.150043853389718,0.002637703696622247,2,0.19510278145008683,0.20299493012580258,0.1990488557879447,0.003946074337857874,"{'hidden_layer_sizes': 100, 'max_iter': 800}"
0,2,95.49290478229523,5.205282092094421,1.2266355752944946,0.11150181293487549,20,800,"{'hidden_layer_sizes': 20, 'max_iter': 800}",0.19509476031215162,0.1875,0.19144013880855987,0.0037946957739586006,1,0.5420673076923077,0.5908584169453734,0.5664628623188406,0.024395554626532867,0.40468227424749165,0.3954326923076923,0.40023134759976864,0.004621521688009227,4,0.8545673076923077,0.9018952062430323,0.87823125696767,0.023663949275362306,0.4356515502288556,0.4320063423637826,0.4338974652411513,0.0018213155270563612,3,0.7518200338375973,0.7859639876000805,0.7688920107188388,0.01707197688124157,0.1475991399904443,0.1446281583000333,0.14616949466573526,0.0014844407462171795,1,0.18949688332500833,0.1731028633202546,0.18129987332263148,0.008197010002376867,"{'hidden_layer_sizes': 20, 'max_iter': 800}"
1,2,105.93038988113403,5.434161424636841,1.1946825981140137,0.07570028305053711,40,800,"{'hidden_layer_sizes': 40, 'max_iter': 800}",0.17837235228539577,0.18990384615384615,0.18392134181607867,0.005761671106331628,3,0.7620192307692307,0.7346711259754738,0.7483451783723523,0.013674052396878467,0.4013377926421405,0.4026442307692308,0.40196645459803354,0.0006527573005662745,3,0.9627403846153846,0.9520624303232998,0.9574014074693422,0.005338977146042367,0.4287565889634274,0.43289935937937163,0.43075010254703966,0.0020699209380856225,4,0.884389742632592,0.8687626821397281,0.87657621238616,0.007813530246431943,0.14674636957245651,0.14152248792873792,0.14423262201457687,0.002610094431204364,3,0.19493579337329336,0.17545917850265674,0.18519748593797505,0.00973830743531831,"{'hidden_layer_sizes': 40, 'max_iter': 800}"
