,column,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__gamma,param_svc__kernel,param_svc__probability,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg,split0_test_map@5,split1_test_map@5,mean_test_map@5,std_test_map@5,rank_test_map@5,split0_train_map@5,split1_train_map@5,mean_train_map@5,std_train_map@5,params_str
0,0,2.0225942134857178,0.07277202606201172,5.943808078765869,0.2651691436767578,0.125,0.0001220703125,rbf,True,"{'svc__C': 0.125, 'svc__gamma': 0.0001220703125, 'svc__kernel': 'rbf', 'svc__probability': True}",0.30201342281879195,0.3221556886227545,0.3117408906882591,0.010065267620624745,22,0.3221556886227545,0.30201342281879195,0.3120845557207732,0.010071132901981278,0.5727069351230425,0.61437125748503,0.5928282244071718,0.02082002883324494,35,0.6431137724550898,0.6129753914988815,0.6280445819769856,0.015069190478104177,0.5848911539227097,0.6088075764553721,0.596441305926627,0.011951246977975484,35,0.6291548793475152,0.5964285430249531,0.6127917111862342,0.016363168161281083,0.35818099499307554,0.3516039609093501,0.35500469455356676,0.0032866018573562755,34,0.3822540892241491,0.3326803025460743,0.35746719588511167,0.024786893339037414,"{'svc__C': 0.125, 'svc__gamma': 0.0001220703125, 'svc__kernel': 'rbf', 'svc__probability': True}"
1,0,2.2231777906417847,0.36701500415802,5.285126209259033,0.5579085350036621,0.125,0.0009765625,rbf,True,"{'svc__C': 0.125, 'svc__gamma': 0.0009765625, 'svc__kernel': 'rbf', 'svc__probability': True}",0.30201342281879195,0.3221556886227545,0.3117408906882591,0.010065267620624745,22,0.3221556886227545,0.30201342281879195,0.3120845557207732,0.010071132901981278,0.5671140939597316,0.6071856287425149,0.5864661654135338,0.020024098851805488,36,0.629940119760479,0.5973154362416108,0.6136277780010448,0.016312341759434135,0.5814523703764313,0.6056958254258138,0.5931604588473592,0.01211466800684441,36,0.6204341327575712,0.5982259537831938,0.6093300432703825,0.011104089487188717,0.3511526579311814,0.35211722010524404,0.3516184817688577,0.00048200021353914915,35,0.3721257744251755,0.328903803131991,0.3505147887785833,0.02161098564659225,"{'svc__C': 0.125, 'svc__gamma': 0.0009765625, 'svc__kernel': 'rbf', 'svc__probability': True}"
2,0,2.1670578718185425,0.3728219270706177,5.69685971736908,0.6469558477401733,0.125,0.0078125,rbf,True,"{'svc__C': 0.125, 'svc__gamma': 0.0078125, 'svc__kernel': 'rbf', 'svc__probability': True}",0.30201342281879195,0.3221556886227545,0.3117408906882591,0.010065267620624745,22,0.3221556886227545,0.30201342281879195,0.3120845557207732,0.010071132901981278,0.5917225950782998,0.6311377245508982,0.6107576633892423,0.0196960873371669,32,0.6538922155688622,0.6208053691275168,0.6373487923481895,0.016543423220672704,0.6048994785098923,0.6292750441876105,0.6166713682385764,0.01218068485135777,33,0.6422824745317195,0.6170536887106106,0.629668081621165,0.01261439291055444,0.3604580803238521,0.3760350986339011,0.3679808161763049,0.007783973240546274,30,0.38081696347564603,0.3625380845850644,0.37167752403035526,0.009139439445290803,"{'svc__C': 0.125, 'svc__gamma': 0.0078125, 'svc__kernel': 'rbf', 'svc__probability': True}"
3,0,2.5983375310897827,0.4567376375198364,5.50274920463562,0.5278613567352295,0.125,0.0625,rbf,True,"{'svc__C': 0.125, 'svc__gamma': 0.0625, 'svc__kernel': 'rbf', 'svc__probability': True}",0.30201342281879195,0.3221556886227545,0.3117408906882591,0.010065267620624745,22,0.3221556886227545,0.30201342281879195,0.3120845557207732,0.010071132901981278,0.6152125279642058,0.6383233532934132,0.6263736263736264,0.011548682960296501,27,0.688622754491018,0.6521252796420581,0.670374017066538,0.01824873742447991,0.6101044952895575,0.6388404534128354,0.6239821847244545,0.014359611359559998,29,0.6557038977751874,0.6335941413248032,0.6446490195499953,0.011054878225192133,0.3671268775966762,0.38434989760738264,0.37544453040693637,0.008606494787147114,8,0.391087850273479,0.37225631192074143,0.3816720810971102,0.009415769176368771,"{'svc__C': 0.125, 'svc__gamma': 0.0625, 'svc__kernel': 'rbf', 'svc__probability': True}"
4,0,4.4049705266952515,0.5816394090652466,5.33746075630188,1.074519157409668,0.125,0.5,rbf,True,"{'svc__C': 0.125, 'svc__gamma': 0.5, 'svc__kernel': 'rbf', 'svc__probability': True}",0.30201342281879195,0.3221556886227545,0.3117408906882591,0.010065267620624745,22,0.3221556886227545,0.30201342281879195,0.3120845557207732,0.010071132901981278,0.6140939597315436,0.644311377245509,0.6286871023713129,0.01509990966470025,19,0.6970059880239521,0.6510067114093959,0.674006349716674,0.02299963830727808,0.6095558325278261,0.6402794530641667,0.624393439900784,0.015352863773248081,25,0.6591485027827841,0.6336131326804092,0.6463808177315966,0.012767685051187472,0.36725205070842654,0.3858811208751328,0.3762487387299417,0.009309110433564397,7,0.39448676672628763,0.3694918504314478,0.3819893085788677,0.012497458147419926,"{'svc__C': 0.125, 'svc__gamma': 0.5, 'svc__kernel': 'rbf', 'svc__probability': True}"
5,0,5.271643042564392,0.5107008218765259,5.790544390678406,0.4235602617263794,0.125,4,rbf,True,"{'svc__C': 0.125, 'svc__gamma': 4, 'svc__kernel': 'rbf', 'svc__probability': True}",0.40604026845637586,0.4287425149700599,0.41700404858299595,0.011344512527715303,17,0.4347305389221557,0.407158836689038,0.42094468780559685,0.013785851116558834,0.6096196868008948,0.6395209580838324,0.6240601503759399,0.014941928608670194,29,0.6694610778443114,0.6442953020134228,0.6568781899288672,0.012582887915444317,0.609532919903145,0.6407089422093338,0.6245890093338378,0.015578932922066063,22,0.6542425476062874,0.6457882036680863,0.6500153756371869,0.004227171969100552,0.36652498135719613,0.38441262928688075,0.37516360832150303,0.008938615211818426,10,0.39484319672343626,0.36554223926707147,0.3801927179952539,0.014650478728182398,"{'svc__C': 0.125, 'svc__gamma': 4, 'svc__kernel': 'rbf', 'svc__probability': True}"
6,0,2.583773612976074,0.6819708347320557,5.759270906448364,0.7296490669250488,1,0.0001220703125,rbf,True,"{'svc__C': 1, 'svc__gamma': 0.0001220703125, 'svc__kernel': 'rbf', 'svc__probability': True}",0.30201342281879195,0.3221556886227545,0.3117408906882591,0.010065267620624745,22,0.3221556886227545,0.30201342281879195,0.3120845557207732,0.010071132901981278,0.5894854586129754,0.6035928143712574,0.5962984384037016,0.007049569919712603,34,0.6574850299401198,0.6073825503355704,0.6324337901378452,0.025051239802274694,0.6014191095206578,0.5977896654736574,0.5996663126558542,0.0018136651557818019,34,0.6456136583770132,0.590951550744262,0.6182826045606375,0.027331053816375628,0.35544316608074994,0.3390091505301086,0.3475065535967791,0.00821222230947684,36,0.37963076444513566,0.3231325237029935,0.3513816440740646,0.02824912037107108,"{'svc__C': 1, 'svc__gamma': 0.0001220703125, 'svc__kernel': 'rbf', 'svc__probability': True}"
7,0,2.225365996360779,0.5776249170303345,5.160613656044006,0.9126235246658325,1,0.0009765625,rbf,True,"{'svc__C': 1, 'svc__gamma': 0.0009765625, 'svc__kernel': 'rbf', 'svc__probability': True}",0.30201342281879195,0.3221556886227545,0.3117408906882591,0.010065267620624745,22,0.3221556886227545,0.30201342281879195,0.3120845557207732,0.010071132901981278,0.6073825503355704,0.6383233532934132,0.6223250433776749,0.015461391742057054,31,0.6491017964071857,0.6252796420581656,0.6371907192326756,0.011911077174510065,0.6076649654707923,0.6282032958405088,0.6175837080148718,0.010263184572379796,32,0.6401137338414318,0.6208958209844346,0.6305047774129332,0.009608956428498572,0.3597629700649834,0.37147849755035384,0.365420844819341,0.005854352266259929,32,0.38033507011950124,0.3578374347501864,0.36908625243484383,0.011248817684657408,"{'svc__C': 1, 'svc__gamma': 0.0009765625, 'svc__kernel': 'rbf', 'svc__probability': True}"
8,0,3.055126428604126,0.5651729106903076,5.7153472900390625,0.18076372146606445,1,0.0078125,rbf,True,"{'svc__C': 1, 'svc__gamma': 0.0078125, 'svc__kernel': 'rbf', 'svc__probability': True}",0.30201342281879195,0.3221556886227545,0.3117408906882591,0.010065267620624745,22,0.3221556886227545,0.30201342281879195,0.3120845557207732,0.010071132901981278,0.6152125279642058,0.6455089820359281,0.6298438403701562,0.015139404928707707,13,0.688622754491018,0.645413870246085,0.6670183123685515,0.021604442122466483,0.6083343053320716,0.6400996667379552,0.6236750090763821,0.015873430860652418,30,0.6560418604319055,0.6317689524347982,0.6439054064333518,0.01213645399855362,0.3691456269308618,0.3905859968374939,0.37949999874811907,0.010713941673482774,1,0.39358856313347335,0.37883189517417704,0.3862102291538252,0.007378333979648155,"{'svc__C': 1, 'svc__gamma': 0.0078125, 'svc__kernel': 'rbf', 'svc__probability': True}"
9,0,4.054096937179565,0.9719383716583252,5.866807460784912,0.6227438449859619,1,0.0625,rbf,True,"{'svc__C': 1, 'svc__gamma': 0.0625, 'svc__kernel': 'rbf', 'svc__probability': True}",0.30201342281879195,0.3221556886227545,0.3117408906882591,0.010065267620624745,22,0.3221556886227545,0.30201342281879195,0.3120845557207732,0.010071132901981278,0.6140939597315436,0.6455089820359281,0.6292654713707345,0.01569836332610208,17,0.6790419161676646,0.6510067114093959,0.6650243137885303,0.014017602379134353,0.6108462134422407,0.639838480175018,0.6248476840737439,0.014487691029106136,19,0.6554819102441104,0.6320554347674243,0.6437686725057674,0.01171323773834304,0.36820283370618934,0.378895092931021,0.37336653321615726,0.005343016104268301,13,0.3920972600254037,0.3642585490572068,0.37817790454130523,0.01391935548409845,"{'svc__C': 1, 'svc__gamma': 0.0625, 'svc__kernel': 'rbf', 'svc__probability': True}"
