,column,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_metric,param_n_neighbors,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg,split0_test_map@5,split1_test_map@5,mean_test_map@5,std_test_map@5,rank_test_map@5,split0_train_map@5,split1_train_map@5,mean_train_map@5,std_train_map@5,params_str
6,0,0.02491927146911621,0.00858759880065918,9.044655203819275,0.43362438678741455,brute,hamming,40,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 40}",0.4015659955257271,0.4239520958083832,0.4123770965876229,0.011186531471685279,3,0.43353293413173655,0.4116331096196868,0.4225830218757117,0.010949912256024874,0.5570469798657718,0.6059880239520958,0.5806824754193175,0.024456270766952955,5,0.6994011976047905,0.6778523489932886,0.6886267732990395,0.01077442430575093,0.5849599673702771,0.6053331371244578,0.5947989475580971,0.010180652358182309,4,0.6581813928781095,0.6391573050367574,0.6486693489574334,0.009512043920676061,0.29268713017035164,0.30942546076677807,0.30077070798875305,0.008364291218040597,4,0.31495906887523645,0.2970702470534686,0.3060146579643525,0.008944410910883938,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 40}"
7,0,0.02215886116027832,0.006334066390991211,9.826470017433167,1.193541169166565,brute,hamming,60,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",0.39932885906040266,0.41916167664670656,0.4089068825910931,0.009910633620866536,6,0.43233532934131735,0.40604026845637586,0.4191877988988466,0.013147530442470745,0.5794183445190156,0.6131736526946108,0.5957200694042799,0.016867824787476875,2,0.6850299401197605,0.6554809843400448,0.6702554622299026,0.014774477889857862,0.5893427950017378,0.6078031771940636,0.598258017170964,0.009224815567085848,3,0.6462244902887374,0.6259703489633665,0.6360974196260519,0.010127070662685478,0.31590323174215795,0.32592907691111284,0.320745094504493,0.005010003131257765,3,0.3344598076574124,0.3126722159272495,0.3235660117923309,0.010893795865081463,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}"
8,0,0.033077239990234375,0.016252756118774414,8.98332965373993,0.5321189165115356,brute,hamming,80,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 80}",0.3982102908277405,0.41437125748502995,0.40601503759398494,0.00807577737265342,7,0.43233532934131735,0.4015659955257271,0.4169506624335222,0.015384666907795136,0.5816554809843401,0.6095808383233533,0.5951417004048583,0.013954547008482528,3,0.6706586826347305,0.6387024608501118,0.6546805717424211,0.015978110892309327,0.5887934988193751,0.6098635753777794,0.5989690418652209,0.01052890282609958,2,0.6412435786341621,0.6198404663834327,0.6305420225087974,0.01070155612536472,0.3268458312753615,0.3424308785027348,0.3343724445980086,0.007787985361246084,2,0.3481630505223319,0.32237494794541777,0.3352689992338748,0.012894051288457054,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 80}"
9,0,0.016163945198059082,0.001082777976989746,9.112550258636475,0.2503230571746826,brute,hamming,100,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 100}",0.3982102908277405,0.41077844311377243,0.4042799305957201,0.006280416388447791,8,0.42634730538922155,0.4015659955257271,0.4139566504574743,0.012390654931747236,0.5838926174496645,0.6119760479041916,0.5974551764025449,0.0140335375364975,1,0.6706586826347305,0.6196868008948546,0.6451727417647926,0.02548594086993794,0.5882542613257948,0.6113511922728617,0.599408649608502,0.011541739815169311,1,0.6341457803538049,0.614808425093811,0.6244771027238079,0.009668677629996958,0.3301475444764036,0.3536150037587163,0.3414808750147096,0.011726896087634943,1,0.355617492288151,0.33069157538956195,0.34315453383885647,0.012462958449294514,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 100}"
0,1,0.03204154968261719,0.01963043212890625,8.321043014526367,0.8698129653930664,brute,hamming,1,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 1}",0.1621923937360179,0.18083832335329342,0.17119722382880279,0.009317535249499583,8,0.9916167664670659,0.9586129753914989,0.9751148709292824,0.016501895537783473,0.18680089485458612,0.20119760479041915,0.1937536148062464,0.007194162750655364,10,0.9916167664670659,0.959731543624161,0.9756741550456134,0.015942611421452424,0.32585235393535184,0.34385695164708135,0.3345474604068927,0.008997056047914639,10,0.992889812219787,0.9657162815573371,0.9793030468885621,0.013586765331224937,0.07571009713627162,0.0825007387821759,0.07898955680910567,0.0033933434374766275,10,0.12871451901392017,0.1268701395547033,0.12779232928431172,0.000922189729608433,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 1}"
1,1,0.03254258632659912,0.0010777711868286133,9.856795907020569,0.6448835134506226,brute,hamming,5,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 5}",0.17225950782997762,0.1724550898203593,0.17235396182764604,9.773404313722462e-05,6,0.39520958083832336,0.39149888143176736,0.39335423113504536,0.0018553497032779975,0.35011185682326623,0.38802395209580837,0.3684210526315789,0.018945007909769922,8,1.0,0.9988814317673378,0.9994407158836689,0.0005592841163311046,0.3820188441541978,0.39743473315280875,0.3894637645207913,0.007703455504511252,9,0.7136602183105217,0.6976390615762084,0.705649639943365,0.008010578367156684,0.1293040181295215,0.13727581201233893,0.133153901236608,0.003983575612989458,9,0.17458361199678563,0.17279968912519247,0.17369165056098906,0.000891961435796576,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 5}"
2,1,0.027636408805847168,0.002205967903137207,8.881137371063232,0.4139671325683594,brute,hamming,10,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 10}",0.16554809843400448,0.18802395209580838,0.17640254482359746,0.011231382025727711,3,0.3221556886227545,0.31096196868008946,0.316558828651422,0.005596859971332524,0.33221476510067116,0.39401197604790417,0.36205899363794103,0.030880610575089087,9,0.7365269461077845,0.7393736017897091,0.7379502739487468,0.0014233278409623296,0.38471318433008833,0.41195914872506967,0.3978712990031996,0.013615048370752307,8,0.6258725934090751,0.6183252440708267,0.6220989187399508,0.003773674669124205,0.1323686771841134,0.1393865256499987,0.13575786369019452,0.0035068806864930802,8,0.16277393265417214,0.15902970258674956,0.16090181762046085,0.0018721150337112913,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 10}"
3,1,0.02318263053894043,0.0031125545501708984,8.903338551521301,0.9551202058792114,brute,hamming,15,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}",0.16890380313199105,0.18562874251497005,0.1769809138230191,0.008357599510740879,2,0.30419161676646705,0.2941834451901566,0.29918753097831186,0.005004085788155227,0.36017897091722595,0.38083832335329343,0.37015615962984383,0.010323660364809448,7,0.6586826347305389,0.6610738255033557,0.6598782301169472,0.001195595386408399,0.40132493017613513,0.4246183184900055,0.4125741952091494,0.011639911291614185,6,0.590966496118064,0.5836165569289258,0.5872915265234948,0.0036749695945690886,0.14041922097291223,0.13858335277496953,0.13953261024689595,0.0009173995074999058,7,0.1615450397905487,0.15360764887610526,0.15757634433332698,0.003968695457221727,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}"
4,1,0.025131583213806152,0.004281163215637207,7.826483368873596,0.3180142641067505,brute,hamming,20,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 20}",0.16666666666666666,0.1784431137724551,0.17235396182764604,0.005884794337118391,6,0.274251497005988,0.2550335570469799,0.26464252702648394,0.009608969979504056,0.3668903803131991,0.39520958083832336,0.3805668016194332,0.014151353917265705,6,0.6251497005988024,0.6185682326621924,0.6218589666304974,0.003290733968304982,0.4045282564558663,0.41774763901473144,0.4109124001439244,0.006605841891343753,7,0.5609873088896778,0.556773814854741,0.5588805618722095,0.0021067470174684355,0.142281007583021,0.13933971019000957,0.1408605429658061,0.0014697922120897576,6,0.15596767503953132,0.15485143864338494,0.15540955684145813,0.0005581181980731931,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 20}"
5,1,0.02675151824951172,0.009940624237060547,9.808550596237183,0.2928886413574219,brute,hamming,25,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 25}",0.1767337807606264,0.18203592814371258,0.1792943898207056,0.002649529744774724,1,0.25508982035928146,0.232662192393736,0.24387600637650875,0.011213813982772727,0.37360178970917224,0.4179640718562874,0.395026026604974,0.02216822309953505,1,0.6035928143712574,0.6051454138702461,0.6043691141207518,0.0007762997494943358,0.4093562916396776,0.42674796097503254,0.41775539163679815,0.0086907703400142,3,0.5458056004119612,0.5443195902119556,0.5450625953119584,0.0007430051000028026,0.14061659257967982,0.14660097985846487,0.14350668128863617,0.002990451029326802,5,0.15999937786764132,0.15686672574256466,0.15843305180510298,0.0015663260625383285,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 25}"
